Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Kas Dari Bank,Pembayaran Kepada Pemasok Dan Beban Usaha,Pembayaran Kepada Karyawan,Penerimaan Dari Penghasilan Keuangan,Penerimaan Klaim Pengembalian Pajak,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Penghasilan (Beban) Operasi Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Penerimaan Atas Transaksi Dengan Pihak Non-Pengendali,Pembayaran Atas Akuisisi Saham Entitas Anak Dari Pihak Non Pengendali,Akuisisi Entitas Anak,(Kenaikan)/Penurunan Investasi Asosiasi,Penghapusan Aset Tidak Lancar,Perolehan Akuisisi Aset Tetap Entitas Anak,Hasil Penjualan Aset Tetap,Penyertaan Saham,Peningkatan (Penurunan) Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Dari Agio Saham,Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Pihak Berelasi,Penerimaan Pinjaman Pihak Berelasi,Pembayaran Pinjaman Pemegang Saham,Pembayaran Utang Sewa Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Penerimaan Setoran Modal Pada Entitas Anak Dari Pemegang Saham Non Pengendali,Pembayaran Aset Hak Guna,Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,18666698094.000000,300851348172.000000,,-129011483517.000000,-128166518704.000000,,,-25006647857.000000,,,18666698094.000000,-306694974163.000000,-357357137381.000000,-272670000.000000,,706131149.000000,49533389570.000000,,695312499.000000,,,,,-306694974163.000000,288485084092.000000,,54177957045.000000,,207864700001.000000,-44422995954.000000,,70865423000.000000,,,,,,,288485084092.000000,456808023.000000,564663426.000000,1021471449.000000
12M 2019,10226160522.000000,425013175375.000000,,-179967988363.000000,-189853156736.000000,,,-44529042168.000000,-436827586.000000,,10226160522.000000,-139535272470.000000,-167375782847.000000,-224720911.000000,,43800091406.000000,-15950674828.000000,215814710.000000,,,,,,-139535272470.000000,128725137246.000000,,39225933034.000000,,173583971909.000000,-56013767697.000000,,,-28071000000.000000,,,,,,128725137246.000000,-583974702.000000,1021471449.000000,437496747.000000
12M 2020,129539379951.000000,624718631024.000000,,-222523522894.000000,-229687368969.000000,,,-41517323150.000000,-1451036060.000000,,129539379951.000000,-43625641574.000000,-39806191986.000000,-537675810.000000,,-3619671631.000000,,337897853.000000,,,,,,-43625641574.000000,-85394775993.000000,,,-70381494564.000000,21743683884.000000,-38301965313.000000,,1545000000.000000,,,,,,,-85394775993.000000,518962384.000000,437496747.000000,956459131.000000
12M 2021,283698718030.000000,929496681963.000000,,-301826531985.000000,-290822095558.000000,,,-39733757457.000000,-13415578933.000000,,283698718030.000000,-146410405992.000000,-126538312518.000000,-1458942000.000000,,-24006688706.000000,,,,,5593537232.000000,,,-146410405992.000000,-62102143161.000000,,347622876198.000000,-373511628052.000000,63632834177.000000,-94329438193.000000,,,-214339423000.000000,,,,-4765053054.000000,213587688763.000000,-62102143161.000000,75186168877.000000,956459131.000000,76142628008.000000
12M 2022,51260290564.000000,817068528920.000000,1113746349.000000,-339218363298.000000,-325264468283.000000,,,-32472649248.000000,-69966503876.000000,,51260290564.000000,-366613389157.000000,-198696142004.000000,-589890020.000000,131748048.000000,,-167808520181.000000,,,,349415000.000000,,,-366613389157.000000,272257383246.000000,,,-16565840296.000000,70176309037.000000,-95207946919.000000,,,,,-6830010000.000000,,,320684871424.000000,272257383246.000000,-43095715347.000000,76142628008.000000,33046912661.000000
12M 2023,170817022373.000000,913203705700.000000,81233882.000000,-273818979445.000000,-414149153954.000000,,579994333.000000,-36789482194.000000,-18290295949.000000,,170817022373.000000,-308181686055.000000,-267837999801.000000,-1938993000.000000,,,-38404693254.000000,,,,,,,-308181686055.000000,109263745963.000000,,62647218122.000000,,154509361744.000000,-84112833903.000000,,,,,-23780000000.000000,,,,109263745963.000000,-28100917719.000000,33046912662.000000,4945994943.000000
12M 2024,210834496621.000000,1092353263927.000000,16519142.000000,-349889774888.000000,-469210756060.000000,,,-45588002529.000000,-16846752971.000000,,210834496621.000000,-352938492292.000000,-281083192462.000000,-18186000.000000,,,-71919249251.000000,,82135421.000000,,,,,-352938492292.000000,147847689211.000000,,67179240500.000000,-39645703469.000000,218439174917.000000,-98445022737.000000,,,,,-7230000000.000000,7550000000.000000,,,147847689211.000000,5743693540.000000,4945994944.000000,10689688484.000000
