Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,62066403005.000000,-3886481095.000000,58179921910.000000,-9339758874.000000,-9339758874.000000,-9339758874.000000,48840163036.000000,323498156266.000000,-16252673404.000000,-21987032995.000000,203633089.000000,,361534229576.000000,323498156266.000000,372338319302.000000,-6298258683.000000,,,,-6298258683.000000,366040060619.000000,-52109606080.000000,313930454539.000000,,,,313930454539.000000,313930454539.000000,313930454539.000000,,313930454539.000000,313930454539.000000,313930454539.000000,,313930454539.000000
12M 2013,119486433944.000000,-5940210334.000000,113546223610.000000,-7944456616.000000,-7944456616.000000,-7944456616.000000,105601766994.000000,68585121834.000000,-36054242139.000000,-117712468240.000000,63449622.000000,,222288382591.000000,68585121834.000000,174186888828.000000,-12201025341.000000,,,,-12201025341.000000,161985863487.000000,-71453987357.000000,90531876130.000000,,,,90531876130.000000,90531876130.000000,90531876130.000000,,90531876130.000000,90531876130.000000,90531876130.000000,,90531876130.000000
12M 2014,141918294934.000000,-13083999855.000000,128834295079.000000,-14583645052.000000,-14583645052.000000,-14583645052.000000,114250650027.000000,195144393219.000000,-43863297461.000000,-15201324314.000000,1045539815.000000,,253163475179.000000,195144393219.000000,309395043246.000000,-14191829494.000000,,,,-14191829494.000000,295203213752.000000,-8481675216.000000,286721538536.000000,,,,286721538536.000000,286721538536.000000,286437322398.000000,284216138.000000,286721538536.000000,286721538536.000000,286437322398.000000,284216138.000000,286721538536.000000
12M 2015,163491578898.000000,-16059572314.000000,147432006584.000000,-25754380109.000000,-25754380109.000000,-25754380109.000000,121677626475.000000,9325033802.000000,-51843262964.000000,-28939823694.000000,28203321252.000000,,61904799208.000000,9325033802.000000,131002660277.000000,-16349157890.000000,,,,-16349157890.000000,114653502387.000000,,114653502387.000000,812309776.000000,812309776.000000,812309776.000000,115465812163.000000,114653502387.000000,114414632848.000000,238869539.000000,114653502387.000000,115465812163.000000,115226942624.000000,238869539.000000,115465812163.000000
12M 2016,175319744000.000000,-18444498000.000000,156875246000.000000,-39143379000.000000,-39143379000.000000,-39143379000.000000,117731867000.000000,299099087000.000000,-46805858000.000000,3294596000.000000,17543463000.000000,,325066886000.000000,299099087000.000000,416830954000.000000,-17623957000.000000,-18000000.000000,,-17605957000.000000,-17623957000.000000,399206997000.000000,,399206997000.000000,-4786000.000000,-4786000.000000,-4786000.000000,399202211000.000000,399206997000.000000,342166209000.000000,57040788000.000000,399206997000.000000,399202211000.000000,342161423000.000000,57040788000.000000,399202211000.000000
12M 2017,208794196000.000000,-20146444000.000000,188647752000.000000,-46202744000.000000,-46202744000.000000,-46202744000.000000,142445008000.000000,171606060000.000000,-52254004000.000000,-864835000.000000,4890271000.000000,,219834628000.000000,171606060000.000000,314051068000.000000,-20986487000.000000,-39750000.000000,,-20946737000.000000,-20986487000.000000,293064581000.000000,,293064581000.000000,-981892000.000000,-981892000.000000,-981892000.000000,292082689000.000000,293064581000.000000,252262421000.000000,40802160000.000000,293064581000.000000,292082689000.000000,251280529000.000000,40802160000.000000,292082689000.000000
12M 2018,299234087000.000000,-25395621000.000000,273838466000.000000,-57539108000.000000,-57539108000.000000,-57539108000.000000,216299358000.000000,65046009000.000000,-47461982000.000000,-9198338000.000000,8084806000.000000,,113621523000.000000,65046009000.000000,281345367000.000000,-32250000.000000,-32250000.000000,,,-32250000.000000,281313117000.000000,,281313117000.000000,-136820000.000000,-136820000.000000,-136820000.000000,281176297000.000000,281313117000.000000,220471027000.000000,60842090000.000000,281313117000.000000,281176297000.000000,220334207000.000000,60842090000.000000,281176297000.000000
12M 2019,333987373000.000000,-28566318000.000000,305421055000.000000,-59996413000.000000,-59996413000.000000,-59996413000.000000,245424642000.000000,62099456000.000000,-53750855000.000000,3386425000.000000,6697632000.000000,,105766254000.000000,62099456000.000000,307524098000.000000,-33702906000.000000,-109242000.000000,,-33593664000.000000,-33702906000.000000,273821192000.000000,,273821192000.000000,-629455000.000000,-629455000.000000,-629455000.000000,273191737000.000000,273821192000.000000,113178756000.000000,160642436000.000000,273821192000.000000,273191737000.000000,112549301000.000000,160642436000.000000,273191737000.000000
12M 2020,336776801000.000000,-27384731000.000000,309392070000.000000,-96246339000.000000,-96246339000.000000,-96246339000.000000,213145731000.000000,-268690586000.000000,-100038486000.000000,-8410544000.000000,12347583000.000000,5280967000.000000,-177870106000.000000,-268690586000.000000,-55544855000.000000,-33533696000.000000,-61873000.000000,,-33471823000.000000,-33533696000.000000,-89078551000.000000,,-89078551000.000000,-541631000.000000,-541631000.000000,-541631000.000000,-89620182000.000000,-89078551000.000000,-151858680000.000000,62780129000.000000,-89078551000.000000,-89620182000.000000,-152400311000.000000,62780129000.000000,-89620182000.000000
12M 2021,316572333000.000000,,316572333000.000000,-117950147000.000000,-117950147000.000000,-117950147000.000000,198622186000.000000,193562341000.000000,-49809502000.000000,9498000.000000,20494185000.000000,39692444000.000000,183175716000.000000,193562341000.000000,392184527000.000000,-25921830000.000000,4091894000.000000,,-30013724000.000000,-25921830000.000000,366262697000.000000,,366262697000.000000,734725000.000000,734725000.000000,734725000.000000,366997422000.000000,366262697000.000000,198853392000.000000,167409305000.000000,366262697000.000000,366997422000.000000,199588117000.000000,167409305000.000000,366997422000.000000
