Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Piutang Lain-Lain,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Bank Jangka Pendek,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Pinjaman Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,9285918091.000000,65983850.000000,,65983850.000000,65983850.000000,,,36324952760.000000,36984699868.000000,82661554569.000000,,1127047173.000000,661191108563.000000,,,961967822.000000,663280123558.000000,745941678127.000000,,,332906088565.000000,,65563631928.000000,2781430677.000000,68345062605.000000,,2022442481.000000,,2022442481.000000,1045489969.000000,,,28564200000.000000,408050043.000000,28972250043.000000,,174064677345.000000,58456166122.000000,332906088565.000000,148210281147.000000,,145326384799.000000,771508355.000000,146097893154.000000,,2112387993.000000,148210281147.000000,481116369712.000000,,50000000.000000,,125124875937.000000,,125124875937.000000,125124875937.000000,,139650432478.000000,264825308415.000000,745941678127.000000,75000000.000000
12M 2012,,,6308840777.000000,380798843.000000,120068050.000000,260730793.000000,380798843.000000,,,14922658871.000000,67041533314.000000,88653831805.000000,,1262033032.000000,1409201396188.000000,,,989604186.000000,1411453033406.000000,1500106865211.000000,,,465283854128.000000,,18859390232.000000,4614610395.000000,23474000627.000000,,1257236157.000000,,1257236157.000000,29413069511.000000,17791732978.000000,,52589282343.000000,613289006.000000,53202571349.000000,,114839836680.000000,225305406826.000000,465283854128.000000,329007642049.000000,,325859039597.000000,526387443.000000,326385427040.000000,,2622215009.000000,329007642049.000000,794291496177.000000,,75000000000.000000,,439055330476.000000,,439055330476.000000,439055330476.000000,,191760038558.000000,705815369034.000000,1500106865211.000000,75000000.000000
12M 2013,,,6367919242.000000,10457013696.000000,7950698316.000000,2506315380.000000,10457013696.000000,,,2219559023.000000,69834144708.000000,88878636669.000000,,1235877493.000000,1748426159996.000000,,,1468830922.000000,1751130868411.000000,1840009505080.000000,,,604402645901.000000,,21147522698.000000,3933647445.000000,25081170143.000000,,1687319098.000000,,1687319098.000000,15459752371.000000,19786434140.000000,,181546788870.000000,587198454.000000,182133987324.000000,,319163437825.000000,41090545000.000000,604402645901.000000,367805626658.000000,,360439773497.000000,157534988.000000,360597308485.000000,,7208318173.000000,367805626658.000000,972208272559.000000,,75000000000.000000,,529587206606.000000,,529587206606.000000,529587206606.000000,,263214025915.000000,867801232521.000000,1840009505080.000000,75000000.000000
12M 2014,,,11311274890.000000,13713779676.000000,10298075958.000000,3415703718.000000,13713779676.000000,,,1507735586.000000,55873086617.000000,82405876769.000000,,2106937649.000000,2036805600000.000000,,,17183609047.000000,2056096146696.000000,2138502023465.000000,,,136596606789.000000,,22182858085.000000,4391508215.000000,26574366300.000000,,2289364299.000000,,2289364299.000000,10816758427.000000,19389890412.000000,,35636000000.000000,536504769.000000,36172504769.000000,,17825607759.000000,23528114823.000000,136596606789.000000,554369617603.000000,,541288422719.000000,543999476.000000,541832422195.000000,,12537195408.000000,554369617603.000000,690966224392.000000,,400000000000.000000,228838468174.000000,816024529004.000000,,816024529004.000000,816024529004.000000,2672801895.000000,,1447535799073.000000,2138502023465.000000,4000000000.000000
12M 2015,,,382973218132.000000,8775493343.000000,,8775493343.000000,8775493343.000000,,58314226015.000000,,68785930300.000000,518848867790.000000,,13482797270.000000,2388399500071.000000,,,283589455378.000000,2685471752719.000000,3204320620509.000000,,,175468928170.000000,,10251108942.000000,2395189025.000000,12646297967.000000,,1112284638.000000,,1112284638.000000,7976580853.000000,,,124911250000.000000,462572841.000000,125373822841.000000,,,28359941871.000000,175468928170.000000,477824658578.000000,,460645654856.000000,1424708136.000000,462070362992.000000,,15754295586.000000,477824658578.000000,653293586748.000000,,571428500000.000000,1045111693174.000000,931570769153.000000,40000000000.000000,891570769153.000000,931570769153.000000,2916071434.000000,,2551027033761.000000,3204320620509.000000,5714285000.000000
12M 2016,,,104682820000.000000,2307177000.000000,,2307177000.000000,2307177000.000000,,348487000.000000,,92613483000.000000,199951967000.000000,,13342149000.000000,3318776048000.000000,,,433699277000.000000,3765817474000.000000,3965769441000.000000,,,235175661000.000000,,58136624000.000000,35642684000.000000,93779308000.000000,,,927131000.000000,927131000.000000,7167721000.000000,27520000000.000000,,62339326000.000000,801429000.000000,63140755000.000000,,,42640746000.000000,235175661000.000000,446333835000.000000,,427900657000.000000,1244788000.000000,429145445000.000000,,17188390000.000000,446333835000.000000,681509496000.000000,,571428500000.000000,1045423882000.000000,1273732192000.000000,41000000000.000000,1232732192000.000000,1273732192000.000000,393675371000.000000,,3284259945000.000000,3965769441000.000000,5714285000.000000
12M 2017,,,201516169000.000000,8510903000.000000,8367051000.000000,143852000.000000,8510903000.000000,,,13000000.000000,180638952000.000000,390679024000.000000,,12326724000.000000,4592008750000.000000,,,368654901000.000000,4972990375000.000000,5363669399000.000000,,,294513141000.000000,,78502429000.000000,6509566000.000000,85011995000.000000,,,1259437000.000000,1259437000.000000,17855566000.000000,60406518000.000000,,103710718000.000000,870381000.000000,104581099000.000000,,,25398526000.000000,294513141000.000000,398966629000.000000,,360161324000.000000,1043811000.000000,361205135000.000000,,37761494000.000000,398966629000.000000,693479770000.000000,,688913461000.000000,1571156675000.000000,1525012721000.000000,45000000000.000000,1480012721000.000000,1525012721000.000000,885106772000.000000,,4670189629000.000000,5363669399000.000000,6889134608.000000
12M 2018,,,152174691000.000000,51341889000.000000,51195214000.000000,146675000.000000,51341889000.000000,,,278695000.000000,194360499000.000000,398155774000.000000,,11917141000.000000,5269578483000.000000,,,411671409000.000000,5693167033000.000000,6091322807000.000000,,,296640051000.000000,,46550409000.000000,14555462000.000000,61105871000.000000,,2263243000.000000,,2263243000.000000,15035450000.000000,51358544000.000000,,108546800000.000000,708006000.000000,109254806000.000000,,,57622137000.000000,296640051000.000000,486455931000.000000,,419068385000.000000,336952000.000000,419405337000.000000,,67050594000.000000,486455931000.000000,783095982000.000000,,688913461000.000000,1571523925000.000000,1745346928000.000000,50000000000.000000,1695346928000.000000,1745346928000.000000,1302442511000.000000,,5308226825000.000000,6091322807000.000000,6889134608.000000
12M 2019,,,129320049000.000000,40906490000.000000,40752225000.000000,154265000.000000,40906490000.000000,,,,397139029000.000000,567365568000.000000,,8212783000.000000,5984272094000.000000,,,195703139000.000000,6188188016000.000000,6755553584000.000000,,,469905452000.000000,,121886378000.000000,8212155000.000000,130098533000.000000,,,12513581000.000000,12513581000.000000,12040989000.000000,71853200000.000000,,124786749000.000000,336952000.000000,125123701000.000000,,,118275448000.000000,469905452000.000000,658868661000.000000,,598113674000.000000,,598113674000.000000,,60754987000.000000,658868661000.000000,1128774113000.000000,,688913461000.000000,1571556487000.000000,1857896229000.000000,55000000000.000000,1802896229000.000000,1857896229000.000000,1508413294000.000000,,5626779471000.000000,6755553584000.000000,6889134608.000000
12M 2020,,,1252298329000.000000,81193567000.000000,79625151000.000000,1568416000.000000,81193567000.000000,,,3322081000.000000,291719020000.000000,1628532997000.000000,,2250843000.000000,4489143584000.000000,489109624000.000000,,116968102000.000000,5097472153000.000000,6726005150000.000000,,,285799992000.000000,,124289464000.000000,52657280000.000000,176946744000.000000,,,1857176000.000000,1857176000.000000,32069970000.000000,,,42566285000.000000,,42566285000.000000,,,32359817000.000000,285799992000.000000,677667174000.000000,,587320191000.000000,,587320191000.000000,43857240000.000000,46489743000.000000,677667174000.000000,963467166000.000000,,688913461000.000000,1571770899000.000000,1704889912000.000000,60000000000.000000,1644889912000.000000,1704889912000.000000,1796963712000.000000,,5762537984000.000000,6726005150000.000000,6889134608.000000
