Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pengalihan Pendapatan Diterima Di Muka,Penerimaan Bunga,Penerimaan Pajak Pertambahan Nilai,Pembayaran Beban Usaha Dan Karyawan,Pembayaran Kepada Pemasok Dan Lainnya,Pembayaran Pajak Pertambahan Nilai,Pembayaran Pajak,Penempatan Kas Yang Dibatasi Penggunaannya,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Properti Investasi,Penambahan Properti Investasi,Penyerahan Pendapatan Diterima Di Muka Dan Uang Jaminan Pelanggan Sehubungan Dengan Penjualan Properti Investasi,Perolehan Aset Tetap,Pembayaran Uang Muka Aset Tetap,Penerimaan Dari Penjualan Aset Tetap,Pengembalian Uang Muka Tanah,Pembayaran Uang Muka Kontraktor,Pembelian Entitas Anak,Penerimaan Dividen Dan Lainnya Dari Investasi Pada Entitas Asosiasi,Penerimaan Uang Jaminan Atas Penjualan Property Investasi,Pembayaran Uang Muka Tanah,Investasi Pada Entitas Asosiasi,Pembayaran Untuk Akuisisi Kepentingan Non Pengendali Pada Entitas Anak,Perolehan Aset Lainnya,Pinjaman Yang Diberikan,Perolehan Saham Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Kepada Pihak Berelasi,Penerimaan Pinjaman Dari Bank,Penerimaan Pinjaman Jangka Pendek,Pembayaran Pinjaman Bank,Pembayaran Biaya Transaksi Atas Utang Bank,Pembayaran Biaya Emisi Penerbitan Saham,Pembayaran Liabilitas Pembiayaan Konsumen,Pembayaran Dividen Di Entitas Anak Kepada Pihak Non-Pengendali,Penerimaan Setoran Peningkatan Modal,Setoran Modal Non-Pengendali,Pembayaran Untuk Akuisisi Kepentingan Non-Pengendali Pada Entitas Anak,Uang Muka Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Dampak Kas Dan Setara Kas Atas Hilangnya Pengendalian Pada Entitas Anak,Kas Dan Setara Kas - Sebelum Akuisisi,Kas Dan Setara Kas Akhir Periode
12M 2012,21485102560.000000,80619068800.000000,,203633089.000000,,-8575345420.000000,-26120094369.000000,,-7487092979.000000,,-17155066561.000000,21485102560.000000,-276166998610.000000,,-280082871847.000000,,-121815548.000000,,4037688785.000000,,,,,,,,,,,,-276166998610.000000,250188062878.000000,130799676450.000000,-83771445344.000000,243496494805.000000,,-39827381084.000000,,,-509281949.000000,,,,,,250188062878.000000,-4493833172.000000,9285918091.000000,1516755858.000000,,,6308840777.000000
12M 2013,-1924370783.000000,72369777917.000000,,81819833.000000,,-7024837624.000000,-24883717001.000000,,-7153456564.000000,,-35313957344.000000,-1924370783.000000,-289418156307.000000,,-289197506562.000000,,-220649745.000000,,,,,,,,,,,,,,-289418156307.000000,289640386338.000000,359796886857.000000,-161669520168.000000,147501262181.000000,,-55174208616.000000,,,-814033916.000000,,,,,,289640386338.000000,-1702140752.000000,6308840777.000000,1761219217.000000,,,6367919242.000000
12M 2014,70314845387.000000,154744173294.000000,,1045539815.000000,,-12981028338.000000,-14666582273.000000,,-13207677031.000000,,-44619580080.000000,70314845387.000000,-92201838377.000000,56776435500.000000,-93499613209.000000,,-160013468.000000,,,,,,,,-14850000000.000000,,,,,-40468647200.000000,-92201838377.000000,29602283564.000000,161689456995.000000,-218567425700.000000,235209655125.000000,,-202541461495.000000,,,-1187941361.000000,,55000000000.000000,,,,29602283564.000000,7715290574.000000,6367919242.000000,-2771934926.000000,,,11311274890.000000
12M 2015,75822685776.000000,191312286722.000000,,26529247428.000000,,-23484059406.000000,-51685850681.000000,,-16008832814.000000,,-50840105473.000000,75822685776.000000,-634507211456.000000,,-302318850890.000000,,-9916667316.000000,-913938000.000000,,,,,,,-264950000000.000000,,,,-56407755250.000000,,-634507211456.000000,929713973371.000000,1507735586.000000,-17825607760.000000,14956647593.000000,,-55984940412.000000,,,-645986636.000000,,987701725000.000000,4400000.000000,,,929713973371.000000,371029447691.000000,11311274890.000000,632495551.000000,,,382973218132.000000
12M 2016,80351957000.000000,221768537000.000000,,18904536000.000000,,-37643951000.000000,-53098322000.000000,,-20403696000.000000,,-49175147000.000000,80351957000.000000,-626187355000.000000,,-497879152000.000000,,-2958979000.000000,,,,-62558098000.000000,,,,-58500000000.000000,,,-2119726000.000000,,-2171400000.000000,-626187355000.000000,265573052000.000000,,,61239469000.000000,,-128966800000.000000,,,-701717000.000000,,,334002100000.000000,,,265573052000.000000,-280262346000.000000,382973218000.000000,-228052000.000000,,2200000000.000000,104682820000.000000
12M 2017,-15754298000.000000,226867085000.000000,,5064059000.000000,,-42494755000.000000,-131671131000.000000,,-20594180000.000000,,-52925376000.000000,-15754298000.000000,-992422340000.000000,63600588000.000000,-1034728983000.000000,,-1966583000.000000,,,,-11618873000.000000,,,,-5668650000.000000,,,-2039839000.000000,,,-992422340000.000000,1105014089000.000000,,,97652756000.000000,,-92214000000.000000,,-13404328000.000000,-987103000.000000,,681412773000.000000,432553991000.000000,,,1105014089000.000000,96837451000.000000,104682820000.000000,-4102000.000000,,,201516169000.000000
12M 2018,136242936000.000000,348340063000.000000,,7968780000.000000,,-53035205000.000000,-73381660000.000000,,-30228867000.000000,,-63420175000.000000,136242936000.000000,-584606599000.000000,,-326806760000.000000,,-3963781000.000000,,,6000000000.000000,-79963840000.000000,,,,,,,,,-179872218000.000000,-584606599000.000000,399066847000.000000,,,294576913000.000000,,-246630019000.000000,,-4617704000.000000,-865443000.000000,,356603100000.000000,,,,399066847000.000000,-49296816000.000000,201516169000.000000,-44662000.000000,,,152174691000.000000
12M 2019,139170920000.000000,416182632000.000000,,6768645000.000000,,-61512043000.000000,-117383976000.000000,,-40188236000.000000,,-64696102000.000000,139170920000.000000,-430141930000.000000,228026725000.000000,-818276696000.000000,,-543744000.000000,,626546000.000000,249025000000.000000,-80694761000.000000,,,16720000000.000000,-25025000000.000000,,,,,,-430141930000.000000,268129143000.000000,,,382191139000.000000,,-158993594000.000000,,,-708006000.000000,,45639604000.000000,,,,268129143000.000000,-22841867000.000000,152174691000.000000,-12775000.000000,,,129320049000.000000
12M 2020,7229805000.000000,277297565000.000000,,12259259000.000000,,-70352172000.000000,-41024936000.000000,-44062554000.000000,-27211202000.000000,,-99676155000.000000,7229805000.000000,1070795584000.000000,1945955310000.000000,-371855027000.000000,,-149100000.000000,-570006000.000000,,7105000000.000000,-22120993000.000000,,,,-5000000000.000000,-482569600000.000000,,,,,1070795584000.000000,49914945000.000000,,,636641680000.000000,,-804301040000.000000,,,-8425495000.000000,,225999800000.000000,,,,49914945000.000000,1127940334000.000000,129320049000.000000,-4962054000.000000,,,1252298329000.000000
12M 2021,149765357000.000000,341056956000.000000,,19977313000.000000,,-89839370000.000000,-22620659000.000000,-28136610000.000000,-29200839000.000000,,-41471434000.000000,149765357000.000000,-772596194000.000000,,-745953031000.000000,-52608283000.000000,-304293000.000000,,,6200000000.000000,-56250000.000000,,20125663000.000000,,,,,,,,-772596194000.000000,140844699000.000000,,,174834139000.000000,,-61798040000.000000,,,,-1400000.000000,27810000000.000000,,,,140844699000.000000,-481986138000.000000,1252298329000.000000,22277000.000000,,,770334468000.000000
