Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.06,906.87,1.09,879.75,2 B,2 B,4 B,(210 B),347 B
12M 2009,1.54,990.93,1.58,968.19,1 B,2 B,4 B,(180 B),407 B
12M 2010,2.05,571.97,2.08,562.79,2 B,4 B,6 B,(247 B),475 B
12M 2011,1.77,649.93,1.79,640.75,2 B,3 B,5 B,(251 B),553 B
12M 2012,2.25,751.38,2.28,742.20,28 B,,28 B,(265 B),635 B
12M 2013,2.69,816.70,2.72,807.52,35 B,,35 B,(281 B),699 B
12M 2014,1.97,859.31,1.99,850.14,39 B,,39 B,(283 B),747 B
12M 2015,1.50,869.21,1.52,855.79,32 B,,32 B,(390 B),748 B
12M 2016,1.82,963.91,1.85,950.49,62 B,,62 B,(311 B),695 B
12M 2017,1.97,996.70,1.99,983.28,71 B,,71 B,(380 B),734 B
12M 2018,1.81,1071.66,1.83,1058.24,40 B,,40 B,(266 B),787 B
12M 2019,1.93,1166.14,1.95,1152.72,64 B,,64 B,(275 B),841 B
12M 2020,2.04,1184.18,2.07,1170.76,70 B,,70 B,(195 B),844 B
12M 2021,2.23,1232.86,2.33,1181.53,98 B,,98 B,(485 B),932 B
12M 2022,1.89,1253.23,1.97,1200.77,54 B,,54 B,(303 B),966 B
12M 2023,1.33,1253.96,1.38,1205.87,75 B,,75 B,(165 B),937 B
12M 2024,1.24,1293.72,1.28,1250.01,43 B,,43 B,(315 B),956 B
