Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Biaya Operasi Kepada Pihak Yang Berelasi,Pembayaran Pajak Penghasilan Badan,Penerimaan Bunga,Penerimaan Neto Dari Aktivitas Operasi Lainnya,Penerimaan Pengembalian Pajak,(Pembayaran)/Penerimaan Pajak Lainnya,Pembayaran Hutang Lain-Lain Pihak Yang Mempunyai Hubungan Istimewa,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Aset Hak-Guna,Investasi Aset Tetap,Hasil Penjualan Penyertaan Saham,Pembelian Aset Tak Berwujud,Penambahan Properti Investasi,Investasi Pada Perusahaan Asosiasi,Investasi,Penerimaan Atas Klaim Asuransi,Investasi Pada Efek Ekuitas,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kontribusi Untuk Pendanaan Imbalan Kerja Karyawan,Penerimaan (Pembayaran) Pinjaman Bank,Pembayaran Dividen,Modal Treasuri,Penjualan Saham Diperoleh Kembali,Pembayaran Bagian Pokok Dari Liabilitas Sewa,Pembayaran Hutang Lain-Lain -Pihak Yang Mempunyai Hubungan Istimewa,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,116185088000.000000,566532472000.000000,-313189000000.000000,-96824047000.000000,-24812876000.000000,-22185460000.000000,6828065000.000000,,,-164066000.000000,,116185088000.000000,-15941210000.000000,27796005000.000000,-1083800000.000000,,,,,,,,,-42653415000.000000,-15941210000.000000,-40300000000.000000,-15100000000.000000,,-25200000000.000000,,,,,-40300000000.000000,-11119353000.000000,48824525000.000000,164663699000.000000,213488224000.000000
12M 2009,5688757000.000000,738143519000.000000,-489000934000.000000,-124895512000.000000,-90191458000.000000,-52857344000.000000,5869581000.000000,,14500383000.000000,4120522000.000000,,5688757000.000000,-19888445000.000000,2587936000.000000,-21582246000.000000,,,,,,,,,-894135000.000000,-19888445000.000000,-27053748000.000000,-1853748000.000000,,-25200000000.000000,,,,,-27053748000.000000,11508574000.000000,-29744862000.000000,213488224000.000000,183743362000.000000
12M 2010,130614145000.000000,916855143000.000000,-537466780000.000000,-108639541000.000000,-96251315000.000000,-49337967000.000000,3847296000.000000,9188657000.000000,,-7581348000.000000,,130614145000.000000,-31815113000.000000,7951970000.000000,-52593524000.000000,,,,,,,,9077369000.000000,3749072000.000000,-31815113000.000000,-32958927000.000000,-7758927000.000000,,-25200000000.000000,,,,,-32958927000.000000,2882826000.000000,68722931000.000000,183743362000.000000,252466293000.000000
12M 2011,72518015000.000000,953303849000.000000,-622742583000.000000,-117933859000.000000,-97988414000.000000,-45327691000.000000,6146826000.000000,,,-2940113000.000000,,72518015000.000000,-34186379000.000000,27914056000.000000,-66093157000.000000,,,,,,,,3992722000.000000,,-34186379000.000000,-33600000000.000000,,,-33600000000.000000,,,,,-33600000000.000000,-716541000.000000,4015095000.000000,252466293000.000000,256481388000.000000
12M 2012,119207439000.000000,1025928382000.000000,-706081405000.000000,-154231097000.000000,,-58136605000.000000,8311180000.000000,3416984000.000000,,,,119207439000.000000,-52233349000.000000,2709779000.000000,-54943128000.000000,,,,,,,,,,-52233349000.000000,-35280000000.000000,,,-35280000000.000000,,,,,-35280000000.000000,4737013000.000000,36431103000.000000,256481388000.000000,292912491000.000000
12M 2013,106931180000.000000,1107348299000.000000,-802055668000.000000,-151819816000.000000,,-58371103000.000000,8286070000.000000,3543398000.000000,,,,106931180000.000000,-53931973000.000000,1004236000.000000,-54936209000.000000,,,,,,,,,,-53931973000.000000,-41484665000.000000,,11155335000.000000,-52640000000.000000,,,,,-41484665000.000000,12273590000.000000,23788132000.000000,292912491000.000000,316700623000.000000
12M 2014,104436317000.000000,1121974528000.000000,-797740417000.000000,-186031342000.000000,,-49087301000.000000,11518626000.000000,3802223000.000000,,,,104436317000.000000,-55388336000.000000,5204439000.000000,-60592775000.000000,,,,,,,,,,-55388336000.000000,-44356280000.000000,,-11155335000.000000,-24640000000.000000,-8560945000.000000,,,,-44356280000.000000,464531000.000000,5156232000.000000,316700623000.000000,321856855000.000000
12M 2015,214166823000.000000,1263207849000.000000,-797457794000.000000,-234671073000.000000,,-35265995000.000000,14181463000.000000,4172373000.000000,,,,214166823000.000000,-38632518000.000000,1820287000.000000,-32201430000.000000,,,,-4751775000.000000,,-3499600000.000000,,,,-38632518000.000000,-78114771000.000000,,,-78114771000.000000,,,,,-78114771000.000000,2982696000.000000,100402230000.000000,321856855000.000000,422259085000.000000
12M 2016,187475539000.000000,1379213770000.000000,-903761576000.000000,-266618946000.000000,,-40763252000.000000,15023042000.000000,4382501000.000000,,,,187475539000.000000,-197171707000.000000,2690436000.000000,-195963149000.000000,,,,,,-3898994000.000000,,,,-197171707000.000000,-39057386000.000000,,,-39057386000.000000,,,,,-39057386000.000000,-1126953000.000000,-49880507000.000000,422259085000.000000,372378578000.000000
12M 2017,230738193000.000000,1577778286000.000000,-1017713061000.000000,-291189454000.000000,,-53649116000.000000,6028742000.000000,9482796000.000000,,,,230738193000.000000,-41309660000.000000,5114883000.000000,-38396543000.000000,,,,,,-8028000000.000000,,,,-41309660000.000000,-111592530000.000000,,,-111592530000.000000,,,,,-111592530000.000000,667091000.000000,78503094000.000000,372378578000.000000,450881672000.000000
