Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,577598911000.000000,577598911000.000000,577598911000.000000,-203925420000.000000,373673491000.000000,-271301914000.000000,-214858024000.000000,-80649798000.000000,26531381000.000000,2610543000.000000,-4936016000.000000,-271301914000.000000,102371577000.000000,6828065000.000000,6828065000.000000,,,6828065000.000000,109199642000.000000,-38380548000.000000,70819094000.000000,,,,,70819094000.000000,70819094000.000000,,70819094000.000000,,,,
12M 2009,869170910000.000000,869170910000.000000,869170910000.000000,-333094956000.000000,536075954000.000000,-427853000000.000000,-325981349000.000000,-90766429000.000000,463335000.000000,-11014570000.000000,-553987000.000000,-427853000000.000000,108222954000.000000,5869581000.000000,5869581000.000000,,,5869581000.000000,114092535000.000000,-41820302000.000000,72272233000.000000,,,,,72272233000.000000,72272233000.000000,,72272233000.000000,,,,
12M 2010,929196665000.000000,929196665000.000000,929196665000.000000,-341549889000.000000,587646776000.000000,-437625036000.000000,-370682132000.000000,-79875792000.000000,5014007000.000000,-3780759000.000000,11699640000.000000,-437625036000.000000,150021740000.000000,3847296000.000000,3847296000.000000,,,3847296000.000000,153869036000.000000,-42988514000.000000,110880522000.000000,,,,,110880522000.000000,110880522000.000000,,110880522000.000000,,,,
12M 2011,972297437000.000000,972297437000.000000,972297437000.000000,-349019084000.000000,623278353000.000000,-463100615000.000000,-390755957000.000000,-89493149000.000000,,,17148491000.000000,-463100615000.000000,160177738000.000000,6146825000.000000,6146825000.000000,,,6146825000.000000,166324563000.000000,-45409223000.000000,120915340000.000000,,,,120915340000.000000,120915340000.000000,120915340000.000000,,120915340000.000000,120915340000.000000,120915340000.000000,,120915340000.000000
12M 2012,1087379869000.000000,,1087379869000.000000,-436269979000.000000,651109890000.000000,-454944024000.000000,-366223366000.000000,-97578979000.000000,,,8858321000.000000,-454944024000.000000,196165866000.000000,8311180000.000000,8311180000.000000,,,8311180000.000000,204477046000.000000,-55567957000.000000,148909089000.000000,,,,148909089000.000000,148909089000.000000,148909089000.000000,,148909089000.000000,148909089000.000000,148909089000.000000,,148909089000.000000
12M 2013,1101684170000.000000,,1101684170000.000000,-441028093000.000000,660656077000.000000,-493576902000.000000,-403986180000.000000,-109234252000.000000,,,19643530000.000000,-493576902000.000000,167079175000.000000,8677602000.000000,8677602000.000000,,,8677602000.000000,175756777000.000000,-49960304000.000000,125796473000.000000,,,,125796473000.000000,125796473000.000000,125796473000.000000,,125796473000.000000,125796473000.000000,125796473000.000000,,125796473000.000000
12M 2014,1103821775000.000000,,1103821775000.000000,-518602093000.000000,585219682000.000000,-490749157000.000000,-380215834000.000000,-107800052000.000000,,,-2733271000.000000,-490749157000.000000,94470525000.000000,11395918000.000000,11395918000.000000,,,11395918000.000000,105866443000.000000,-24936967000.000000,80929476000.000000,,,,80929476000.000000,80929476000.000000,80929476000.000000,,80929476000.000000,80929476000.000000,80929476000.000000,,80929476000.000000
12M 2015,1306098136000.000000,,1306098136000.000000,-628364919000.000000,677733217000.000000,-550994859000.000000,-426190902000.000000,-133205786000.000000,,,8401829000.000000,-550994859000.000000,126738358000.000000,17699350000.000000,22139985000.000000,,-4440635000.000000,17699350000.000000,144437708000.000000,-36543278000.000000,107894430000.000000,-3717050000.000000,-3717050000.000000,-3717050000.000000,104177380000.000000,107894430000.000000,107894430000.000000,,107894430000.000000,104177380000.000000,104177380000.000000,,104177380000.000000
12M 2016,1451356680000.000000,,1451356680000.000000,-649918928000.000000,801437752000.000000,-597805393000.000000,-472688284000.000000,-125797244000.000000,,,680135000.000000,-597805393000.000000,203632359000.000000,10784697000.000000,13480871000.000000,,-2696174000.000000,10784697000.000000,214417056000.000000,-62333656000.000000,152083400000.000000,-6963736000.000000,-6963736000.000000,-6963736000.000000,145119664000.000000,152083400000.000000,152083400000.000000,,152083400000.000000,145119664000.000000,145119664000.000000,,145119664000.000000
12M 2017,1575647308000.000000,,1575647308000.000000,-681690889000.000000,893956419000.000000,-673990396000.000000,-542245518000.000000,-141468725000.000000,,,9723847000.000000,-673990396000.000000,219966023000.000000,6181898000.000000,7727372000.000000,,-1545474000.000000,6181898000.000000,226147921000.000000,-63898628000.000000,162249293000.000000,-13936306000.000000,-13936306000.000000,-13936306000.000000,148312987000.000000,162249293000.000000,162249293000.000000,,162249293000.000000,148312987000.000000,148312987000.000000,,148312987000.000000
12M 2018,1699657296000.000000,,1699657296000.000000,-774247594000.000000,925409702000.000000,-658099985000.000000,-533559771000.000000,-143901017000.000000,,,19360803000.000000,-658099985000.000000,267309717000.000000,5534187000.000000,6917734000.000000,,-1383547000.000000,5534187000.000000,272843904000.000000,-72191936000.000000,200651968000.000000,2672171000.000000,2672171000.000000,2672171000.000000,203324139000.000000,200651968000.000000,200651968000.000000,,200651968000.000000,203324139000.000000,203324139000.000000,,203324139000.000000
12M 2019,1813020278000.000000,,1813020278000.000000,-839538301000.000000,973481977000.000000,-676858254000.000000,-528370142000.000000,-151683716000.000000,,,3195604000.000000,-676858254000.000000,296623723000.000000,4626312000.000000,5782890000.000000,,-1156578000.000000,4626312000.000000,301250035000.000000,-79466786000.000000,221783249000.000000,-2583455000.000000,-2583455000.000000,-2583455000.000000,219199794000.000000,221783249000.000000,221783249000.000000,,221783249000.000000,219199794000.000000,219199794000.000000,,219199794000.000000
12M 2020,1829699557000.000000,,1829699557000.000000,-897710889000.000000,931988668000.000000,-721272562000.000000,-537105963000.000000,-190872591000.000000,,,6705992000.000000,-721272562000.000000,210716106000.000000,3353061000.000000,4289569000.000000,-78594000.000000,-857914000.000000,3353061000.000000,214069167000.000000,-51996183000.000000,162072984000.000000,-24169488000.000000,-24169488000.000000,-24169488000.000000,137903496000.000000,162072984000.000000,162072984000.000000,,162072984000.000000,137903496000.000000,137903496000.000000,,137903496000.000000
12M 2021,1900893602000.000000,,1900893602000.000000,-905125390000.000000,995768212000.000000,-787166177000.000000,-621836397000.000000,-183952113000.000000,,,18622333000.000000,-787166177000.000000,208602035000.000000,3191592000.000000,4143833000.000000,-123474000.000000,-828767000.000000,3191592000.000000,211793627000.000000,-65067999000.000000,146725628000.000000,25237314000.000000,25237314000.000000,25237314000.000000,171962942000.000000,146725628000.000000,146725628000.000000,,146725628000.000000,171962942000.000000,171962942000.000000,,171962942000.000000
12M 2022,1917041442000.000000,,1917041442000.000000,-910918060000.000000,1006123382000.000000,-807776006000.000000,-627990308000.000000,-202436886000.000000,,,22651188000.000000,-807776006000.000000,198347376000.000000,2725841000.000000,3621237000.000000,-171149000.000000,-724247000.000000,2725841000.000000,201073217000.000000,-51698206000.000000,149375011000.000000,-7246569000.000000,-7246569000.000000,-7246569000.000000,142128442000.000000,149375011000.000000,149375011000.000000,,149375011000.000000,142128442000.000000,142128442000.000000,,142128442000.000000
12M 2023,1890887506000.000000,,1890887506000.000000,-915647879000.000000,975239627000.000000,-785189616000.000000,-589042269000.000000,-208474090000.000000,,,12326743000.000000,-785189616000.000000,190050011000.000000,1588247000.000000,2070663000.000000,-68283000.000000,-414133000.000000,1588247000.000000,191638258000.000000,-45301893000.000000,146336365000.000000,-10004853000.000000,-10004853000.000000,-10004853000.000000,136331512000.000000,146336365000.000000,146336365000.000000,,146336365000.000000,136331512000.000000,136331512000.000000,,136331512000.000000
12M 2024,2087601399000.000000,,2087601399000.000000,-990579130000.000000,1097022269000.000000,-890619816000.000000,-680466078000.000000,-219181388000.000000,,,9027650000.000000,-890619816000.000000,206402453000.000000,3355366000.000000,4258408000.000000,-51360000.000000,-851682000.000000,3355366000.000000,209757819000.000000,-53610516000.000000,156147303000.000000,9352112000.000000,9352112000.000000,9352112000.000000,165499415000.000000,156147303000.000000,156147303000.000000,,156147303000.000000,165499415000.000000,165499415000.000000,,165499415000.000000
