Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Liabilitas Keuangan Lainnya,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,213488224000.000000,147991775000.000000,130297071000.000000,17694704000.000000,147991775000.000000,1812299000.000000,603173000.000000,1209126000.000000,1812299000.000000,60247254000.000000,33877728000.000000,457417280000.000000,,154379715000.000000,,,7251230000.000000,15190245000.000000,3422374000.000000,180243564000.000000,637660844000.000000,,,110647028000.000000,,,19768015000.000000,998321000.000000,20766336000.000000,,32213578000.000000,,,2881141000.000000,7486348000.000000,10367489000.000000,1504574000.000000,45795051000.000000,110647028000.000000,19164521000.000000,2406276000.000000,16758245000.000000,19164521000.000000,129811549000.000000,,280000000000.000000,77828471000.000000,150020824000.000000,4200000000.000000,145820824000.000000,150020824000.000000,,,507849295000.000000,637660844000.000000,560000000.000000
12M 2009,,,183743362000.000000,279658809000.000000,246009467000.000000,33649342000.000000,279658809000.000000,1172656000.000000,1172656000.000000,,1172656000.000000,118737701000.000000,22084795000.000000,605397323000.000000,,152893393000.000000,,,8511245000.000000,12734853000.000000,4076250000.000000,178215741000.000000,783613064000.000000,,,198476205000.000000,,,37053720000.000000,5890316000.000000,42944036000.000000,,26822825000.000000,,,4360607000.000000,34067857000.000000,38428464000.000000,1286250000.000000,88994630000.000000,198476205000.000000,30215331000.000000,2328742000.000000,27886589000.000000,30215331000.000000,228691536000.000000,,280000000000.000000,77828471000.000000,197093057000.000000,5600000000.000000,191493057000.000000,197093057000.000000,,,554921528000.000000,783613064000.000000,560000000.000000
12M 2010,,,252466293000.000000,292647710000.000000,264553433000.000000,28094277000.000000,292647710000.000000,525277000.000000,,,525277000.000000,97323366000.000000,7177863000.000000,650140509000.000000,,177505399000.000000,,,10576609000.000000,10279461000.000000,5608013000.000000,203969482000.000000,854109991000.000000,,,174921950000.000000,,,30683539000.000000,8440315000.000000,39123854000.000000,,13493136000.000000,,,10300845000.000000,46427345000.000000,56728190000.000000,1852049000.000000,63724721000.000000,174921950000.000000,38585991000.000000,4001320000.000000,34584671000.000000,38585991000.000000,213507941000.000000,,280000000000.000000,77828471000.000000,282773579000.000000,7000000000.000000,275773579000.000000,282773579000.000000,,,640602050000.000000,854109991000.000000,1120000000.000000
12M 2011,,,256481388000.000000,311526505000.000000,281512813000.000000,30013692000.000000,311526505000.000000,640071000.000000,,,640071000.000000,118443591000.000000,9833944000.000000,696925499000.000000,,199878090000.000000,,,14736083000.000000,10279461000.000000,6471860000.000000,231365494000.000000,928290993000.000000,,,144279679000.000000,,,27538944000.000000,1749073000.000000,29288017000.000000,,16909081000.000000,,,9407845000.000000,13810390000.000000,23218235000.000000,1855885000.000000,73008461000.000000,144279679000.000000,56093924000.000000,3489790000.000000,52604134000.000000,56093924000.000000,200373603000.000000,,280000000000.000000,77828471000.000000,370088919000.000000,9000000000.000000,361088919000.000000,370088919000.000000,,,727917390000.000000,928290993000.000000,1120000000.000000
12M 2012,,,292912491000.000000,390002690000.000000,368706527000.000000,21296163000.000000,390002690000.000000,,,,,132822565000.000000,10604794000.000000,826342540000.000000,,218295222000.000000,,10279461000.000000,13770141000.000000,,6004112000.000000,248348936000.000000,1074691476000.000000,,,191717606000.000000,,,33275633000.000000,1277700000.000000,34553333000.000000,105559488000.000000,13645489000.000000,27719379000.000000,,,,,,10239917000.000000,191717606000.000000,41427391000.000000,,41427391000.000000,41427391000.000000,233144997000.000000,,280000000000.000000,77828471000.000000,483718008000.000000,11000000000.000000,472718008000.000000,483718008000.000000,,,841546479000.000000,1074691476000.000000,1120000000.000000
12M 2013,,,316700623000.000000,377104867000.000000,320219766000.000000,56885101000.000000,377104867000.000000,,,,,206681880000.000000,13496592000.000000,913983962000.000000,,243055168000.000000,,10279461000.000000,16840936000.000000,,5894761000.000000,276070326000.000000,1190054288000.000000,,,215473310000.000000,11155335000.000000,,47213443000.000000,4983418000.000000,52196861000.000000,111037561000.000000,7536046000.000000,24071270000.000000,,,,,,9476237000.000000,215473310000.000000,59878026000.000000,,59878026000.000000,59878026000.000000,275351336000.000000,,280000000000.000000,77828471000.000000,556874481000.000000,22000000000.000000,534874481000.000000,556874481000.000000,,,914702952000.000000,1190054288000.000000,1120000000.000000
12M 2014,,,321856855000.000000,351272822000.000000,304457503000.000000,46815319000.000000,351272822000.000000,,,,,227049816000.000000,25114228000.000000,925293721000.000000,,267039943000.000000,,10279461000.000000,26285446000.000000,,7348954000.000000,310953804000.000000,1236247525000.000000,,,178583390000.000000,,,35439826000.000000,1714781000.000000,37154607000.000000,89647459000.000000,4874759000.000000,38671328000.000000,,,,,,8235237000.000000,178583390000.000000,95232652000.000000,,95232652000.000000,95232652000.000000,273816042000.000000,,280000000000.000000,77828471000.000000,613163957000.000000,33000000000.000000,580163957000.000000,613163957000.000000,,-8560945000.000000,962431483000.000000,1236247525000.000000,1120000000.000000
12M 2015,,,422259085000.000000,398510527000.000000,365905424000.000000,32605103000.000000,398510527000.000000,,,,,198658033000.000000,24402389000.000000,1043830034000.000000,,258265183000.000000,,15031236000.000000,33578619000.000000,,25573165000.000000,332448203000.000000,1376278237000.000000,,,296298118000.000000,,,49399641000.000000,3259367000.000000,52659008000.000000,171128034000.000000,12035879000.000000,31927650000.000000,,,,,,28547547000.000000,296298118000.000000,106462785000.000000,,106462785000.000000,106462785000.000000,402760903000.000000,,280000000000.000000,77828471000.000000,642829395000.000000,45000000000.000000,597829395000.000000,642829395000.000000,,-27140532000.000000,973517334000.000000,1376278237000.000000,1120000000.000000
12M 2016,,,372378578000.000000,461789437000.000000,440446957000.000000,21342480000.000000,461789437000.000000,,,,,209777851000.000000,25021228000.000000,1068967094000.000000,,404599316000.000000,,15031236000.000000,24594202000.000000,,18173710000.000000,462398464000.000000,1531365558000.000000,,,374427510000.000000,,,48922376000.000000,2647281000.000000,51569657000.000000,209579239000.000000,19482020000.000000,61868674000.000000,,,,,,31927920000.000000,374427510000.000000,77358436000.000000,,77358436000.000000,77358436000.000000,451785946000.000000,,280000000000.000000,77828471000.000000,755855409000.000000,56000000000.000000,699855409000.000000,755855409000.000000,,-34104268000.000000,1079579612000.000000,1531365558000.000000,1120000000.000000
12M 2017,,,450881672000.000000,478939527000.000000,448003830000.000000,30935697000.000000,478939527000.000000,,,,,203861591000.000000,41972811000.000000,1175655601000.000000,,395989095000.000000,,15031236000.000000,25710445000.000000,,28499770000.000000,465230546000.000000,1640886147000.000000,,,441622865000.000000,,,66737701000.000000,1401925000.000000,68139626000.000000,236174055000.000000,25114507000.000000,71043034000.000000,,,,,,41151643000.000000,441622865000.000000,82963213000.000000,,82963213000.000000,82963213000.000000,524586078000.000000,,280000000000.000000,77828471000.000000,806512172000.000000,56000000000.000000,750512172000.000000,806512172000.000000,,-48040574000.000000,1116300069000.000000,1640886147000.000000,1120000000.000000
12M 2018,,,306116733000.000000,566810140000.000000,550099354000.000000,16710786000.000000,566810140000.000000,,,,,280691038000.000000,49754461000.000000,1203372372000.000000,,394751573000.000000,,15031236000.000000,24666770000.000000,,44999788000.000000,479449367000.000000,1682821739000.000000,,,416537366000.000000,,,88590377000.000000,13685958000.000000,102276335000.000000,202032073000.000000,25051126000.000000,40351636000.000000,,,,,,46826196000.000000,416537366000.000000,66022510000.000000,,66022510000.000000,66022510000.000000,482559876000.000000,,280000000000.000000,77828658000.000000,887757907000.000000,56000000000.000000,831757907000.000000,887757907000.000000,,-45324702000.000000,1200261863000.000000,1682821739000.000000,1120000000.000000
12M 2019,,,339047459000.000000,550559163000.000000,535208236000.000000,15350927000.000000,550559163000.000000,,,,,333781178000.000000,56824533000.000000,1280212333000.000000,,392923654000.000000,67328088000.000000,15031236000.000000,29825087000.000000,,44640316000.000000,549748381000.000000,1829960714000.000000,,,439444037000.000000,,,128479180000.000000,14018948000.000000,142498128000.000000,158645818000.000000,26225683000.000000,64241493000.000000,,,,,,47832915000.000000,439444037000.000000,84437689000.000000,,84437689000.000000,84437689000.000000,523881726000.000000,,280000000000.000000,78162232000.000000,989922574000.000000,56000000000.000000,933922574000.000000,989922574000.000000,,-42005818000.000000,1306078988000.000000,1829960714000.000000,1120000000.000000
