Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pihak Ketiga,Pembayaran Kepada Pihak Berelasi,Penerimaan Dari Pihak Hubungan Istimewa,Penerimaan Hasil Obligasi,Penerimaan Bunga,Pembayaran Kepada Karyawan,Pembayaran Untuk Operasional,Pencairan Jaminan Deposito,Penempatan Jaminan Deposito,Penerimaan Deposito Yang Dibatasi Penggunaannya,Penerimaan Bunga Deposito,Pembayaran Beban Bunga,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Operasi,Penerimaan Atas Restitusi Pajak,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka,Pencairan (Penempatan) Jaminan Deposito,Pencairan Jaminan Deposito,Penempatan Jaminan Deposito,Total Pencairan (Penempatan) Jaminan Deposito,Pencairan (Penempatan) Reksa Dana,Pencairan (Penempatan) Investasi Jangka Pendek,Pelepasan Investasi Jangka Pendek,Penempatan Investasi Jangka Pendek,Total Pencairan (Penempatan) Investasi Jangka Pendek,Penerimaan Dividen,Penambahan Pada Ventura Bersama,Penerimaaan Dari Ventura Bersama,Distribusi Laba Kerjasama Operasi,Pembelian Aset Tidak Berwujud,Penerimaan Dari Kerjasama Operasi,Persediaan Tanah Dalam Pengembangan,Penambahan Penyertaan,Pembayaran Utang Lain-Lain Pihak Berelasi,Pengurangan Penyertaan,Uang Muka Pembelian Tanah,Penjualan Properti Investasi,Penambahan Properti Investasi,Penambahan Uang Muka Pembelian Properti Investasi,Pembelian Aset Tidak Lancar Yang Dimiliki Untuk Dijual,Penjualan Aset Tidak Lancar Yang Dimiliki Untuk Dijual,Pelepasan Investasi Jangka Panjang,Penjualan Aset Tetap,Penerimaan Piutang Lain-Lain – Pihak Berelasi,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pembayaran) Utang Bank,Penambahan Utang Bank,Pembayaran Utang Bank,Total Penambahan (Pembayaran) Utang Bank,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Pembayaran Dividen Entitas Anak Kepada Kepentingan Nonpengendali,Penerimaan Setoran Modal Dari Kepentingan Nonpengendali,Saham Diperoleh Kembali,Penjualan Kembali Modal Saham,Penambahan Piutang Lain-Lain - Pihak Berelasi,Penambahan Utang Lain-Lain - Pihak Berelasi,Pembayaran Utang Lain-Lain - Pihak Berelasi,Penambahan Utang Lain-Lain,Pembayaran Provisi Atas Utang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Saldo Kas Dan Setara Kas Entitas Anak Yang Sudah Tidak Dikonsolidasi,Kas Dan Setara Kas Akhir Periode
12M 2008,156236405265.000000,2135645499889.000000,,-1845329898796.000000,-373907743.000000,1583334169.000000,,8797181400.000000,-94518484895.000000,,,,,,,,,-49567318759.000000,156236405265.000000,25797877036.000000,,,42194164210.000000,-26515582260.000000,15678581950.000000,,,46906369847.000000,-25007662973.000000,21898706874.000000,,,,,,,,,,,,,-366324765.000000,,,,,820439190.000000,,-12233526213.000000,25797877036.000000,-23859385976.000000,,,,,,-20623125000.000000,,,,-3236260976.000000,,,,,,-23859385976.000000,158174896325.000000,131355845181.000000,90648402.000000,,289621389908.000000
12M 2009,195612509747.000000,1915862591012.000000,,-1627111446571.000000,-398654753.000000,,,21814347732.000000,-97880692002.000000,,,,,,,,14715716426.000000,-31389352097.000000,195612509747.000000,-45811167876.000000,,,164920800.000000,-4256910000.000000,-4091989200.000000,,,15161903065.000000,-51417440816.000000,-36255537751.000000,,,,,,,,,,,,,-2762031367.000000,,,,,1184249999.000000,,-3885859557.000000,-45811167876.000000,-5376887875.000000,,,,,,-5432941000.000000,,,,56053125.000000,,,,,,-5376887875.000000,144424453996.000000,289621389908.000000,-88006491.000000,,433957837413.000000
12M 2010,115697631543.000000,1635724659569.000000,,-1365550051235.000000,-532757180.000000,,,18896387137.000000,-86728427160.000000,-31832403820.000000,,,,,,,,-54279775768.000000,115697631543.000000,-89208750854.000000,,,2781350000.000000,-3933091000.000000,-1151741000.000000,,,15056250000.000000,-89508621250.000000,-74452371250.000000,,,,,,,,-2450000000.000000,,,,,,,,,,623334737.000000,,-11777973341.000000,-89208750854.000000,27615970925.000000,,,,,,-20625000000.000000,,41800000000.000000,,6440970925.000000,,,,,,27615970925.000000,54104851614.000000,433957837413.000000,150889133.000000,,488213578160.000000
12M 2011,274964595301.000000,1656651478152.000000,-1394448203633.000000,,,,,29485749964.000000,,,,,,,,,29806724185.000000,-46531153367.000000,274964595301.000000,-47444986936.000000,,,6129599012.000000,-18797640013.000000,-12668041001.000000,,,58928415714.000000,-75181662896.000000,-16253247182.000000,,,,13500000000.000000,,,,,,,,,,,,,,1997898260.000000,,-34021597013.000000,-47444986936.000000,-54852381197.000000,,,,,,-50024700000.000000,,,,,-4827681197.000000,,,,,-54852381197.000000,172667227168.000000,488213578157.000000,215349189.000000,,661096154514.000000
12M 2012,201506372224.000000,1887582540498.000000,-1652311414465.000000,,,,,30024665571.000000,,,,,,,-456910417.000000,,,-63332508963.000000,201506372224.000000,-37750834668.000000,,,4116300000.000000,-62322481955.000000,-58206181955.000000,,,70550000000.000000,-34757196901.000000,35792803099.000000,,,,16479914415.000000,,,,-2753400000.000000,,,,,,,,,,1475318927.000000,,-30539289154.000000,-37750834668.000000,-136119966000.000000,,21688000000.000000,,21688000000.000000,,-150040000000.000000,-10000000.000000,200000000.000000,,,,,-7957966000.000000,,,-136119966000.000000,27635571556.000000,661096154514.000000,8953837285.000000,,697685563355.000000
12M 2013,-111647133000.000000,2054495632000.000000,-2121401486000.000000,,,,,32132639000.000000,,,,,,,-6126393000.000000,,238925000.000000,-70986450000.000000,-111647133000.000000,-26587061000.000000,,,25765150000.000000,-27593926000.000000,-1828776000.000000,,,32283781000.000000,-35724298000.000000,-3440517000.000000,,,,,,20363208000.000000,,-15240000000.000000,,,,1588250000.000000,-17200464000.000000,,,,,1124534000.000000,,-11953296000.000000,-26587061000.000000,-1018376000.000000,,78312000000.000000,-6713207000.000000,71598793000.000000,,-100015300000.000000,,,,,-7453238000.000000,34851369000.000000,,,,-1018376000.000000,-139252570000.000000,697685563000.000000,-10008593000.000000,,548424400000.000000
12M 2014,210178394000.000000,2308046598000.000000,-1885698848000.000000,,,,,37246021000.000000,,,,-180550000000.000000,,,,,,-68865377000.000000,210178394000.000000,-4670531000.000000,,,,,,,,28117555000.000000,,28117555000.000000,,,,,,12122805000.000000,,-24389205000.000000,,,,,-144098000.000000,,-15000000000.000000,,68241000.000000,409261000.000000,,-5855090000.000000,-4670531000.000000,-158787332000.000000,,,,,,-119350000000.000000,,,,,-2000000000.000000,14038000.000000,-37451370000.000000,,,-158787332000.000000,46720531000.000000,548424400000.000000,-1195287000.000000,-15232122000.000000,578717522000.000000
12M 2015,306248359000.000000,2265049554000.000000,-1930084113000.000000,,,,,52622121000.000000,,,22550000000.000000,-17300000000.000000,,,-109589000.000000,,,-86479614000.000000,306248359000.000000,-119191746000.000000,-43406545000.000000,,,,,,-29885140000.000000,,,-29885140000.000000,,,74528046000.000000,,,,,,,,,,,,,,,1684646000.000000,,-122112753000.000000,-119191746000.000000,-43444038000.000000,,40000000000.000000,,40000000000.000000,,-102300000000.000000,,16000000000.000000,,,3270000000.000000,,-14038000.000000,,-400000000.000000,-43444038000.000000,143612575000.000000,578717522000.000000,10649766000.000000,,732979863000.000000
12M 2016,208744890000.000000,2210623117000.000000,-2034574443000.000000,,,,5431995000.000000,37385753000.000000,,,79876090000.000000,-8300000000.000000,,,-3859986000.000000,,,-77837636000.000000,208744890000.000000,-143104667000.000000,,,,,,,,10000000000.000000,-45107360000.000000,-35107360000.000000,,,9181489000.000000,,-1120092000.000000,,-86813455000.000000,,,,,,-1426874000.000000,,,,,435229000.000000,,-28253604000.000000,-143104667000.000000,-149039799000.000000,,,-14250000000.000000,-14250000000.000000,,-136400000000.000000,,1425000000.000000,,,1162502000.000000,,-977301000.000000,,,-149039799000.000000,-83399576000.000000,732979863000.000000,6407226000.000000,,655987513000.000000
12M 2017,226695187000.000000,2621379228000.000000,-2349652490000.000000,,,,11444721000.000000,31783789000.000000,,,25698000000.000000,-22000000000.000000,,,-2532583000.000000,,,-89425478000.000000,226695187000.000000,-45322690000.000000,,,,,,,,48777585000.000000,-84823472000.000000,-36045887000.000000,,,31415175000.000000,,-279466000.000000,,,,,,,,,,-490087000.000000,,,286653000.000000,,-40209078000.000000,-45322690000.000000,-162150000000.000000,,,-8700000000.000000,-8700000000.000000,,-153450000000.000000,,,,,,,,,,-162150000000.000000,19222497000.000000,655987513000.000000,-4488417000.000000,,670721593000.000000
