Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Retensi,Pihak Berelasi,Pihak Ketiga,Total Piutang Retensi,Tagihan Bruto Kepada Pemberi Kerja,Pihak Berelasi,Pihak Ketiga,Total Tagihan Bruto Kepada Pemberi Kerja,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Tanah Untuk Dikembangkan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,289621389908.000000,34350000000.000000,202499329778.000000,12546384608.000000,189952945170.000000,202499329778.000000,112413346020.000000,,,112413346020.000000,289060933838.000000,,,289060933838.000000,2390617594.000000,861300000.000000,1529317594.000000,2390617594.000000,,229305785969.000000,1159641403107.000000,,,51947682691.000000,59364359270.000000,,66677193889.000000,177989235850.000000,1337630638957.000000,,,825535318337.000000,,,112915391897.000000,112915391897.000000,,171176436.000000,25994573463.000000,26165749899.000000,46586396739.000000,383566807761.000000,,,30791762770.000000,30791762770.000000,225509209271.000000,825535318337.000000,66916848273.000000,,,26982775884.000000,26982775884.000000,39934072389.000000,66916848273.000000,892452166610.000000,,275000000000.000000,66608653137.000000,106806080186.000000,10000000000.000000,96806080186.000000,106806080186.000000,,-3236260976.000000,445178472347.000000,1337630638957.000000,2750000000.000000
12M 2009,,,433957837413.000000,40905537751.000000,170509807628.000000,3796010792.000000,166713796836.000000,170509807628.000000,142604035447.000000,,,142604035447.000000,195296562506.000000,,,195296562506.000000,7372066680.000000,,7372066680.000000,7372066680.000000,,127382042720.000000,1118027890145.000000,,,52305466738.000000,56545121642.000000,,62670310383.000000,171520898763.000000,1289548788908.000000,,,726276324081.000000,,,65011127246.000000,65011127246.000000,,171176436.000000,49313241721.000000,49484418157.000000,37642452237.000000,321586710563.000000,,,28087828826.000000,28087828826.000000,224463787052.000000,726276324081.000000,71293365761.000000,,,30003046783.000000,30003046783.000000,41290318978.000000,71293365761.000000,797569689842.000000,,275000000000.000000,66640576310.000000,153403565215.000000,11000000000.000000,142403565215.000000,153403565215.000000,147088563.000000,-3212131023.000000,491979099065.000000,1289548788907.000000,2750000000.000000
12M 2010,,,488213578157.000000,118421816341.000000,195249912028.000000,2446234580.000000,192803677448.000000,195249912028.000000,175495952702.000000,,,175495952702.000000,205485152184.000000,,,205485152184.000000,41235610601.000000,30140960000.000000,11094650601.000000,41235610601.000000,,141325808939.000000,1365427830952.000000,,,50036776478.000000,61240178801.000000,41000000000.000000,71644814174.000000,223921769453.000000,1589349600405.000000,,,907072934682.000000,,,53922774868.000000,53922774868.000000,,2600000000.000000,29077135100.000000,31677135100.000000,43346596920.000000,466412425785.000000,,,21018429305.000000,21018429305.000000,290695572704.000000,907072934682.000000,82047702752.000000,,,32911874064.000000,32911874064.000000,49135828688.000000,82047702752.000000,989120637434.000000,,341000000000.000000,3869416211.000000,213550897242.000000,20000000000.000000,193550897242.000000,213550897242.000000,41808649518.000000,,600228962971.000000,1589349600405.000000,3410000000.000000
12M 2011,,,661096154514.000000,134675063523.000000,245949500594.000000,1762385462.000000,244187115132.000000,245949500594.000000,122936078573.000000,,,122936078573.000000,266239512663.000000,,,266239512663.000000,42244206197.000000,34968641197.000000,7275565000.000000,42244206197.000000,564330240.000000,131512497517.000000,1605217343821.000000,,,47630196687.000000,84301990975.000000,41000000000.000000,119269099508.000000,292201287170.000000,1897418630991.000000,,,1143439969445.000000,,,72367935489.000000,72367935489.000000,,9163951750.000000,20378635266.000000,29542587016.000000,52767062538.000000,558323452257.000000,,,21721702523.000000,21721702523.000000,408717229622.000000,1143439969445.000000,80259848678.000000,,,22576396145.000000,22576396145.000000,57683452533.000000,80259848678.000000,1223699818123.000000,,341000000000.000000,3869416211.000000,288363592260.000000,30000000000.000000,258363592260.000000,288363592260.000000,40485804397.000000,,673718812868.000000,1897418630991.000000,3410000000.000000
12M 2012,,,697685563355.000000,98882260424.000000,228245741386.000000,14389779515.000000,213855961871.000000,228245741386.000000,160306277833.000000,2410025835.000000,157896251998.000000,160306277833.000000,265776714894.000000,16905219075.000000,248871495819.000000,265776714894.000000,48892447359.000000,42993926000.000000,5898521359.000000,48892447359.000000,133700322622.000000,150533033431.000000,1784022361304.000000,,,45223616896.000000,99649672343.000000,,135173765305.000000,280047054544.000000,2064069415848.000000,,,1235301466578.000000,,,65747429003.000000,65747429003.000000,,9163951750.000000,52214408820.000000,61378360570.000000,56368367166.000000,554687150672.000000,,1556715916.000000,18103528863.000000,19660244779.000000,477459914388.000000,1235301466578.000000,122930891474.000000,,20131284084.000000,28354686014.000000,48485970098.000000,74444921376.000000,122930891474.000000,1358232358052.000000,,341000000000.000000,3869416211.000000,313985067945.000000,40000000000.000000,273985067945.000000,313985067945.000000,46982573640.000000,,705837057796.000000,2064069415848.000000,3410000000.000000
12M 2013,,,548424400000.000000,99914846000.000000,279577921000.000000,28483683000.000000,251094238000.000000,279577921000.000000,176497298000.000000,5518442000.000000,170978856000.000000,176497298000.000000,353122692000.000000,9307147000.000000,343815545000.000000,353122692000.000000,55520172000.000000,50447164000.000000,5073008000.000000,55520172000.000000,185186596000.000000,237882535000.000000,1936126460000.000000,,,59446517000.000000,93273653000.000000,,137571847000.000000,290292017000.000000,2226418477000.000000,,,1225647395000.000000,,,94001988000.000000,94001988000.000000,,44015321000.000000,27030834000.000000,71046155000.000000,60040241000.000000,486905045000.000000,,21841304000.000000,26015934000.000000,47857238000.000000,465796728000.000000,1225647395000.000000,181780672000.000000,,71445489000.000000,26450181000.000000,97895670000.000000,83885002000.000000,181780672000.000000,1407428067000.000000,,341000000000.000000,3869416000.000000,408260733000.000000,50000000000.000000,358260733000.000000,408260733000.000000,65860261000.000000,,818990410000.000000,2226418477000.000000,3410000000.000000
12M 2014,,,578717522000.000000,67153828000.000000,418482244000.000000,30092870000.000000,388389374000.000000,418482244000.000000,224046875000.000000,6892433000.000000,217154442000.000000,224046875000.000000,335611112000.000000,10810620000.000000,324800492000.000000,335611112000.000000,56438330000.000000,42253462000.000000,14184868000.000000,56438330000.000000,,342386982000.000000,2022836893000.000000,,,42032559000.000000,70990871000.000000,,347886072000.000000,460909502000.000000,2483746395000.000000,,,1557919993000.000000,,,69915637000.000000,69915637000.000000,,5424232000.000000,22920099000.000000,28344331000.000000,72288844000.000000,519692280000.000000,,,26678624000.000000,26678624000.000000,841000277000.000000,1557919993000.000000,126591589000.000000,,,30797965000.000000,30797965000.000000,95793624000.000000,126591589000.000000,1684511582000.000000,,341000000000.000000,3869416000.000000,452583974000.000000,60000000000.000000,392583974000.000000,452583974000.000000,1781423000.000000,,799234813000.000000,2483746395000.000000,3410000000.000000
12M 2015,,,732979863000.000000,75556590000.000000,350848348000.000000,41682385000.000000,309165963000.000000,350848348000.000000,235285540000.000000,,235285540000.000000,235285540000.000000,415813301000.000000,32000000.000000,415781301000.000000,415813301000.000000,49450648000.000000,38983462000.000000,10467186000.000000,49450648000.000000,6482080000.000000,369688681000.000000,2236105051000.000000,,,39455293000.000000,194298289000.000000,,376293987000.000000,610047569000.000000,2846152620000.000000,,,1777039950000.000000,,1180825000.000000,154461268000.000000,155642093000.000000,,5410194000.000000,21404822000.000000,26815016000.000000,56617336000.000000,628515790000.000000,,15956001000.000000,24057696000.000000,40013697000.000000,869436018000.000000,1777039950000.000000,202798047000.000000,,23643999000.000000,35669324000.000000,59313323000.000000,143484724000.000000,202798047000.000000,1979837997000.000000,,341000000000.000000,3869416000.000000,504540518000.000000,70000000000.000000,434540518000.000000,504540518000.000000,17684090000.000000,-779401000.000000,866314623000.000000,2846152620000.000000,3410000000.000000
12M 2016,,,655987513000.000000,112269591000.000000,357000703000.000000,45050164000.000000,311950539000.000000,357000703000.000000,308495269000.000000,,308495269000.000000,308495269000.000000,414344860000.000000,796119000.000000,413548741000.000000,414344860000.000000,49019174000.000000,37820960000.000000,11198214000.000000,49019174000.000000,16491169000.000000,371333151000.000000,2284941430000.000000,,,38207705000.000000,186495179000.000000,130220000000.000000,310695597000.000000,665618481000.000000,2950559911000.000000,,,1784172230000.000000,,,188935254000.000000,188935254000.000000,,4432893000.000000,3484730000.000000,7917623000.000000,74846316000.000000,697631464000.000000,,8632082000.000000,27371062000.000000,36003144000.000000,778838429000.000000,1784172230000.000000,223777390000.000000,,16999209000.000000,40004072000.000000,57003281000.000000,166774109000.000000,223777390000.000000,2007949620000.000000,,341000000000.000000,4728478000.000000,591157695000.000000,70000000000.000000,521157695000.000000,591157695000.000000,17378599000.000000,-11654480000.000000,942610292000.000000,2950559912000.000000,3410000000.000000
12M 2017,,,670721593000.000000,167523625000.000000,469409346000.000000,60560167000.000000,408849179000.000000,469409346000.000000,362513147000.000000,,362513147000.000000,362513147000.000000,428826804000.000000,,428826804000.000000,428826804000.000000,49149390000.000000,37820960000.000000,11328430000.000000,49149390000.000000,5349054000.000000,360473606000.000000,2513966565000.000000,,,35555902000.000000,230614810000.000000,130220000000.000000,332736197000.000000,729126909000.000000,3243093474000.000000,,,1994003155000.000000,,85989000.000000,236781895000.000000,236867884000.000000,,58346904000.000000,20331023000.000000,78677927000.000000,82490313000.000000,883864455000.000000,,9858362000.000000,33257438000.000000,43115800000.000000,668986776000.000000,1994003155000.000000,238991311000.000000,,7140847000.000000,53331954000.000000,60472801000.000000,178518510000.000000,238991311000.000000,2232994466000.000000,,341000000000.000000,4728478000.000000,682225440000.000000,70000000000.000000,612225440000.000000,682225440000.000000,4129380000.000000,-21984290000.000000,1010099008000.000000,3243093474000.000000,3410000000.000000
