Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Pendapatan Bersih Ventura Bersama,Laba Kotor Setelah Ventura Bersama,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Non-Operasional,Beban Non-Operasional,Bagian Atas Hasil Bersih Entitas Asosiasi,Final,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1902382129136.000000,-1805760912348.000000,96621216788.000000,17066369449.000000,113687586237.000000,-61140266272.000000,-59352418103.000000,-1787848169.000000,-61140266272.000000,52547319965.000000,,,,,,,,,52547319965.000000,-35163997424.000000,-17716830665.000000,-17447166759.000000,-35163997424.000000,17383322541.000000,,17383322541.000000,,,,,17383322541.000000,17383322541.000000,,17383322541.000000,,,,
12M 2009,1730572704266.000000,-1564622574716.000000,165950129550.000000,4503941817.000000,170454071367.000000,-66348777892.000000,-78379619503.000000,12030841611.000000,-66348777892.000000,104105293475.000000,,,,,,,,,104105293475.000000,-52077999087.000000,-52077999087.000000,,-52077999087.000000,52027294388.000000,3131641.000000,52030426029.000000,,,,,52030426029.000000,52027294388.000000,3131641.000000,52030426029.000000,,,,
12M 2010,1541101217520.000000,-1345290234680.000000,195810982840.000000,350273911.000000,196161256751.000000,-69498114472.000000,-94896869322.000000,25398754850.000000,-69498114472.000000,126663142279.000000,1610107.000000,,,,,1610107.000000,,1610107.000000,126664752386.000000,-46035899585.000000,-46035899585.000000,,-46035899585.000000,80628852801.000000,143479226.000000,80772332027.000000,,,,,80772332027.000000,80628852801.000000,143479226.000000,80772332027.000000,,,,
12M 2011,1569453329087.000000,-1325209172206.000000,244244156881.000000,8742432082.000000,252986588963.000000,-80750847970.000000,-114396317280.000000,33645469310.000000,-80750847970.000000,172235740993.000000,,,,,,,,,172235740993.000000,-48721191096.000000,,,-48721191096.000000,123514549897.000000,,123514549897.000000,,,,123514549897.000000,123514549897.000000,124837395018.000000,-1322845121.000000,123514549897.000000,123514549897.000000,124837395018.000000,-1322845121.000000,123514549897.000000
12M 2012,1833934367208.000000,-1485385584944.000000,348548782264.000000,757810530.000000,349306592794.000000,-107901236612.000000,-160943243678.000000,53042007066.000000,-107901236612.000000,241405356182.000000,-456910417.000000,-456910417.000000,,,,,,-456910417.000000,240948445765.000000,-59230200837.000000,,,-59230200837.000000,181718244928.000000,,181718244928.000000,,,,181718244928.000000,181718244928.000000,175661475685.000000,6056769243.000000,181718244928.000000,181718244928.000000,175661475685.000000,6056769243.000000,181718244928.000000
12M 2013,2287323024000.000000,-1855329307000.000000,431993717000.000000,8530262000.000000,440523979000.000000,-144320790000.000000,-184307594000.000000,39986804000.000000,-144320790000.000000,296203189000.000000,-6126393000.000000,-6126393000.000000,,,,,,-6126393000.000000,290076796000.000000,-76908143000.000000,,,-76908143000.000000,213168653000.000000,,213168653000.000000,,,,213168653000.000000,213168653000.000000,194290965000.000000,18877688000.000000,213168653000.000000,213168653000.000000,194290965000.000000,18877688000.000000,213168653000.000000
12M 2014,2106349117000.000000,-1798723177000.000000,307625940000.000000,22518908000.000000,330144848000.000000,-89054200000.000000,-153399636000.000000,64345436000.000000,-89054200000.000000,241090648000.000000,,,,,,,,,241090648000.000000,-77339712000.000000,,,-77339712000.000000,163750936000.000000,,163750936000.000000,,,,163750936000.000000,163750936000.000000,163673241000.000000,77695000.000000,163750936000.000000,163750936000.000000,163673241000.000000,77695000.000000,163750936000.000000
12M 2015,2266168030000.000000,-1923848297000.000000,342319733000.000000,62307011000.000000,404626744000.000000,-141364673000.000000,-176123121000.000000,34758448000.000000,-141364673000.000000,263262071000.000000,-65902664000.000000,-109589000.000000,,,,,-65793075000.000000,-65902664000.000000,197359407000.000000,-6066496000.000000,-6066496000.000000,,-6066496000.000000,191292911000.000000,,191292911000.000000,-6527814000.000000,-6527814000.000000,-6527814000.000000,184765097000.000000,191292911000.000000,191398526000.000000,-105615000.000000,191292911000.000000,184765097000.000000,184870852000.000000,-105755000.000000,184765097000.000000
12M 2016,2379016258000.000000,-1958867647000.000000,420148611000.000000,60220550000.000000,480369161000.000000,-180517928000.000000,-196649565000.000000,16131637000.000000,-180517928000.000000,299851233000.000000,-73992134000.000000,-4141277000.000000,,,,,-69850857000.000000,-73992134000.000000,225859099000.000000,-4571715000.000000,-4571715000.000000,,-4571715000.000000,221287384000.000000,,221287384000.000000,-10875830000.000000,-10875830000.000000,-10875830000.000000,210411554000.000000,221287384000.000000,223017177000.000000,-1729793000.000000,221287384000.000000,210411554000.000000,212142098000.000000,-1730544000.000000,210411554000.000000
12M 2017,2936372440000.000000,-2496111837000.000000,440260603000.000000,61817729000.000000,502078332000.000000,-178685886000.000000,-206589675000.000000,27903789000.000000,-178685886000.000000,323392446000.000000,-89376383000.000000,-2600501000.000000,,,,,-86775882000.000000,-89376383000.000000,234016063000.000000,-2746978000.000000,-2746978000.000000,,-2746978000.000000,231269085000.000000,,231269085000.000000,-10330369000.000000,-10330369000.000000,-10330369000.000000,220938716000.000000,231269085000.000000,244517745000.000000,-13248660000.000000,231269085000.000000,220938716000.000000,234187935000.000000,-13249219000.000000,220938716000.000000
