Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.54,161.88,0.54,161.88,,,,(290 B),334 B
12M 2009,1.04,178.85,1.04,178.85,,,,(434 B),392 B
12M 2010,1.56,163.76,1.56,163.76,,,,(488 B),458 B
12M 2011,1.53,185.70,1.53,185.70,,,,(661 B),462 B
12M 2012,4.66,193.21,4.66,193.21,2 B,20 B,22 B,(676 B),549 B
12M 2013,2.26,220.86,2.26,220.86,22 B,71 B,93 B,(455 B),710 B
12M 2014,4.79,233.86,4.79,233.86,,,,(579 B),465 B
12M 2015,2.47,248.87,2.47,248.87,16 B,24 B,40 B,(693 B),459 B
12M 2016,2.82,271.33,2.82,271.33,9 B,17 B,26 B,(630 B),501 B
12M 2017,2.24,295.01,2.24,295.01,10 B,7 B,17 B,(654 B),520 B
12M 2018,1.81,309.16,1.81,309.16,,,,(676 B),725 B
12M 2019,1.38,316.49,1.38,316.49,,,,(657 B),678 B
12M 2020,1.11,334.84,1.11,334.84,,,,(608 B),725 B
12M 2021,0.87,362.05,0.87,362.05,,,,(760 B),756 B
12M 2022,0.83,364.43,0.83,364.43,,,,(931 B),759 B
12M 2023,1.20,313.66,1.20,313.66,,,,(729 B),621 B
12M 2024,1.95,348.92,1.95,348.92,,,,"(1,034 B)",589 B
