Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,6473847833.000000,-2628953492.000000,3844894341.000000,-3367002420.000000,477891921.000000,-3632118.000000,1130963.000000,-4935374.000000,172293.000000,-3632118.000000,474259803.000000,-107849696.000000,-156594645.000000,48744949.000000,-107849696.000000,366410107.000000,4687318.000000,371097425.000000,366410107.000000,366410107.000000,,366410107.000000,371097425.000000,371097425.000000,,371097425.000000
12M 2019,12615551557.000000,-4156448421.000000,8459103136.000000,-8046366086.000000,412737050.000000,137907343.000000,22108591.000000,-8092592.000000,123891344.000000,137907343.000000,550644393.000000,-290501300.000000,-321593043.000000,31091743.000000,-290501300.000000,260143093.000000,149549413.000000,409692506.000000,260143093.000000,260143093.000000,,260143093.000000,409692506.000000,409692506.000000,,409692506.000000
12M 2020,13158116600.000000,-6172248526.000000,6985868074.000000,-8035707896.000000,-1049839822.000000,-949185648.000000,116714213.000000,-578471492.000000,-487428369.000000,-949185648.000000,-1999025470.000000,317838375.000000,,317838375.000000,317838375.000000,-1681187095.000000,24217063.000000,-1656970032.000000,-1681187095.000000,-1681187095.000000,,-1681187095.000000,-1656970032.000000,-1656970032.000000,,-1656970032.000000
12M 2021,8447187923.000000,-3909961156.000000,4537226767.000000,-6697467626.000000,-2160240859.000000,-143036666.000000,333974796.000000,-667418705.000000,190407243.000000,-143036666.000000,-2303277525.000000,462974894.000000,,462974894.000000,462974894.000000,-1840302631.000000,120294240.000000,-1720008391.000000,-1840302631.000000,-1840302631.000000,,-1840302631.000000,-1720008391.000000,-1720008391.000000,,-1720008391.000000
12M 2022,8432422626.000000,-3378968312.000000,5053454314.000000,-6254242588.000000,-1200788274.000000,1100617984.000000,456704.000000,-415727231.000000,1515888511.000000,1100617984.000000,-100170290.000000,6067762.000000,,6067762.000000,6067762.000000,-94102528.000000,108696034.000000,14593506.000000,-94102528.000000,-94102528.000000,,-94102528.000000,14593506.000000,14593506.000000,,14593506.000000
12M 2023,7784775847.000000,-3083039053.000000,4701736794.000000,-5441910871.000000,-740174077.000000,852715540.000000,164874.000000,-182568278.000000,1035118944.000000,852715540.000000,112541463.000000,-89688727.000000,,-89688727.000000,-89688727.000000,22852736.000000,-4928447.000000,17924289.000000,22852736.000000,22852736.000000,,22852736.000000,17924289.000000,17924289.000000,,17924289.000000
