Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan (Pengeluaran) Lainnya,Penerimaan Dari Pendapatan Keuangan,Pembayaran Biaya Operasional,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Investasi,Penerimaan Kas Dari Piutang Lain-Lain,Pembelian Aset Tidak Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan Tambahan Modal Disetor,Kenaikan Modal Saham,Penurunan (Kenaikan) Piutang Lain-Lain,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Lain-Lain Pihak Berelasi,Pembayaran Untuk Biaya Emisi,Pembayaran Bunga Bank,Pinjaman Bank,Pembayaran Utang Bank Jangka Panjang,Pembayaran Pokok Pinjaman,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,6616620251.000000,15503919111.000000,-4244345910.000000,-4342246802.000000,-34283071.000000,1130963.000000,,-4935374.000000,-262618666.000000,,6616620251.000000,-3512656417.000000,350000000.000000,,,-3862656417.000000,-3512656417.000000,6262947715.000000,15300000000.000000,,-5390618315.000000,,-3646433970.000000,,,,,,,6262947715.000000,9366911549.000000,,453029278.000000,9819940827.000000
12M 2019,1213592764.000000,12880219094.000000,-3579052205.000000,-7500043872.000000,123891344.000000,22108591.000000,,-8092592.000000,-725437596.000000,,1213592764.000000,-39036980865.000000,,,,-39036980865.000000,-39036980865.000000,29445341801.000000,15300000000.000000,15000000000.000000,797762620.000000,,-118996522.000000,-1533424297.000000,,,,,,29445341801.000000,-8378046300.000000,,9819940831.000000,1441894531.000000
12M 2020,-1289518944.000000,9554349001.000000,-5053165265.000000,-3532285324.000000,-1805022682.000000,116714213.000000,,-554583070.000000,-15525817.000000,,-1289518944.000000,-476100370.000000,,,,-476100370.000000,-476100370.000000,477448467.000000,,,-3589040948.000000,,,,,5000000000.000000,-625000000.000000,,-308510585.000000,477448467.000000,-1288170847.000000,,1441894531.000000,153723684.000000
12M 2021,-1147544263.000000,8624020206.000000,-4633979667.000000,-2905226801.000000,-1897185523.000000,333974796.000000,,-669147274.000000,,,-1147544263.000000,-8757000.000000,,,,-8757000.000000,-8757000.000000,1333721330.000000,,,2447622651.000000,,,,,,-913048746.000000,,-200852575.000000,1333721330.000000,177420067.000000,,153723684.000000,331143751.000000
12M 2022,752283620.000000,7940703617.000000,-4047475109.000000,-2931275553.000000,231891646.000000,351858.000000,,-415727231.000000,-26185608.000000,,752283620.000000,1049535466.000000,1105000000.000000,,-51000000.000000,-4464534.000000,1049535466.000000,-2035102965.000000,,,-390169426.000000,,,,,485548746.000000,-896115445.000000,,-1234366840.000000,-2035102965.000000,-233283879.000000,,331143751.000000,97859872.000000
12M 2023,1413307991.000000,9915837075.000000,-6056591021.000000,-2104672900.000000,-140579310.000000,164874.000000,,-182568278.000000,-18282449.000000,,1413307991.000000,-120375000.000000,,,12750000.000000,-133125000.000000,-120375000.000000,-817065263.000000,,,-511669009.000000,,,,,,-305396254.000000,,,-817065263.000000,475867728.000000,,97859872.000000,573727600.000000
