Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,3.28,170.73,3.41,164.44,83 B,,83 B,74 B,(3 B)
12M 2016,3.97,115.95,4.18,110.10,81 B,,81 B,65 B,(6 B)
12M 2017,2.87,117.84,3.01,112.43,77 B,,77 B,60 B,(5 B)
12M 2018,5.89,81.45,6.28,76.49,98 B,,98 B,87 B,(8 B)
12M 2019,5.83,108.00,6.09,103.48,81 B,,81 B,69 B,(4 B)
12M 2020,1.85,257.85,1.86,255.39,33 B,,33 B,5 B,46 B
12M 2021,2.92,339.35,2.93,337.63,,,,(36 B),86 B
12M 2022,8.04,378.14,8.07,376.63,,,,(34 B),98 B
12M 2023,2.32,438.38,2.32,437.06,,,,(31 B),115 B
12M 2024,2.98,503.59,2.99,502.47,,,,(23 B),135 B
