Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,9104616645.000000,18314054954.000000,,,18314054954.000000,57800072363.000000,3000864034.000000,88219607996.000000,,28247860002.000000,955366175.000000,,2503443281.000000,8030808181.000000,39737477639.000000,127957085635.000000,,,91084765959.000000,82770000000.000000,6011655775.000000,,,6011655775.000000,,35860523.000000,1661685484.000000,605564177.000000,91084765959.000000,10921120690.000000,,10921120690.000000,10921120690.000000,102005886649.000000,,38000000000.000000,,-20129604283.000000,,,-20129604283.000000,317837.000000,8080485432.000000,25951198986.000000,127957085635.000000,152000000.000000
12M 2016,,,15647912923.000000,21590015967.000000,,,21590015967.000000,37046378150.000000,4729843764.000000,79014150804.000000,,27356859583.000000,888269347.000000,5407507480.000000,3166442041.000000,3604015360.000000,40423093811.000000,119437244615.000000,,,85261617389.000000,80616000000.000000,256193722.000000,,,256193722.000000,,1804224631.000000,1556934475.000000,1028264561.000000,85261617389.000000,16551093757.000000,,16551093757.000000,16551093757.000000,101812711146.000000,,38000000000.000000,8080485432.000000,-30889640289.000000,,,-30889640289.000000,317835.000000,2433370491.000000,17624533469.000000,119437244615.000000,152000000.000000
12M 2017,,,16641026082.000000,21801986472.000000,,,21801986472.000000,36128537105.000000,4354590996.000000,78926140655.000000,,21479320068.000000,821172519.000000,11235647692.000000,3486767069.000000,3364244871.000000,40387152219.000000,119313292874.000000,,,84300942980.000000,76546200000.000000,3230319066.000000,,,3230319066.000000,,911290133.000000,1791092551.000000,1822041230.000000,84300942980.000000,17100823302.000000,,17100823302.000000,17100823302.000000,101401766282.000000,,38000000000.000000,8080485432.000000,-31753736263.000000,,,-31753736263.000000,317939.000000,3584459484.000000,17911526592.000000,119313292874.000000,152000000.000000
12M 2018,,,10514190779.000000,19143601234.000000,,,19143601234.000000,53123422116.000000,10274116499.000000,93055330628.000000,,20463544285.000000,754075691.000000,11105390725.000000,2853163448.000000,,35176174149.000000,128231504777.000000,,,101393835465.000000,97714658340.000000,691465432.000000,,,691465432.000000,,405444160.000000,1317017807.000000,1265249726.000000,101393835465.000000,14456436207.000000,,14456436207.000000,14456436207.000000,115850271672.000000,,38000000000.000000,8080485432.000000,-38567544122.000000,,,-38567544122.000000,318067.000000,4867973728.000000,12381233105.000000,128231504777.000000,152000000.000000
12M 2019,,,12129238764.000000,19479016215.000000,,,19479016215.000000,39932344741.000000,8269185860.000000,79809785580.000000,,19440743955.000000,686978863.000000,10975133779.000000,3473943854.000000,,34576800451.000000,114386586031.000000,,,83718144094.000000,81438287943.000000,108683267.000000,,,108683267.000000,,263669731.000000,643990437.000000,1263512716.000000,83718144094.000000,14252571620.000000,,14252571620.000000,14252571620.000000,97970715714.000000,,38000000000.000000,8080485432.000000,-35895485018.000000,,,-35895485018.000000,318181.000000,6230551722.000000,16415870317.000000,114386586031.000000,152000000.000000
12M 2020,,,27875031158.000000,15925997184.000000,15925997184.000000,,15925997184.000000,32786123962.000000,3439808013.000000,80026960317.000000,,19225595906.000000,619882035.000000,10844951168.000000,2774580580.000000,,33465009689.000000,113491970006.000000,,,34420886929.000000,32672050000.000000,,66248563.000000,,66248563.000000,,488254505.000000,123701840.000000,1070632021.000000,34420886929.000000,14092497403.000000,,14092497403.000000,14092497403.000000,48513384332.000000,,38000000000.000000,8080485432.000000,-35845677102.000000,,,-35845677102.000000,318320.000000,54743459024.000000,64978585674.000000,113491970006.000000,252000000.000000
12M 2021,,,36378941709.000000,15372806685.000000,15372806685.000000,,15372806685.000000,34526019944.000000,1790318974.000000,88068087312.000000,,18899936421.000000,538410410.000000,10390630492.000000,2689138829.000000,,32518116152.000000,120586203464.000000,,,1830382361.000000,,,119741924.000000,,119741924.000000,,630471384.000000,177171934.000000,902997119.000000,1830382361.000000,12877009971.000000,,12877009971.000000,12877009971.000000,14707392332.000000,,63000000000.000000,33080485432.000000,-28040065097.000000,,,-28040065097.000000,318445.000000,37838072352.000000,105878811132.000000,120586203464.000000,312000000.000000
12M 2022,,,33998140756.000000,24146371737.000000,24146371737.000000,,24146371737.000000,49260307222.000000,1848644798.000000,109253464513.000000,,19656359234.000000,471313582.000000,10295197587.000000,2471041599.000000,,32893912002.000000,142147376515.000000,,,10909228310.000000,,,7598296904.000000,,7598296904.000000,,861354270.000000,1092536263.000000,1357040873.000000,10909228310.000000,13256675609.000000,,13256675609.000000,13256675609.000000,24165903919.000000,,78000000000.000000,48080485432.000000,-16446812420.000000,,,-16446812420.000000,318517.000000,8347481067.000000,117981472596.000000,142147376515.000000,312000000.000000
12M 2023,,,30845867735.000000,34583221740.000000,34583221740.000000,,34583221740.000000,57693970397.000000,2565093823.000000,125688153695.000000,,21946067896.000000,410387502.000000,10200211176.000000,2410080123.000000,,34966746697.000000,160654900392.000000,,,11021131542.000000,,,7005222238.000000,,7005222238.000000,,1165218419.000000,1098435407.000000,1752255478.000000,11021131542.000000,12860390000.000000,,12860390000.000000,12860390000.000000,23881521542.000000,,78000000000.000000,48080485432.000000,3362980042.000000,,,3362980042.000000,318593.000000,7329594783.000000,136773378850.000000,160654900392.000000,312000000.000000
12M 2024,,,22847830213.000000,40891635325.000000,40891635325.000000,,40891635325.000000,81780606734.000000,6673512848.000000,152193585120.000000,,22603892364.000000,349461422.000000,10105224765.000000,2588039491.000000,,35646618042.000000,187840203162.000000,,,17629514907.000000,,,14598601867.000000,,14598601867.000000,,302692036.000000,1153866739.000000,1574354265.000000,17629514907.000000,13091605462.000000,,13091605462.000000,13091605462.000000,30721120369.000000,,78000000000.000000,48080485432.000000,22992912284.000000,,,22992912284.000000,318617.000000,8045366460.000000,157119082793.000000,187840203162.000000,312000000.000000
