Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok Dan Beban Operasi,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Untuk Pajak Penghasilan Badan,Pembayaran Bunga,Penerimaan Bunga,Pembayaran Kas Untuk,Pajak Penghasilan,Penerimaan Restitusi Pajak Penghasilan,Beban Keuangan,Total Pembayaran Kas Untuk,Penerimaan Kas Dari,Restitusi Pajak Pajak Penghasilan,Penghasilan Keuangan,Total Penerimaan Kas Dari,Pendapatan Lain,Pembayaran Lainnya Untuk Aktivitas Operasi,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Atas Penjualan Aset Tetap Dan Properti Investasi,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pinjaman Bank Jangka Pendek :,Penerimaan,Pembayaran,Total Pinjaman Bank Jangka Pendek :,(Penurunan)/Penambahan Uang Muka Modal Saham,Penambahan Modal Disetor,Penambahan Uang Muka Modal Saham,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2015,-11569216834.000000,122054394659.000000,-132759501728.000000,,,-132759501728.000000,-3188381602.000000,-480112633.000000,1209588698.000000,,,1594795772.000000,,1594795772.000000,,,,,,,,-11569216834.000000,-3991200000.000000,-591200000.000000,,-3400000000.000000,-3991200000.000000,-329000000.000000,,6691000000.000000,-7020000000.000000,-329000000.000000,,,,-329000000.000000,,-15889416834.000000,24821065019.000000,172968460.000000,9104616645.000000
12M 2016,8841321167.000000,113769157349.000000,-102277881014.000000,,,-102277881014.000000,-3040725131.000000,-3116364503.000000,2509147968.000000,,,997986498.000000,,997986498.000000,,,,,,,,8841321167.000000,-2265833000.000000,-2265833000.000000,,,-2265833000.000000,,,,,,,,,,,6575488167.000000,9104616645.000000,-32191889.000000,15647912923.000000
12M 2017,6675661623.000000,118641775771.000000,-108513913889.000000,,,-108513913889.000000,-2489359835.000000,-1809320981.000000,846480557.000000,,,,,,,,,,,,,6675661623.000000,-1004250000.000000,-1004250000.000000,,,-1004250000.000000,-4702600000.000000,,,-4702600000.000000,-4702600000.000000,,,,-4702600000.000000,,968811623.000000,15647912923.000000,24301536.000000,16641026082.000000
12M 2018,-21873593643.000000,149568678375.000000,-165712038715.000000,,,-165712038715.000000,-3808813011.000000,-2293290582.000000,371870290.000000,,,,,,,,,,,,,-21873593643.000000,-150250000.000000,-150250000.000000,,,-150250000.000000,15897008340.000000,,,15897008340.000000,15897008340.000000,,,,15897008340.000000,,-6126835303.000000,16641026082.000000,,10514190779.000000
12M 2019,14776918382.000000,136636579386.000000,-117926093562.000000,,,-117926093562.000000,-2566119658.000000,-3250725509.000000,495782386.000000,,,1387495339.000000,,1387495339.000000,,,,,,,,14776918382.000000,-162500000.000000,-162500000.000000,,,-162500000.000000,-12999370397.000000,,,-12999370397.000000,-12999370397.000000,,,,-12999370397.000000,,1615047985.000000,10514190779.000000,,12129238764.000000
12M 2020,16457030337.000000,98963556751.000000,-81398277812.000000,,,-81398277812.000000,-1502471394.000000,-1064652469.000000,734477392.000000,,,724397869.000000,,724397869.000000,,,,,,,,16457030337.000000,-447500000.000000,-447500000.000000,,,-447500000.000000,-263737943.000000,,,-48766237943.000000,-48766237943.000000,48502500000.000000,,,-263737943.000000,,15745792394.000000,12129238764.000000,,27875031158.000000
12M 2021,8828460551.000000,125173352477.000000,-116622890125.000000,,,-116622890125.000000,-1806970724.000000,-270379097.000000,833349048.000000,,,1521998972.000000,,1521998972.000000,,,,,,,,8828460551.000000,850000000.000000,,850000000.000000,,850000000.000000,-1174550000.000000,,,-32672050000.000000,-32672050000.000000,-18502500000.000000,25000000000.000000,25000000000.000000,-1174550000.000000,,8503910551.000000,27875031158.000000,,36378941709.000000
12M 2022,-1309389580.000000,171814639310.000000,-170052059151.000000,,,-170052059151.000000,-3944007773.000000,-271832943.000000,814987931.000000,,,328883046.000000,,328883046.000000,,,,,,,,-1309389580.000000,-1071411373.000000,-1226377737.000000,154966364.000000,,-1071411373.000000,,,,,,,,,,,-2380800953.000000,36378941709.000000,,33998140756.000000
12M 2023,-489648933.000000,241417703293.000000,-236863481348.000000,,,-236863481348.000000,-5612138760.000000,-137053375.000000,705321257.000000,,,,,,,,,,,,,-489648933.000000,-2662624088.000000,-2698660124.000000,36036036.000000,,-2662624088.000000,,,,,,,,,,,-3152273021.000000,33998140756.000000,,30845867735.000000
12M 2024,-6247171372.000000,272363048359.000000,-273538731355.000000,,,-273538731355.000000,-6424414396.000000,-183976995.000000,1002242652.000000,,,,,,,534660363.000000,,534660363.000000,,,,-6247171372.000000,-1750866150.000000,-2078866150.000000,328000000.000000,,-1750866150.000000,,,,,,,,,,,-7998037522.000000,30845867735.000000,,22847830213.000000
