Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,118530284430.000000,-93847125000.000000,24683159430.000000,-20310198358.000000,-16296285315.000000,-5245212800.000000,,1231299757.000000,-20310198358.000000,4372961072.000000,-7938133608.000000,1470627265.000000,-9122731831.000000,,-286029042.000000,-7938133608.000000,-3565172536.000000,-289904395.000000,,-289904395.000000,-3855076931.000000,-3855076931.000000,481537500.000000,-3373539431.000000,-3855076931.000000,-3855076946.000000,15.000000,-3855076931.000000,-3373539431.000000,-3373539448.000000,17.000000,-3373539431.000000
12M 2016,113741761843.000000,-85953268202.000000,27788493641.000000,-32230867217.000000,-23757456622.000000,-9851078904.000000,,1377668309.000000,-32230867217.000000,-4442373576.000000,1366977716.000000,2625214706.000000,-1163994049.000000,,-94242941.000000,1366977716.000000,-3075395860.000000,-4057831907.000000,,-4057831907.000000,-7133227767.000000,-7133227767.000000,-1193437750.000000,-8326665517.000000,-7133227767.000000,-7133227763.000000,-4.000000,-7133227767.000000,-8326665517.000000,-8326665515.000000,-2.000000,-8326665517.000000
12M 2017,116799809406.000000,-85725364563.000000,31074444843.000000,-30613048555.000000,-22696108382.000000,-9546212513.000000,,1629272340.000000,-30613048555.000000,461396288.000000,-1290700776.000000,1060808811.000000,-2139347825.000000,,-212161762.000000,-1290700776.000000,-829304488.000000,-34791389.000000,,-34791389.000000,-864095877.000000,-864095877.000000,1151089000.000000,286993123.000000,-864095877.000000,-864095974.000000,97.000000,-864095877.000000,286993123.000000,286993019.000000,104.000000,286993123.000000
12M 2018,147155612866.000000,-118304925758.000000,28850687108.000000,-32510368831.000000,-22749511219.000000,-5883938194.000000,,-3876919418.000000,-32510368831.000000,-3659681723.000000,-2261429711.000000,371870290.000000,-2633300001.000000,,,-2261429711.000000,-5921111434.000000,-892696303.000000,,-892696303.000000,-6813807737.000000,-6813807737.000000,1283514250.000000,-5530293487.000000,-6813807737.000000,-6813807859.000000,122.000000,-6813807737.000000,-5530293487.000000,-5530293615.000000,128.000000,-5530293487.000000
12M 2019,133908380572.000000,-105396757158.000000,28511623414.000000,-23440193415.000000,-20631596873.000000,-7349260445.000000,,4540663903.000000,-23440193415.000000,5071429999.000000,-2727189106.000000,495298612.000000,-3222487718.000000,,,-2727189106.000000,2344240893.000000,327818319.000000,,327818319.000000,2672059212.000000,2672059212.000000,1362578000.000000,4034637212.000000,2672059212.000000,2672059104.000000,108.000000,2672059212.000000,4034637212.000000,4034637098.000000,114.000000,4034637212.000000
12M 2020,95688162631.000000,-69643331789.000000,26044830842.000000,-24448811492.000000,-15936187318.000000,-7740344625.000000,,-772279549.000000,-24448811492.000000,1596019350.000000,-478599637.000000,734477392.000000,-1213077029.000000,,,-478599637.000000,1117419713.000000,-1067611662.000000,,-1067611662.000000,49808051.000000,49808051.000000,10407306.000000,60215357.000000,49808051.000000,49807916.000000,135.000000,49808051.000000,60215357.000000,60215218.000000,139.000000,60215357.000000
12M 2021,125324455512.000000,-96254733562.000000,29069721950.000000,-20329479968.000000,-15310184541.000000,-6256046838.000000,771800000.000000,464951411.000000,-20329479968.000000,8740241982.000000,562969951.000000,833349048.000000,-270379097.000000,,,562969951.000000,9303211933.000000,-1093117430.000000,-404482385.000000,-1093117430.000000,7805612118.000000,7805612118.000000,1597113340.000000,9402725458.000000,7805612118.000000,7805612005.000000,113.000000,7805612118.000000,9402725458.000000,9402725333.000000,125.000000,9402725458.000000
12M 2022,178583574879.000000,-138200134439.000000,40383440440.000000,-25659638347.000000,-25037796308.000000,-2232892930.000000,52045455.000000,1559005436.000000,-25659638347.000000,14723802093.000000,543154873.000000,814987816.000000,-271832943.000000,,,543154873.000000,15266956966.000000,-3200809449.000000,-472894773.000000,-3200809449.000000,11593252744.000000,11593252744.000000,509408720.000000,12102661464.000000,11593252744.000000,11593252677.000000,67.000000,11593252744.000000,12102661464.000000,12102661392.000000,72.000000,12102661464.000000
12M 2023,250993441832.000000,-194768203739.000000,56225238093.000000,-30845498573.000000,-28414688428.000000,-4293772624.000000,36036036.000000,1826926443.000000,-30845498573.000000,25379739520.000000,568267882.000000,705321257.000000,-137053375.000000,,,568267882.000000,25948007402.000000,-5509748933.000000,-628465935.000000,-5509748933.000000,19809792534.000000,19809792534.000000,-1017886280.000000,18791906254.000000,19809792534.000000,19809792462.000000,72.000000,19809792534.000000,18791906254.000000,18791906178.000000,76.000000,18791906254.000000
12M 2024,279234631602.000000,-214092429833.000000,65142201769.000000,-40143518704.000000,-35859697163.000000,-5342616285.000000,328000000.000000,730794744.000000,-40143518704.000000,24998683065.000000,818265657.000000,1002242652.000000,-183976995.000000,,,818265657.000000,25816948722.000000,-5722332310.000000,-464684149.000000,-5722332310.000000,19629932263.000000,19629932263.000000,715771680.000000,20345703943.000000,19629932263.000000,19629932242.000000,21.000000,19629932263.000000,20345703943.000000,20345703919.000000,24.000000,20345703943.000000
