Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Penyusutan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Tangguhan,Final,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,300895345.000000,-315412002.000000,-14516657.000000,-9252320.000000,-5435452.000000,-3816868.000000,,-9252320.000000,-23768977.000000,-36878691.000000,-5267619.000000,25955.000000,-9645202.000000,-39862.000000,-21951963.000000,-36878691.000000,-60647668.000000,2871352.000000,2871352.000000,,,2871352.000000,-57776316.000000,,,-57776316.000000,-57776316.000000,,-57776316.000000,,,,
12M 2009,246240007.000000,-246146796.000000,93211.000000,-11651293.000000,-4605522.000000,-7045771.000000,,-11651293.000000,-11558082.000000,-10655306.000000,-1787660.000000,28100.000000,-5696531.000000,,-3199215.000000,-10655306.000000,-22213388.000000,4953332.000000,4953332.000000,,,4953332.000000,-17260056.000000,,,-17260056.000000,-17260056.000000,,-17260056.000000,,,,
12M 2010,298749920.000000,-282695552.000000,16054368.000000,-6974847.000000,-3551383.000000,-3423464.000000,,-6974847.000000,9079521.000000,1884690.000000,-400633.000000,106717.000000,-2233435.000000,,4412041.000000,1884690.000000,10964211.000000,-148064.000000,-148064.000000,,,-148064.000000,10816147.000000,,10816147.000000,10816147.000000,10816147.000000,,10816147.000000,10816147.000000,10816147.000000,,10816147.000000
12M 2011,401923161.000000,-376284547.000000,25638614.000000,-7456705.000000,-3093223.000000,-4363482.000000,,-7456705.000000,18181909.000000,18860890.000000,-38582.000000,89090.000000,-1131291.000000,,19941673.000000,18860890.000000,37042799.000000,-4084981.000000,-4048981.000000,,-36000.000000,-4084981.000000,32957818.000000,,32957818.000000,32957818.000000,32957818.000000,,32957818.000000,32957818.000000,32957818.000000,,32957818.000000
12M 2012,359522757.000000,-347101344.000000,12421413.000000,-7087930.000000,-3076447.000000,-4011483.000000,,-7087930.000000,5333483.000000,2189136.000000,-591548.000000,247859.000000,-692643.000000,,3225468.000000,2189136.000000,7522619.000000,563000.000000,563000.000000,,,563000.000000,8085619.000000,,8085619.000000,8085619.000000,8085619.000000,,8085619.000000,8085619.000000,8085619.000000,,8085619.000000
12M 2013,304797227.000000,-306212116.000000,-1414889.000000,-5956704.000000,-2929239.000000,-3027465.000000,,-5956704.000000,-7371593.000000,-2698369.000000,-1326147.000000,45177.000000,-1092030.000000,,-325369.000000,-2698369.000000,-10069962.000000,667879.000000,667879.000000,,,667879.000000,-9402083.000000,,-9402083.000000,-9402083.000000,-9402083.000000,,-9402083.000000,-9402083.000000,-9402083.000000,,-9402083.000000
12M 2014,281414730.000000,-280590549.000000,824181.000000,-5254011.000000,-2528467.000000,-2725544.000000,,-5254011.000000,-4429830.000000,-691834.000000,-102865.000000,39211.000000,-976920.000000,,348740.000000,-691834.000000,-5121664.000000,502631.000000,502631.000000,,,502631.000000,-4619033.000000,,-4619033.000000,-4619033.000000,-4619033.000000,,-4619033.000000,-4619033.000000,-4619033.000000,,-4619033.000000
12M 2015,184645789.000000,-181756704.000000,2889085.000000,-4507635.000000,-1966129.000000,-2541506.000000,,-4507635.000000,-1618550.000000,951471.000000,-469835.000000,47766.000000,-435483.000000,,1809023.000000,951471.000000,-667079.000000,-967721.000000,-967721.000000,,,-967721.000000,-1634800.000000,346455.000000,-1288345.000000,-1634800.000000,-1634800.000000,,-1634800.000000,-1288345.000000,-1288345.000000,,-1288345.000000
12M 2016,186376830.000000,-178557718.000000,7819112.000000,-4791815.000000,-2069941.000000,-2721874.000000,,-4791815.000000,3027297.000000,1654893.000000,43086.000000,108173.000000,-101319.000000,,1604953.000000,1654893.000000,4682190.000000,1545078.000000,1545078.000000,,,1545078.000000,6227268.000000,11870.000000,6239138.000000,6227268.000000,6227268.000000,,6227268.000000,6239138.000000,6239138.000000,,6239138.000000
12M 2017,216591205.000000,-204655712.000000,11935493.000000,-5583599.000000,-1737677.000000,-3845922.000000,,-5583599.000000,6351894.000000,-208132.000000,-88102.000000,319288.000000,-74464.000000,75165.000000,-440019.000000,-208132.000000,6143762.000000,-2871553.000000,-2871553.000000,,,-2871553.000000,3272209.000000,-181163.000000,3091046.000000,3272209.000000,3272209.000000,,3272209.000000,3091046.000000,3091046.000000,,3091046.000000
