Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,-0.84,-345.95,-0.84,-345.95,"2,308 B",132 B,"2,439 B","2,346 B","(1,621 B)"
12M 2009,-5.86,-52.88,-5.86,-52.88,"1,468 B",94 B,"1,562 B","1,514 B","(1,020 B)"
12M 2010,2.91,175.05,2.91,175.05,462 B,47 B,509 B,457 B,4 B
12M 2011,0.91,552.14,0.91,552.14,411 B,18 B,429 B,334 B,149 B
12M 2012,1.02,605.01,1.02,605.01,263 B,58 B,321 B,245 B,396 B
12M 2013,0.68,739.39,0.68,739.39,428 B,,428 B,404 B,483 B
12M 2014,1.21,742.21,1.21,742.21,322 B,,322 B,311 B,500 B
12M 2015,1.10,816.24,1.10,816.24,88 B,,88 B,73 B,656 B
12M 2016,1.26,812.38,1.26,812.38,91 B,,91 B,(158 B),796 B
12M 2017,0.95,827.83,0.95,827.83,102 B,,102 B,(360 B),"1,013 B"
12M 2018,0.75,884.25,0.75,884.25,,,,(255 B),"1,176 B"
12M 2019,0.57,835.24,0.57,835.24,16 B,,16 B,(500 B),"1,123 B"
12M 2020,0.56,846.09,0.56,846.09,89 B,,89 B,(703 B),"1,315 B"
12M 2021,0.79,897.14,0.79,897.14,39 B,,39 B,(882 B),"1,626 B"
12M 2022,0.65,992.59,0.65,992.59,32 B,,32 B,(361 B),"1,289 B"
12M 2023,0.67,993.52,0.67,993.52,26 B,,26 B,(624 B),"1,442 B"
12M 2024,0.60,1050.59,0.60,1050.59,35 B,,35 B,(697 B),"1,598 B"
