Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Others,Total Aset Tetap,Properti Investasi,Piutang Usaha,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Derivatif,Pinjaman Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Derivatif,Pinjaman Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,8536890.000000,32059.000000,51366990.000000,48605487.000000,2761503.000000,51366990.000000,4133968.000000,1926951.000000,2207017.000000,4133968.000000,20874314.000000,1340838.000000,86285059.000000,,109740166.000000,,109740166.000000,,,,3151796.000000,112891962.000000,199177021.000000,,,234349835.000000,178671840.000000,,14830012.000000,1530407.000000,16360419.000000,,3003277.000000,1090506.000000,4093783.000000,2884190.000000,271675.000000,,67928.000000,32000000.000000,,32067928.000000,,234349835.000000,20240073.000000,5578015.000000,,40885.000000,12000000.000000,,12040885.000000,2621173.000000,20240073.000000,254589908.000000,,134945453.000000,-191119.000000,-190167221.000000,,-55412887.000000,199177021.000000,1753950000.000000
12M 2009,,,5145397.000000,39822.000000,45643254.000000,42827405.000000,2815849.000000,45643254.000000,2653762.000000,320728.000000,2333034.000000,2653762.000000,24434199.000000,1885997.000000,79802431.000000,,99299840.000000,,99299840.000000,,3819489.000000,,2782513.000000,105901842.000000,185704273.000000,,,188354583.000000,152915493.000000,,25286774.000000,335242.000000,25622016.000000,,2987043.000000,641991.000000,3629034.000000,2782102.000000,138107.000000,,1267831.000000,2000000.000000,,3267831.000000,,188354583.000000,14022633.000000,624683.000000,,,10000000.000000,,10000000.000000,3397950.000000,14022633.000000,202377216.000000,,190945453.000000,-191119.000000,-207427277.000000,,-16672943.000000,185704273.000000,2963550000.000000
12M 2010,,,5791245.000000,62720.000000,50774566.000000,46641780.000000,4132786.000000,50774566.000000,2536410.000000,2536158.000000,252.000000,2536410.000000,37744538.000000,2038128.000000,98947607.000000,,93307546.000000,,93307546.000000,,1632248.000000,,4615469.000000,99555263.000000,198502870.000000,,,98549141.000000,48000000.000000,,40944953.000000,,40944953.000000,,4208588.000000,56901.000000,4265489.000000,1856580.000000,148786.000000,,,3333333.000000,,3333333.000000,,98549141.000000,6050525.000000,772747.000000,,,5277778.000000,,5277778.000000,,6050525.000000,104599666.000000,,290705453.000000,-191119.000000,-196611130.000000,,93903204.000000,198502870.000000,4823076400.000000
12M 2011,,,10438131.000000,,46165275.000000,46165275.000000,,46165275.000000,2109211.000000,2109211.000000,,2109211.000000,40895792.000000,3182182.000000,102790591.000000,,271300440.000000,,271300440.000000,7543472.000000,1318430.000000,,4145096.000000,284307438.000000,387098029.000000,,,86389837.000000,42000000.000000,,34669512.000000,,34669512.000000,,3471934.000000,27300.000000,3499234.000000,2475294.000000,256697.000000,,,3333333.000000,,3333333.000000,155767.000000,86389837.000000,7036764.000000,4857728.000000,,,1944445.000000,,1944445.000000,234591.000000,7036764.000000,93426601.000000,,290705453.000000,-191119.000000,2915936.000000,241158.000000,293671428.000000,387098029.000000,4823076400.000000
12M 2012,,,7894529.000000,,41202072.000000,41202072.000000,,41202072.000000,3276036.000000,3276036.000000,,3276036.000000,55493470.000000,3928864.000000,111794971.000000,,259842000.000000,,259842000.000000,7543472.000000,282156.000000,,4086786.000000,271754414.000000,383549385.000000,,,70794396.000000,21210214.000000,,37484059.000000,,37484059.000000,,3457430.000000,49051.000000,3506481.000000,1588167.000000,172286.000000,,,6000000.000000,,6000000.000000,833189.000000,70794396.000000,10997942.000000,4294728.000000,,,6000000.000000,,6000000.000000,703214.000000,10997942.000000,81792338.000000,,290705453.000000,-191119.000000,11001555.000000,241158.000000,301757047.000000,383549385.000000,4823076400.000000
12M 2013,,,1994946.000000,,33392322.000000,33392322.000000,,33392322.000000,759023.000000,759023.000000,,759023.000000,56147144.000000,11839049.000000,104132484.000000,,247865205.000000,,247865205.000000,7467940.000000,50565.000000,,2181247.000000,257564957.000000,361697441.000000,,,64572902.000000,29075717.000000,,24228072.000000,,24228072.000000,,3405011.000000,49605.000000,3454616.000000,1197893.000000,84730.000000,,,6000000.000000,,6000000.000000,531874.000000,64572902.000000,4769575.000000,3626849.000000,,,,,,1142726.000000,4769575.000000,69342477.000000,,290705453.000000,-191119.000000,1599472.000000,241158.000000,292354964.000000,361697441.000000,4823076400.000000
12M 2014,,,837296.000000,,31355093.000000,31355093.000000,,31355093.000000,1435491.000000,1435491.000000,,1435491.000000,43708344.000000,10379441.000000,87715665.000000,,241552985.000000,,241552985.000000,7437724.000000,119077.000000,,3489175.000000,252598961.000000,340314626.000000,,,47564965.000000,25848761.000000,,17328302.000000,,17328302.000000,,2566616.000000,26657.000000,2593273.000000,1089719.000000,88781.000000,,,,,,616129.000000,47564965.000000,5013730.000000,3124218.000000,,,,,,1889512.000000,5013730.000000,52578695.000000,,290705453.000000,-191119.000000,-3019561.000000,241158.000000,287735931.000000,340314626.000000,4823076400.000000
12M 2015,,,1091867.000000,,21666208.000000,21666208.000000,,21666208.000000,1165923.000000,1165923.000000,,1165923.000000,38856079.000000,8155645.000000,70935722.000000,,233838691.000000,,233838691.000000,8288150.000000,95058.000000,,1863244.000000,244085143.000000,315020865.000000,,,23380573.000000,6382123.000000,,12672591.000000,,12672591.000000,,2479393.000000,31756.000000,2511149.000000,910623.000000,273234.000000,,,,,,630853.000000,23380573.000000,6263438.000000,3126567.000000,,,,,,3136871.000000,6263438.000000,29644011.000000,,290705453.000000,-191119.000000,-5378638.000000,241158.000000,285376854.000000,315020865.000000,4823076400.000000
12M 2016,,,18552126.000000,,22988145.000000,22988145.000000,,22988145.000000,607412.000000,607412.000000,,607412.000000,35941912.000000,7631792.000000,85721387.000000,,226329588.000000,,226329588.000000,8257935.000000,86433.000000,868012.000000,1020591.000000,236562559.000000,322283946.000000,,,26501119.000000,6763695.000000,,13214051.000000,,13214051.000000,,3083457.000000,59314.000000,3142771.000000,1084888.000000,1268328.000000,,,,,,1027386.000000,26501119.000000,4166835.000000,,,,,,,4166835.000000,4166835.000000,30667954.000000,,290705453.000000,-191119.000000,860500.000000,241158.000000,291615992.000000,322283946.000000,4823076400.000000
12M 2017,,,34094544.000000,,21227231.000000,21227231.000000,,21227231.000000,833567.000000,833567.000000,,833567.000000,38388231.000000,11604631.000000,106148204.000000,,214208792.000000,,214208792.000000,8227717.000000,77784.000000,801465.000000,1704464.000000,225020222.000000,331168426.000000,,,31355898.000000,7519145.000000,,18066406.000000,,18066406.000000,,3142526.000000,27276.000000,3169802.000000,510362.000000,588306.000000,,,,,,1501877.000000,31355898.000000,5105490.000000,,,,,,,5105490.000000,5105490.000000,36461388.000000,,290705453.000000,-191119.000000,4011574.000000,181130.000000,294707038.000000,331168426.000000,4823076400.000000
