Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Untuk Beban Usaha,"Penerimaan (Pembayaran) Untuk Pihak Berelasi, Neto",Pembayaran Untuk Pajak Penghasilan Badan,Pembayaran Untuk Bunga,Penerimaan Dari Penghasilan Bunga,Setoran Jaminan,Penerimaan Pengembalian Pajak Penghasilan Badan,Pembayaran Administrasi Bank,Pembayaran Bunga Pinjaman,Pencairan Deposito Yang Dibatasi Penggunaannya,"Lain-Lain, Neto",Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pembelian Efek-Efek,Penambahan Properti Investasi,Pencairan (Penempatan) Dana Yang Dibatasi Penggunaannya Dari Aktivitas Investasi,Penerimaan Investasi,Penerimaan Dividen,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Panjang,Pembayaran Sewa,Penambahan Pinjaman Jangka Pendek,Penambahan Pinjaman Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-16509853.000000,328481074.000000,-315268541.000000,,-26279724.000000,3193268.000000,-1220099.000000,-9916138.000000,,,,,,,4500307.000000,-16509853.000000,-5443177.000000,-5618706.000000,175529.000000,,,,,,,-5443177.000000,28582915.000000,-33917085.000000,-2000000.000000,,64500000.000000,,28582915.000000,6629885.000000,1907005.000000,8536890.000000
12M 2009,511867.000000,244318212.000000,-220980855.000000,,-11328377.000000,-4292052.000000,-2190725.000000,-5696267.000000,,,,,,,681931.000000,511867.000000,-3403360.000000,-3403360.000000,,,,,,,,-3403360.000000,-500000.000000,-38000000.000000,-32000000.000000,,69500000.000000,,-500000.000000,-3391493.000000,8536890.000000,5145397.000000
12M 2010,6960445.000000,298873834.000000,-269553997.000000,,-16783159.000000,617676.000000,-728363.000000,-2892023.000000,,-1711365.000000,709636.000000,,,,-1571794.000000,6960445.000000,-5288240.000000,-4646798.000000,,,,,,,-641442.000000,-5288240.000000,-1026357.000000,-42111857.000000,-13388889.000000,,44474389.000000,10000000.000000,-1026357.000000,645848.000000,5145397.000000,5791245.000000
12M 2011,20782888.000000,407389374.000000,-362188709.000000,,-17854356.000000,-252750.000000,-2143673.000000,-1341797.000000,,,,,,,-2825201.000000,20782888.000000,-6802669.000000,-6720595.000000,,,,,,,-82074.000000,-6802669.000000,-9333333.000000,-6000000.000000,-3333333.000000,,,,-9333333.000000,4646886.000000,5791245.000000,10438131.000000
12M 2012,14319557.000000,368146277.000000,-332751849.000000,,-17405524.000000,-401862.000000,-755118.000000,-996491.000000,,-129190.000000,,,,,-1386686.000000,14319557.000000,-2795595.000000,-2596896.000000,,,,,,,-198699.000000,-2795595.000000,-14067564.000000,-42000000.000000,-5277778.000000,,21210214.000000,12000000.000000,-14067564.000000,-2543602.000000,10438131.000000,7894529.000000
12M 2013,-4710301.000000,312859179.000000,-303489619.000000,-9562202.000000,-3156011.000000,,-306684.000000,-1100141.000000,45177.000000,,,,,,,-4710301.000000,-3054785.000000,-3034585.000000,,,,,,,-20200.000000,-3054785.000000,1865503.000000,-18000000.000000,-6000000.000000,,25865503.000000,,1865503.000000,-5899583.000000,7894529.000000,1994946.000000
12M 2014,17557760.000000,283624442.000000,-251702752.000000,-8891728.000000,-4523397.000000,,-29005.000000,-959011.000000,39211.000000,,,,,,,17557760.000000,-9488454.000000,-8115685.000000,,,,,,,-1372769.000000,-9488454.000000,-6000000.000000,-5000000.000000,-6000000.000000,,5000000.000000,,-6000000.000000,2069306.000000,-7080771.000000,-5011465.000000
12M 2015,26994831.000000,194358693.000000,-156968879.000000,-8916050.000000,-631557.000000,,-1012600.000000,,38229.000000,,562478.000000,-179550.000000,-255933.000000,,,26994831.000000,-7273622.000000,-6082310.000000,,,-880641.000000,,,,-310671.000000,-7273622.000000,-13617877.000000,-20000000.000000,,,6382123.000000,,-13617877.000000,6103332.000000,-5011465.000000,1091867.000000
12M 2016,24448123.000000,185617376.000000,-153741247.000000,-9210545.000000,414203.000000,,-1036374.000000,,86545.000000,,693859.000000,-64245.000000,-37074.000000,1725625.000000,,24448123.000000,-7369436.000000,-7252958.000000,,,,,,,-116478.000000,-7369436.000000,381572.000000,,,,381572.000000,,381572.000000,17460259.000000,1091867.000000,18552126.000000
12M 2017,22180458.000000,217444630.000000,-180617884.000000,-10943414.000000,-515892.000000,,-3415178.000000,,255432.000000,,47228.000000,-57348.000000,-17116.000000,,,22180458.000000,-7393490.000000,-2494750.000000,,-4007000.000000,,,,,-891740.000000,-7393490.000000,755450.000000,,,,755450.000000,,755450.000000,15542418.000000,18552126.000000,34094544.000000
