Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2019,0.97,0.85,0.64,1.8,0.0,0.0,0.51,0.36,0.8
12M 2020,0.38,0.3,0.53,1.69,0.0,0.0,0.46,0.32,0.69
12M 2021,1.64,1.56,0.31,1.48,0.0,0.0,0.11,0.21,0.48
12M 2022,7.08,6.85,0.13,1.19,0.0,0.0,-0.23,0.11,0.19
12M 2023,4.43,4.17,0.06,1.13,0.0,0.0,-0.19,0.05,0.13
12M 2024,3.72,3.17,0.03,1.11,0.0,0.0,-0.03,0.03,0.11
