Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,5 B,(0 B),5 B,445386.09
12M 2020,4 B,(1 B),3 B,275981.96
12M 2021,(2 B),(3 B),(6 B),-512235.53
12M 2022,4 B,(9 B),(5 B),-7.40
12M 2023,6 B,(13 B),(7 B),-5.32
12M 2024,4 B,(14 B),(10 B),-8.17
