Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Pihak Ketiga Lainnya,Pembayaran Bunga Dan Administrasi Bank,Pembayaran Pajak Penghasilan Badan,Pembayaran Pajak Pembangunan 1,Pembayaran Kas Kepada Karyawan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Pelepasan Aset Tetap,Pembayaran Pajak Final Pelepasan Aset Tetap,Perolehan Aset Tetap,Penempatan Investasi Jangka Pendek,Pencairan Investasi Jangka Pendek,Penerimaan Penghasilan Bunga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pengurangan Cerukan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Liabilitas Sewa,Penerimaan (Pembayaran) Kepada Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Penambahan Setoran Modal,Pembayaran Dividen Tunai,Pembayaran Emisi Saham Dan Profesi Penunjang Ipo,Penerimaan Dari Excersice Waran,Penerimaan Dari Penawaran Umum Perdana,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,5398781276.000000,24123691481.000000,-6074310235.000000,-1597459564.000000,-1195844758.000000,-2573189106.000000,-7284106542.000000,5398781276.000000,-465915703.000000,,,-499534234.000000,,,33618531.000000,-465915703.000000,-4363723063.000000,,,-2863723063.000000,,,,,-1500000000.000000,,,,-4363723063.000000,569142510.000000,2232265999.000000,2801408509.000000
12M 2020,3700445052.000000,17466011709.000000,-3105910925.000000,-1307750507.000000,-693476528.000000,-1860980989.000000,-6797447708.000000,3700445052.000000,-661564401.000000,764000.000000,,-664643469.000000,,,2315068.000000,-661564401.000000,-4372923413.000000,,,-2372923413.000000,,,,,-2000000000.000000,,,,-4372923413.000000,-1334042762.000000,2801408509.000000,1467365747.000000
12M 2021,-2347393227.000000,20417244338.000000,-11178026752.000000,-1076324064.000000,-368948668.000000,-2165763056.000000,-7975575025.000000,-2347393227.000000,17232981900.000000,21040000000.000000,-526000000.000000,-3287197552.000000,,,6179452.000000,17232981900.000000,-10509353545.000000,,,-2214570645.000000,,,-34520000.000000,,-8260262900.000000,,,,-10509353545.000000,4376235128.000000,1467365747.000000,5843600875.000000
12M 2022,4233731155.000000,25076183887.000000,-6634469239.000000,-979268048.000000,-1041298123.000000,-2651858359.000000,-9535558963.000000,4233731155.000000,-19217138162.000000,3614144.000000,,-9246415271.000000,-10000000000.000000,,25662965.000000,-19217138162.000000,32588561952.000000,,2000000000.000000,-2669892854.000000,-6257818.000000,-225000000.000000,-69040000.000000,,,-3941247376.000000,,37500000000.000000,32588561952.000000,17605154945.000000,5843600875.000000,23448755820.000000
12M 2023,6220086302.000000,31357221848.000000,-11913287497.000000,-744975141.000000,-713833109.000000,-3321691602.000000,-8443348197.000000,6220086302.000000,-6862930946.000000,12604698.000000,,-12866732375.000000,-5000000000.000000,10000000000.000000,991196731.000000,-6862930946.000000,-5912686318.000000,,2000000000.000000,-6432984665.000000,-74841741.000000,225000000.000000,-110074526.000000,,-1519785386.000000,,,,-5912686318.000000,-6555530962.000000,23448755820.000000,16893224858.000000
12M 2024,4193001811.000000,32296239940.000000,-10985193160.000000,-591204753.000000,-699112538.000000,-3757954264.000000,-12069773414.000000,4193001811.000000,-13407452836.000000,287877000.000000,,-14408568840.000000,,,713239004.000000,-13407452836.000000,-3584177640.000000,,1875000000.000000,-3870456685.000000,-145230583.000000,,-95338074.000000,,-1348152298.000000,,,,-3584177640.000000,-12798628665.000000,16893224858.000000,4094596193.000000
