Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,360688.64,0.00,0.00,8.90 B,10.47%,18.84%,39.45%,4.43
12M 2020,0.00 B,186355.52,0.00,0.00,5.95 B,5.81%,9.81%,12.45%,3.11
12M 2021,0.00 B,1505230.77,0.00,0.00,20.54 B,38.27%,56.46%,54.70%,17.45
12M 2022,1.25 B,2.03,71.43,7.19,7.21 B,3.27%,3.90%,7.50%,4.71
12M 2023,1.25 B,2.70,42.96,4.65,7.75 B,4.46%,5.05%,5.59%,25.06
12M 2024,1.25 B,1.45,82.76,4.71,6.47 B,2.41%,2.69%,3.27%,3.22
