Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,684448835916.000000,-598137759305.000000,86311076611.000000,-27556596283.000000,-10421926384.000000,-17134669899.000000,-27556596283.000000,58754480328.000000,-37764697659.000000,192977774.000000,-36183291078.000000,,,-1774384355.000000,-37764697659.000000,20989782669.000000,-5550410241.000000,-2752931574.000000,-2797478667.000000,-5550410241.000000,15439372428.000000,482554874.000000,15921927302.000000,15439372429.000000,15439372429.000000,,15439372429.000000,15921927303.000000,15921927303.000000,,15921927303.000000
12M 2014,694332286638.000000,-612355225453.000000,81977061185.000000,-26982110619.000000,-9608183047.000000,-17373927572.000000,-26982110619.000000,54994950566.000000,-34553876332.000000,220518064.000000,-38694511856.000000,,2248166100.000000,1671951360.000000,-34553876332.000000,20441074234.000000,-4287457866.000000,-3381536806.000000,-905921060.000000,-4287457866.000000,16153616368.000000,-87346039.000000,16066270329.000000,16153616369.000000,16153616369.000000,,16153616369.000000,16066270330.000000,16066270330.000000,,16066270330.000000
12M 2015,699310599565.000000,-617470167888.000000,81840431677.000000,-27143335095.000000,-9090967273.000000,-18052367822.000000,-27143335095.000000,54697096582.000000,-37245779581.000000,237461033.000000,-43728388552.000000,,,6245147938.000000,-37245779581.000000,17451317001.000000,-2475910983.000000,-2750307561.000000,274396578.000000,-2475910983.000000,14975406018.000000,1591127134.000000,16566533152.000000,14975406018.000000,14975406018.000000,,14975406018.000000,16566533152.000000,16566533152.000000,,16566533152.000000
12M 2016,705730705044.000000,-622516071423.000000,83214633621.000000,-27804888911.000000,-9555213527.000000,-18249675384.000000,-27804888911.000000,55409744710.000000,-38124023705.000000,17705442.000000,-40967812227.000000,-410200634.000000,,3236283714.000000,-38124023705.000000,17285721005.000000,-3532269063.000000,-3704166354.000000,171897291.000000,-3532269063.000000,13753451942.000000,-889572006.000000,12863879936.000000,13753451941.000000,13753451941.000000,,13753451941.000000,12863879935.000000,12863879935.000000,,12863879935.000000
12M 2017,747064722530.000000,-652278911641.000000,94785810889.000000,-33301630917.000000,-8216013645.000000,-25085617272.000000,-33301630917.000000,61484179972.000000,-38869505098.000000,46711420.000000,-46994399139.000000,3049478.000000,349000000.000000,7726133143.000000,-38869505098.000000,22614674874.000000,-2425158838.000000,-4418422250.000000,1993263412.000000,-2425158838.000000,20189516036.000000,-141619238.000000,20047896798.000000,20189516036.000000,20189516036.000000,,20189516036.000000,20047896799.000000,20047896799.000000,,20047896799.000000
12M 2018,776045443574.000000,-683773216728.000000,92272226846.000000,-33409310478.000000,-8903328245.000000,-24505982233.000000,-33409310478.000000,58862916368.000000,-41060827955.000000,521456692.000000,-51016945752.000000,-36473195.000000,6516229059.000000,2954905241.000000,-41060827955.000000,17802088413.000000,-2071680068.000000,-4565647458.000000,2493967390.000000,-2071680068.000000,15730408345.000000,1918633235.000000,17649041580.000000,15730408346.000000,15730408346.000000,,15730408346.000000,17649041581.000000,17649041581.000000,,17649041581.000000
12M 2019,770160690837.000000,-676101330104.000000,94059360733.000000,-36607870909.000000,-9158598924.000000,-27449271985.000000,-36607870909.000000,57451489824.000000,-47938637169.000000,246549904.000000,-48701461630.000000,14548252.000000,2012780277.000000,-1511053972.000000,-47938637169.000000,9512852655.000000,-2025400610.000000,-1314343750.000000,-711056860.000000,-2025400610.000000,7487452045.000000,-2598764273.000000,4888687772.000000,7487452045.000000,7487452045.000000,,7487452045.000000,4888687772.000000,5528232184.000000,-639544412.000000,4888687772.000000
12M 2020,308444212106.000000,-296253291118.000000,12190920988.000000,-30271743939.000000,-8498005189.000000,-21773738750.000000,-30271743939.000000,-18080822951.000000,-46188316487.000000,198342350.000000,-46772683196.000000,355990835.000000,3282779280.000000,-3252745756.000000,-46188316487.000000,-64269139438.000000,-129634432.000000,,-129634432.000000,-129634432.000000,-64398773870.000000,-733922047.000000,-65132695917.000000,-64398773870.000000,-64398773870.000000,,-64398773870.000000,-65132695916.000000,-65998950674.000000,866254758.000000,-65132695916.000000
12M 2021,455740836133.000000,-439126393720.000000,16614442413.000000,-33961969863.000000,-10298269766.000000,-23663700097.000000,-33961969863.000000,-17347527450.000000,-34728774407.000000,163459576.000000,-17711355344.000000,-71274637.000000,,-17109604002.000000,-34728774407.000000,-52076301857.000000,3719537572.000000,,3719537572.000000,3719537572.000000,-48356764285.000000,1329764008.000000,-47027000277.000000,-48356764286.000000,-48356764286.000000,,-48356764286.000000,-47027000278.000000,-47262231703.000000,235231425.000000,-47027000278.000000
12M 2022,549569631061.000000,-488726422914.000000,60843208147.000000,-45264002171.000000,-10326666150.000000,-34937336021.000000,-45264002171.000000,15579205976.000000,-7519421205.000000,88362249.000000,-11645128940.000000,-591137276.000000,-97107171.000000,4725589933.000000,-7519421205.000000,8059784771.000000,844736663.000000,,844736663.000000,844736663.000000,8904521434.000000,450799079.000000,9355320513.000000,8904521434.000000,8904521434.000000,,8904521434.000000,9355320512.000000,9355320512.000000,,9355320512.000000
