Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Pendapatan Bunga Dan Jasa Giro,Pembayaran Kepada Pemasok,Penerimaan (Pembayaran) Pajak,Pembayaran Bunga Pinjaman,Pembayaran Dimuka Bahan Dan Biaya,Penerimaan Kas Lainnya Dari Aktivitas Operasi,Pembayaran Biaya Operasional Dan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pengurangan Aset Tetap,Laba Pelepasan Hak Atas Tanah,Laba (Rugi) Atas Penjualan Aset Tetap,Laba Penjualan Aktiva Tetap,Penerimaan (Pembayaran) Dana Yang Dibatasi Penggunannya,Piutang Lain-Lain,Pendapatan Investasi,Laba Investasi Yang Ditangguhkan,Investasi Dalam Kerjasama Operasi,Uang Muka Untuk Perolehan Aset Tetap,Penjualan Mesin,Pencairan Deposito,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembukaan (Pencairan) Deposito,Kenaikan (Penurunan) Deposito Yang Dibatasi Penggunannya,Penerimaan (Pembayaran) Utang Bank,Pembayaran Utang Jangka Pendek,Penerimaan (Pembayaran) Sewa Pembiayaan,Penerimaan (Pembayaran) Uang Muka Penjualan,Penerimaan (Penambahan) Piutang Lain Lain,Peneriman (Penambahan) Piutang Pihak Yang Berelasi,Penerimaan (Pembayaran) Utang Biaya,Penerimaan Lembaga Bukan Keuangan,Pembayaran Utang Pembiayaan Leasing,Pembayaran Utang Keuangan Lembaga Nonbank,Pembayaran Dividen,Penambahan Modal Disetor,Penerimaan Utang Lain-Lain,Pembayaran Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,-5967845177999936.000000,695637892436000000.000000,192977774000000.000000,-593478925848999936.000000,-8605650298000000.000000,-36183291078000000.000000,,,-63530848163000000.000000,-5967845177999936.000000,-6150934053000000.000000,-6150934053000000.000000,,,,,,,,,,,,,,-6150934053000000.000000,12544311177000000.000000,,,12298711307000000.000000,,-3584666245000000.000000,,,2765600000000000.000000,,,,,,,1064666115000000.000000,,12544311177000000.000000,425531946000000.000000,13855899707000000.000000,,14281431653000000.000000
12M 2014,24408903217999872.000000,755735054168999936.000000,220518064000000.000000,-630609523543000064.000000,-4034153087000000.000000,-38958859281000000.000000,,,-57944133104000000.000000,24408903217999872.000000,-2370784239000000.000000,-2370784239000000.000000,,,,,,,,,,,,,,-2370784239000000.000000,-32322649116000000.000000,,,-21912151041000000.000000,,-1656949935000000.000000,,,-6551715728000000.000000,,,,,,,,-2201832412000000.000000,-32322649116000000.000000,-10284530137000000.000000,14281431653000000.000000,,3996901516000000.000000
12M 2015,59320891248999936.000000,784017313100000000.000000,237461033000000.000000,-627751226264000000.000000,-2335868614000000.000000,-43951173501000000.000000,,,-50895614505000000.000000,59320891248999936.000000,-965958000000000.000000,-965958000000000.000000,,,,,,,,,,,,,,-965958000000000.000000,-59231369927000000.000000,,,-53177704021000000.000000,,103232949000000.000000,,-4894942655000000.000000,,-1261956200000000.000000,,,,,,,,-59231369927000000.000000,-876436678000000.000000,3996901516000000.000000,,3120464838000000.000000
12M 2016,6595052098.000000,701878280611.000000,17705442.000000,-636502695458.000000,-813198290.000000,-41086826385.000000,,,-16898213822.000000,6595052098.000000,-5262693636.000000,-5262693636.000000,,,,,,,,,,,,,,-5262693636.000000,11117077266.000000,,,21489895714.000000,,-569865842.000000,,,-15660952606.000000,,,,,,5888000000.000000,,-30000000.000000,11117077266.000000,12449435728.000000,3120464838.000000,,15569900566.000000
12M 2017,-42951728635.000000,715303765301.000000,46711420.000000,-678439365176.000000,-5705316394.000000,-47194772369.000000,,,-26962751417.000000,-42951728635.000000,3804610486.000000,-6253044136.000000,,349000000.000000,,,,,7735856315.000000,-3634639063.000000,5607437370.000000,,,,,3804610486.000000,36016439291.000000,,,-2534259430.000000,,2701967540.000000,,-22314200.000000,-2017287081.000000,,40000000000.000000,,,-2841875000.000000,,730207462.000000,,36016439291.000000,-3130678858.000000,15569900566.000000,,12439221708.000000
12M 2018,75713565476.000000,781212548568.000000,521456692.000000,-614486104430.000000,-6445591543.000000,-51609655384.000000,,,-33479088427.000000,75713565476.000000,-105654133281.000000,-71547364641.000000,40454360297.000000,6516229059.000000,,,,,4010160104.000000,-1657666675.000000,-83429851425.000000,,,,,-105654133281.000000,44900996917.000000,,,-1723505831.000000,,34643815747.000000,,93237700.000000,-4769482915.000000,,,,,-1136750000.000000,,17793682216.000000,,44900996917.000000,14960429112.000000,12439221707.000000,,27399650819.000000
12M 2019,-195249634618.000000,780217520970.000000,246549904.000000,-878676909654.000000,-570344547.000000,-52406519707.000000,,,-44059931584.000000,-195249634618.000000,-11067600084.000000,-16102146643.000000,421077365.000000,,2012780277.000000,,,,2180796895.000000,-773599514.000000,1193491536.000000,,,,,-11067600084.000000,197401329847.000000,,,173653244795.000000,,-9178998985.000000,,29836000.000000,-274037437.000000,,,,,-2810405000.000000,,35981690474.000000,,197401329847.000000,-8915904855.000000,27399650818.000000,,18483745963.000000
12M 2020,24283561928.000000,324901870170.000000,198342350.000000,-217996603609.000000,-2732344653.000000,-48065371832.000000,,,-32022330498.000000,24283561928.000000,2591699535.000000,-1440921900.000000,3889243435.000000,,,,,,143378000.000000,,,,,,,2591699535.000000,-29677710765.000000,,4731840500.000000,-11336281665.000000,,-2082692347.000000,,-36250000.000000,-19168552152.000000,,,,,,,,-1785775101.000000,-29677710765.000000,-2802449302.000000,9393618986.000000,,6591169684.000000
12M 2021,790993510.000000,449804081479.000000,163459576.000000,-401640516359.000000,-136730994.000000,-18675588918.000000,,,-28723711274.000000,790993510.000000,-1292126202.000000,-623933500.000000,,,,,-666772702.000000,-1420000.000000,,,,,,,,-1292126202.000000,2325389206.000000,,,269749840.000000,,-665177427.000000,,,801848422.000000,,,,,,,1918968371.000000,,2325389206.000000,1824256514.000000,6591169684.000000,,8415426198.000000
12M 2022,2230139088.000000,530346790147.000000,88362249.000000,-493744449336.000000,-249202545.000000,-12188716840.000000,,,-22022644587.000000,2230139088.000000,2756274058.000000,-19368672787.000000,,17482996667.000000,,,4641950178.000000,,,,,,,,,2756274058.000000,-3813578423.000000,,,,-62682640.000000,-163218629.000000,,,,,,,-27157486.000000,,,,-3560519668.000000,-3813578423.000000,1172834723.000000,8415426198.000000,,9588260921.000000
