Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,1014975000000.000000,-689717000000.000000,325258000000.000000,-151655000000.000000,,,,-151655000000.000000,173603000000.000000,7676000000.000000,,,7676000000.000000,7676000000.000000,181279000000.000000,-43257000000.000000,-44495000000.000000,1238000000.000000,,-43257000000.000000,138022000000.000000,1916000000.000000,139938000000.000000,138022000000.000000,122204000000.000000,15818000000.000000,138022000000.000000,139938000000.000000,123803000000.000000,16135000000.000000,139938000000.000000
12M 2020,1337747000000.000000,-777850000000.000000,559897000000.000000,-171807000000.000000,,,,-171807000000.000000,388090000000.000000,-9414000000.000000,,,-9414000000.000000,-9414000000.000000,378676000000.000000,-77367000000.000000,-79825000000.000000,2458000000.000000,,-77367000000.000000,301309000000.000000,3007000000.000000,304316000000.000000,301309000000.000000,282215000000.000000,19094000000.000000,301309000000.000000,304316000000.000000,286716000000.000000,17600000000.000000,304316000000.000000
12M 2021,1826014000000.000000,-1043571000000.000000,782443000000.000000,-231670000000.000000,,,,-231670000000.000000,550773000000.000000,-89891000000.000000,,,-89891000000.000000,-89891000000.000000,460882000000.000000,-114250000000.000000,-119209000000.000000,4959000000.000000,,-114250000000.000000,346632000000.000000,955000000.000000,347587000000.000000,346632000000.000000,322632000000.000000,24000000000.000000,346632000000.000000,347587000000.000000,323346000000.000000,24241000000.000000,347587000000.000000
12M 2022,1522624000000.000000,-1138576000000.000000,384048000000.000000,-272243000000.000000,,,,-272243000000.000000,111805000000.000000,-41330000000.000000,,,-41330000000.000000,-41330000000.000000,70475000000.000000,-15226000000.000000,-44109000000.000000,28883000000.000000,,-15226000000.000000,55249000000.000000,2992000000.000000,58241000000.000000,55249000000.000000,62503000000.000000,-7254000000.000000,55249000000.000000,58241000000.000000,65242000000.000000,-7001000000.000000,58241000000.000000
12M 2023,1839233000000.000000,-1319778000000.000000,519455000000.000000,-315036000000.000000,,,,-315036000000.000000,204419000000.000000,63159000000.000000,,,63159000000.000000,63159000000.000000,267578000000.000000,-43549000000.000000,-43549000000.000000,,,-43549000000.000000,224029000000.000000,-5856000000.000000,218173000000.000000,224029000000.000000,216974000000.000000,7055000000.000000,224029000000.000000,218173000000.000000,210403000000.000000,7770000000.000000,218173000000.000000
12M 2024,2103055000000.000000,-1503762000000.000000,599293000000.000000,-338674000000.000000,,,,-338674000000.000000,260619000000.000000,1542000000.000000,,,1542000000.000000,1542000000.000000,262161000000.000000,-68659000000.000000,-73229000000.000000,4570000000.000000,,-68659000000.000000,193502000000.000000,9080000000.000000,202582000000.000000,193502000000.000000,201443000000.000000,-7941000000.000000,193502000000.000000,202582000000.000000,208737000000.000000,-6155000000.000000,202582000000.000000
