Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Operasional Lainnya,Pembayaran Untuk Gaji Dan Imbalan Kerja Karyawan,Pembayaran Biaya Bunga,Penerimaan Pendapatan Bunga,Penerimaan Dari Tagihan Pajak Penghasilan Badan,Pembayaran Pensiun,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Pelepasan (Peningkatan) Investasi Jangka Panjang,Peningkatan Investasi Jangka Pendek,Penarikan (Penempatan) Deposito Berjangka,Penempatan Kas Yang Dibatasi Penggunaannya,Pembayaran Utang Lain-Lain Atas Perolehan Aset Tetap,Penjualan Aset Tetap,Kas Dan Bank Entitas Enak Yang Dilepas,Arus Kas Keluar Bersih Dari Akuisisi Entitas Anak,Pembayaran Uang Muka Perolehan Aset,Kenaikan Aset Tidak Lancar Lainnya,Peningkatan Investasi Reksadana,Pembayaran Uang Muka Emisi Saham,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Obligasi Wajib Konversi,Penerimaan Setoran Modal Dari Penawaran Umum Perdana Saham,Penerimaan Dari Pinjaman Bank Jangka Panjang,Pembayaran Dividen Kas,Pembayaran Atas Pinjaman Transaksi Syariah Jangka Panjang,Pembayaran Atas Pinjaman Transaksi Syariah Jangka Pendek,Pembayaran Liabilitas Sewa,Pembayaran Atas Pinjaman Bank Jangka Panjang,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Penerimaan Dari Pinjaman Bank Jangka Pendek,Pembayaran Utang Dividen Kepada Non-Pengendali,Setoran Modal Pada Entitas Anak Oleh Kepentingan Non-Pengendali,Penerimaan Dari Pinjaman Transaksi Syariah Jangka Pendek,Penerimaan Dari Pinjaman Transaksi Syariah Jangka Panjang,Pembayaran Atas Pinjaman Bank Jangka Pendek,Penurunan Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Pengaruh Neto Perubahan Nilai Tukar Pada Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,117656000000.000000,947345000000.000000,-435027000000.000000,-91381000000.000000,-242284000000.000000,-37163000000.000000,2418000000.000000,,-1149000000.000000,-25103000000.000000,117656000000.000000,-160541000000.000000,-152680000000.000000,,,,,,,17266000000.000000,-12000000.000000,,-20735000000.000000,-4380000000.000000,,,,-160541000000.000000,94562000000.000000,,,,,-15837000000.000000,-48005000000.000000,,-97709000000.000000,-852000000.000000,19237000000.000000,,1000000000.000000,56984000000.000000,204789000000.000000,-23096000000.000000,-1949000000.000000,94562000000.000000,51677000000.000000,,158634000000.000000,210311000000.000000
12M 2020,304240000000.000000,1209478000000.000000,-419866000000.000000,-99626000000.000000,-293072000000.000000,-46954000000.000000,4603000000.000000,,-1639000000.000000,-48684000000.000000,304240000000.000000,-286087000000.000000,-263669000000.000000,-266000000.000000,,,,,,1642000000.000000,-205000000.000000,,-23589000000.000000,,,,,-286087000000.000000,83767000000.000000,,,112300000000.000000,,-22849000000.000000,-17256000000.000000,-3595000000.000000,,-2250000000.000000,,,280000000.000000,5000000000.000000,29917000000.000000,-17780000000.000000,,83767000000.000000,101920000000.000000,,210311000000.000000,312231000000.000000
12M 2021,479590000000.000000,1784782000000.000000,-602955000000.000000,-155072000000.000000,-393074000000.000000,-64483000000.000000,9419000000.000000,1833000000.000000,-4231000000.000000,-96629000000.000000,479590000000.000000,-465283000000.000000,-352967000000.000000,-11000000.000000,,,-7000000000.000000,,,5299000000.000000,,-937000000.000000,-109667000000.000000,,,,,-465283000000.000000,243973000000.000000,,,289637000000.000000,,-33441000000.000000,-6722000000.000000,-8895000000.000000,-900000000.000000,-5006000000.000000,,,5300000000.000000,4000000000.000000,,,,243973000000.000000,258280000000.000000,,312231000000.000000,570511000000.000000
12M 2022,88900000000.000000,1603380000000.000000,-683379000000.000000,-186332000000.000000,-462336000000.000000,-72075000000.000000,24830000000.000000,,-4382000000.000000,-130806000000.000000,88900000000.000000,-476192000000.000000,-351737000000.000000,-104000000.000000,,,-110000000000.000000,,,234000000.000000,,-6300000000.000000,-8285000000.000000,,,,,-476192000000.000000,796446000000.000000,627300000000.000000,265996000000.000000,69046000000.000000,-100395000000.000000,-41946000000.000000,-4000000000.000000,-15475000000.000000,-4080000000.000000,,,,,,,,,796446000000.000000,409154000000.000000,,570511000000.000000,979665000000.000000
12M 2023,265997000000.000000,1747926000000.000000,-700614000000.000000,-181824000000.000000,-507425000000.000000,-81113000000.000000,51071000000.000000,,-5517000000.000000,-56507000000.000000,265997000000.000000,-509506000000.000000,-506947000000.000000,-452000000.000000,,,41000000000.000000,-17051000000.000000,,4333000000.000000,,,-30389000000.000000,,,,,-509506000000.000000,289446000000.000000,,,382227000000.000000,,-71816000000.000000,,-40020000000.000000,-14110000000.000000,,,,,,33165000000.000000,,,289446000000.000000,45937000000.000000,,979665000000.000000,1025602000000.000000
12M 2024,309331000000.000000,2042879000000.000000,-870664000000.000000,-194867000000.000000,-566481000000.000000,-77579000000.000000,45552000000.000000,13884000000.000000,-7298000000.000000,-76095000000.000000,309331000000.000000,-591034000000.000000,-415289000000.000000,-88000000.000000,,,24000000000.000000,,-46233000000.000000,1265000000.000000,,,-154689000000.000000,,,,,-591034000000.000000,150859000000.000000,,,189179000000.000000,,-40800000000.000000,,-13409000000.000000,-36223000000.000000,-3026000000.000000,,-3000000000.000000,12436000000.000000,,45702000000.000000,,,150859000000.000000,-130844000000.000000,,1025602000000.000000,894758000000.000000
