Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,942917.55,0.00,0.00,241.84 B,6.39%,11.07%,20.72%,
12M 2020,0.00 B,2177551.27,0.00,0.00,477.55 B,11.70%,20.34%,20.47%,
12M 2021,13.96 B,23.11,0.00,0.00,664.36 B,10.33%,18.65%,22.70%,
12M 2022,13.96 B,4.48,176.34,7.24,264.83 B,1.58%,2.41%,3.53%,
12M 2023,13.96 B,15.54,45.37,5.35,387.36 B,4.61%,7.75%,5.22%,
12M 2024,13.96 B,14.43,46.08,4.41,481.28 B,3.97%,6.70%,5.95%,
