Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2019,0.00,8516720.42,0.00,8516720.42,18 B,,18 B,(193 B),323 B
12M 2020,0.00,10707342.48,0.00,10707342.48,,,,(312 B),511 B
12M 2021,0.00,123.93,0.00,123.93,,,,(571 B),807 B
12M 2022,4.26,185.40,4.26,185.40,,,,(980 B),"1,278 B"
12M 2023,3.52,200.48,3.52,200.48,,,,"(1,026 B)","1,212 B"
12M 2024,3.09,215.43,3.09,215.43,,,,(895 B),"1,161 B"
