Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,101427062442.000000,-69432878149.000000,31994184293.000000,-22433584807.000000,-22433584807.000000,-22433584807.000000,9560599486.000000,-3900974877.000000,72734265.000000,-4266002949.000000,289956596.000000,2337211.000000,-3900974877.000000,5659624609.000000,-2129071531.000000,,-861603500.000000,-1267468031.000000,-2129071531.000000,3530553078.000000,-88811516.000000,3441741562.000000,3530553078.000000,2491121409.000000,1039432669.000000,-1000.000000,3530553078.000000,3441741562.000000,2402309893.000000,1039432669.000000,-1000.000000,3441741562.000000
12M 2020,136611673628.000000,-101665793230.000000,34945880398.000000,-23956182568.000000,-23956182568.000000,-23956182568.000000,10989697830.000000,-1815636173.000000,91264709.000000,-3602155582.000000,-178839134.000000,1874093834.000000,-1815636173.000000,9174061657.000000,-2406535038.000000,,-1189347720.000000,-1217187318.000000,-2406535038.000000,6767526619.000000,46495260.000000,6814021879.000000,6767526619.000000,4635883574.000000,2131643045.000000,,6767526619.000000,6814021879.000000,4682175619.000000,2131846260.000000,,6814021879.000000
12M 2021,258805384213.000000,-199731420117.000000,59073964096.000000,-31394291561.000000,-31394291561.000000,-31394291561.000000,27679672535.000000,-2470220646.000000,194744689.000000,-2522447360.000000,-323374622.000000,180856647.000000,-2470220646.000000,25209451889.000000,-4899192852.000000,-7100000.000000,-4834430330.000000,-57662522.000000,-4899192852.000000,20310259037.000000,38803788.000000,20349062825.000000,20310259037.000000,16500164588.000000,3810094449.000000,,20310259037.000000,20349062825.000000,16565207186.000000,3783855639.000000,,20349062825.000000
12M 2022,291113647765.000000,-225687935161.000000,65425712604.000000,-36552134326.000000,-36552134326.000000,-36552134326.000000,28873578278.000000,-1919110267.000000,43819074.000000,-1683811909.000000,-468861466.000000,189744034.000000,-1919110267.000000,26954468011.000000,-6509798365.000000,-53694298.000000,-6530527980.000000,74423913.000000,-6509798365.000000,20444669646.000000,203593389.000000,20648263035.000000,20444669646.000000,17617534527.000000,2827135119.000000,,20444669646.000000,20648263035.000000,17745912087.000000,2902350948.000000,,20648263035.000000
12M 2023,184209897749.000000,-127522122096.000000,56687775653.000000,-37424671701.000000,-37424671701.000000,-37424671701.000000,19263103952.000000,3416638418.000000,445215507.000000,-2313233064.000000,3919741675.000000,1364914300.000000,3416638418.000000,22679742370.000000,-5247231609.000000,-306970120.000000,-4992416990.000000,52155501.000000,-5247231609.000000,17432510761.000000,32538535.000000,17465049296.000000,17432510761.000000,11544728667.000000,5887782094.000000,,17432510761.000000,17465049296.000000,11581864660.000000,5883184636.000000,,17465049296.000000
12M 2024,211734531294.000000,-151674908003.000000,60059623291.000000,-37975172436.000000,-37975172436.000000,-37975172436.000000,22084450855.000000,-2858559158.000000,285020943.000000,-3682679654.000000,-320914209.000000,860013762.000000,-2858559158.000000,19225891697.000000,-6347225887.000000,-657151981.000000,-5798245420.000000,108171514.000000,-6347225887.000000,12878665810.000000,84165323.000000,12962831133.000000,12878665810.000000,9543109256.000000,3335556554.000000,,12878665810.000000,12962831133.000000,9627274579.000000,3335556554.000000,,12962831133.000000
