Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,73361046.000000,-51709671.000000,21651375.000000,-5117704.000000,-1748015.000000,-3369689.000000,-5117704.000000,16533671.000000,1865762.000000,604787.000000,1115604.000000,453552.000000,-724076.000000,19832.000000,396063.000000,1865762.000000,18399433.000000,-3561064.000000,-3644598.000000,83534.000000,,-3561064.000000,14838369.000000,11543.000000,11543.000000,11543.000000,14849912.000000,14838369.000000,14883141.000000,-44772.000000,14838369.000000,14849912.000000,14836764.000000,13148.000000,14849912.000000
12M 2021,77898136.000000,-59944026.000000,17954110.000000,-6877841.000000,-3122714.000000,-3755127.000000,-6877841.000000,11076269.000000,95963.000000,-419155.000000,590220.000000,394994.000000,-1003432.000000,-138530.000000,671866.000000,95963.000000,11172232.000000,-2221732.000000,-1810218.000000,-411514.000000,,-2221732.000000,8950500.000000,27050.000000,27050.000000,27050.000000,8977550.000000,8950500.000000,9172294.000000,-221794.000000,8950500.000000,8977550.000000,9221906.000000,-244356.000000,8977550.000000
12M 2022,78985178.000000,-62454062.000000,16531116.000000,-9379077.000000,-3461596.000000,-5917481.000000,-9379077.000000,7152039.000000,-1783903.000000,-1850823.000000,387280.000000,296029.000000,-974599.000000,-18997.000000,377207.000000,-1783903.000000,5368136.000000,-835988.000000,-597829.000000,-238159.000000,,-835988.000000,4532148.000000,-458783.000000,-458783.000000,-458783.000000,4073365.000000,4532148.000000,4778525.000000,-246377.000000,4532148.000000,4073365.000000,4422816.000000,-349451.000000,4073365.000000
12M 2023,70288813.000000,-55024040.000000,15264773.000000,-6743738.000000,-2254855.000000,-4488883.000000,-6743738.000000,8521035.000000,941947.000000,610491.000000,851127.000000,421507.000000,-1010616.000000,32268.000000,37170.000000,941947.000000,9462982.000000,-1927997.000000,-1602578.000000,-325419.000000,,-1927997.000000,7534985.000000,513396.000000,513396.000000,513396.000000,8048381.000000,7534985.000000,7322193.000000,212792.000000,7534985.000000,8048381.000000,7403193.000000,645188.000000,8048381.000000
12M 2024,68512146.000000,-55943949.000000,12568197.000000,-5983688.000000,-2263593.000000,-3720095.000000,-5983688.000000,6584509.000000,-680598.000000,-1435623.000000,778799.000000,341151.000000,-1298280.000000,36520.000000,896835.000000,-680598.000000,5903911.000000,-306678.000000,-878618.000000,571940.000000,,-306678.000000,5597233.000000,-512889.000000,-512889.000000,-512889.000000,5084344.000000,5597233.000000,5504582.000000,92651.000000,5597233.000000,5084344.000000,5154890.000000,-70546.000000,5084344.000000
