Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2020,,,,,,,,,,,,,5.79,,1.56
12M 2021,44.66,46.25,38.23,52.68,8.17,,7.89,,1.45,,0.75,,6.91,,1.36
12M 2022,44.38,53.3,33.41,64.27,8.22,,6.85,,1.37,,0.75,,4.65,,1.91
12M 2023,46.61,53.29,30.65,69.25,7.83,15.11,6.85,14.76,1.28,2.64,0.68,1.33,4.34,4.34,1.63
12M 2024,50.57,49.71,27.83,72.45,7.22,6.51,7.34,6.92,1.29,1.28,0.64,0.61,2.4,2.4,2.77
