Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,317 B,(155 B),162 B,867712.37
12M 2021,115 B,(198 B),(83 B),-443098.49
12M 2022,174 B,(3 B),171 B,916528.69
12M 2023,195 B,(53 B),142 B,28.43
12M 2024,83 B,(59 B),23 B,3.97
