Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Pihak Ketiga Lainnya,Pembayaran Kepada Karyawan,Penerimaan Bunga,Penerimaan Restitusi Pajak Penghasilan,Pembayaran (Penerimaan) Pajak,Pembayaran Beban Keuangan,Kegiatan Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Takberwujud,Penambahan Investasi Pada Portofolio Efek,Penjualan Investasi Pada Portofolio Efek,Penambahan Aset Tidak Berwujud,Penempatan Aset Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan Konsumen,Setoran Modal,Biaya Emisi Saham,Penerimaan Utang Bank Jangka Pendek,Penerimaan Uang Muka Setoran Modal,Penambahan Modal Entitas Anak,Penerimaan Dari Utang Bank Jangka Panjang,Penerimaan Dari Penjualan Dan Sewa Kembali Aset Tetap,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,22485326.000000,70731369.000000,-43232459.000000,-521792.000000,453552.000000,,-5404531.000000,-724076.000000,1183263.000000,22485326.000000,-15726774.000000,-8420462.000000,-2560985.000000,76315.000000,,-4821642.000000,,,,-15726774.000000,1925221.000000,-1272300.000000,,-2092326.000000,-159268.000000,-32112.000000,,,517321.000000,,,1872000.000000,3091906.000000,1925221.000000,8683773.000000,-150445.000000,7688126.000000,16221454.000000
12M 2021,8076665.000000,75367084.000000,-60970971.000000,-4788928.000000,394994.000000,,-5913076.000000,-1137283.000000,5124845.000000,8076665.000000,-13197898.000000,-13570539.000000,,103783.000000,,-4430953.000000,8479840.000000,-309419.000000,-3470610.000000,-13197898.000000,521154.000000,-1190000.000000,,-2799020.000000,-858349.000000,-63858.000000,,,4379843.000000,,350.000000,1052188.000000,,521154.000000,-4600079.000000,-109050.000000,16221454.000000,11512325.000000
12M 2022,11186755.000000,81272225.000000,-57453053.000000,-4641536.000000,296029.000000,,-2023758.000000,-1081799.000000,-5181353.000000,11186755.000000,-691556.000000,-179611.000000,-11330.000000,31648.000000,,-528680.000000,,-3583.000000,,-691556.000000,-9013035.000000,-4900000.000000,-44908361.000000,-2732436.000000,-904261.000000,-62698.000000,,,43211301.000000,1282545.000000,875.000000,,,-9013035.000000,1482164.000000,199510.000000,11512325.000000,13193999.000000
12M 2023,12625544.000000,69511499.000000,-48632218.000000,-4528896.000000,421507.000000,1850980.000000,-224922.000000,-1116995.000000,-4655411.000000,12625544.000000,-1782268.000000,-421465.000000,-2846147.000000,40662.000000,,-1947143.000000,3542489.000000,-150664.000000,,-1782268.000000,-3756304.000000,-31020386.000000,-4226893.000000,-4626725.000000,-1167700.000000,-25844.000000,20811370.000000,,8249937.000000,,,951907.000000,7298030.000000,-3756304.000000,7086972.000000,345307.000000,13193999.000000,20626278.000000
12M 2024,5119487.000000,67844952.000000,-51631351.000000,-4097092.000000,341151.000000,3203.000000,-2422944.000000,-1401271.000000,-3517161.000000,5119487.000000,-8101085.000000,-2309156.000000,-1359156.000000,50486.000000,,-4478501.000000,,-4758.000000,,-8101085.000000,3490211.000000,-1820530.000000,-8238290.000000,-748923.000000,-2390197.000000,-67282.000000,16384361.000000,,371072.000000,,,,,3490211.000000,508613.000000,918079.000000,20626278.000000,22052970.000000
