Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Investasi Jangka Pendek,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Beban Akrual,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,80412000000.000000,194308000000.000000,1888000000.000000,192420000000.000000,194308000000.000000,6428000000.000000,618000000.000000,5810000000.000000,6428000000.000000,,154305000000.000000,38930000000.000000,474383000000.000000,,2463000000.000000,,2463000000.000000,2463000000.000000,1177324000000.000000,34097000000.000000,3379000000.000000,1217263000000.000000,1691646000000.000000,,,919974000000.000000,506456000000.000000,,21028000000.000000,106209000000.000000,127237000000.000000,,160563000000.000000,13036000000.000000,173599000000.000000,6964000000.000000,17779000000.000000,,86702000000.000000,195000000.000000,1042000000.000000,87939000000.000000,,919974000000.000000,461578000000.000000,,371372000000.000000,98000000.000000,2140000000.000000,373610000000.000000,,,45114000000.000000,4303000000.000000,49417000000.000000,34789000000.000000,3762000000.000000,461578000000.000000,1381552000000.000000,,178524000000.000000,540000000.000000,83646000000.000000,,,83646000000.000000,29154000000.000000,18230000000.000000,310094000000.000000,1691646000000.000000,81000000.000000
12M 2010,,,276483000000.000000,317024000000.000000,95013000000.000000,222011000000.000000,317024000000.000000,10552000000.000000,872000000.000000,9680000000.000000,10552000000.000000,,195457000000.000000,45373000000.000000,844889000000.000000,,4159000000.000000,49000000.000000,4110000000.000000,4159000000.000000,1336264000000.000000,32100000000.000000,1998000000.000000,1374521000000.000000,2219410000000.000000,,,703033000000.000000,482321000000.000000,,,52799000000.000000,52799000000.000000,,,6762000000.000000,6762000000.000000,36677000000.000000,22077000000.000000,,101167000000.000000,137000000.000000,1093000000.000000,102397000000.000000,,703033000000.000000,420737000000.000000,,354616000000.000000,,1398000000.000000,356014000000.000000,,,9494000000.000000,4246000000.000000,13740000000.000000,44675000000.000000,6308000000.000000,420737000000.000000,1123770000000.000000,,644050000000.000000,234543000000.000000,253911000000.000000,,,253911000000.000000,33966000000.000000,-70830000000.000000,1095640000000.000000,2219410000000.000000,6440500780.000000
12M 2011,,,100075000000.000000,406048000000.000000,33890000000.000000,372158000000.000000,406048000000.000000,17370000000.000000,969000000.000000,16401000000.000000,17370000000.000000,,219191000000.000000,92856000000.000000,835540000000.000000,,8396000000.000000,,8396000000.000000,8396000000.000000,1740471000000.000000,33321000000.000000,2008000000.000000,1784196000000.000000,2619736000000.000000,,,971888000000.000000,695793000000.000000,,2201000000.000000,124841000000.000000,127042000000.000000,,,21925000000.000000,21925000000.000000,8388000000.000000,31061000000.000000,,87104000000.000000,,575000000.000000,87679000000.000000,,971888000000.000000,498930000000.000000,,427867000000.000000,,4429000000.000000,432296000000.000000,,,,4437000000.000000,4437000000.000000,54428000000.000000,7769000000.000000,498930000000.000000,1470818000000.000000,,644052000000.000000,234545000000.000000,284736000000.000000,,,284736000000.000000,38719000000.000000,-53134000000.000000,1148918000000.000000,2619736000000.000000,6440516680.000000
12M 2012,,,6439332.000000,45899233.000000,3641322.000000,42257911.000000,45899233.000000,1537654.000000,79671.000000,1457983.000000,1537654.000000,,20547707.000000,10334062.000000,84757988.000000,,163363.000000,,163363.000000,163363.000000,194062750.000000,3603169.000000,240599.000000,198069881.000000,282827869.000000,,,96840291.000000,63931616.000000,,1697568.000000,15425064.000000,17122632.000000,,,1291965.000000,1291965.000000,1317296.000000,2839376.000000,,10127431.000000,,155983.000000,10283414.000000,53992.000000,96840291.000000,44966952.000000,,37005756.000000,,221862.000000,37227618.000000,,,,498635.000000,498635.000000,6131480.000000,1109219.000000,44966952.000000,141807243.000000,,72845925.000000,25762692.000000,42254527.000000,73817.000000,42180710.000000,42254527.000000,4523755.000000,-4366273.000000,141020626.000000,282827869.000000,6440516680.000000
12M 2013,,,9695028.000000,45679524.000000,1173125.000000,44506399.000000,45679524.000000,1361112.000000,18000.000000,1343112.000000,1361112.000000,,22910527.000000,5646269.000000,85292460.000000,,,,,,188335093.000000,3636532.000000,244361.000000,192215986.000000,277508446.000000,,,96028005.000000,65932301.000000,,913226.000000,12864656.000000,13777882.000000,,,730408.000000,730408.000000,1358351.000000,2621125.000000,,11444758.000000,,108767.000000,11553525.000000,54413.000000,96028005.000000,30142727.000000,,25090106.000000,,62548.000000,25152654.000000,,,,114416.000000,114416.000000,3736395.000000,1139262.000000,30142727.000000,126170732.000000,,72874753.000000,23427408.000000,50705836.000000,173817.000000,50532019.000000,50705836.000000,5076179.000000,-746462.000000,151337714.000000,277508446.000000,6443379509.000000
12M 2014,,,10940812.000000,46341314.000000,2252385.000000,44088929.000000,46341314.000000,2082893.000000,15323.000000,2067570.000000,2082893.000000,,24169248.000000,8758101.000000,92292368.000000,,,,,,189380790.000000,3543164.000000,189171.000000,193113125.000000,285405493.000000,,,105692581.000000,74787042.000000,,106809.000000,14510192.000000,14617001.000000,,,926299.000000,926299.000000,1843274.000000,3084648.000000,,10285896.000000,,108166.000000,10394062.000000,40255.000000,105692581.000000,24902037.000000,,18102797.000000,,166121.000000,18268918.000000,,,,,,5364779.000000,1268340.000000,24902037.000000,130594618.000000,,72874753.000000,23427408.000000,53886085.000000,273817.000000,53612268.000000,53886085.000000,5462213.000000,-839584.000000,154810875.000000,285405493.000000,6443379509.000000
12M 2015,,,14934790.000000,36829799.000000,1017638.000000,35812161.000000,36829799.000000,1706104.000000,54938.000000,1651166.000000,1706104.000000,,20221113.000000,8387249.000000,82079055.000000,,,,,,195425773.000000,3165745.000000,109498.000000,198701016.000000,280780071.000000,,,93454587.000000,69152679.000000,,,9808590.000000,9808590.000000,,,953440.000000,953440.000000,1952390.000000,3920477.000000,,7534100.000000,,108166.000000,7642266.000000,24745.000000,93454587.000000,34124596.000000,,20486380.000000,,40742.000000,20527122.000000,4250000.000000,,,,,6696537.000000,2650937.000000,34124596.000000,127579183.000000,,72874753.000000,23427408.000000,55006348.000000,,,55006348.000000,5504009.000000,-3611630.000000,153200888.000000,280780071.000000,6443379509.000000
12M 2016,,,13516650.000000,44414792.000000,2498635.000000,41916157.000000,44414792.000000,1621260.000000,86990.000000,1534270.000000,1621260.000000,,22905204.000000,8684211.000000,91142117.000000,,,,,,188858978.000000,2801428.000000,91881.000000,191752287.000000,282894404.000000,,,95025914.000000,72797228.000000,,,9852110.000000,9852110.000000,,,506061.000000,506061.000000,985728.000000,3135053.000000,,7659634.000000,,64598.000000,7724232.000000,25502.000000,95025914.000000,31912714.000000,,20236568.000000,,20640.000000,20257208.000000,,,,,,8323673.000000,3331833.000000,31912714.000000,126938628.000000,,72874753.000000,23427408.000000,60730215.000000,,,60730215.000000,5568706.000000,-6645306.000000,155955776.000000,282894404.000000,6443379509.000000
12M 2017,,,11554129.000000,49178766.000000,1828963.000000,47349803.000000,49178766.000000,1610978.000000,197948.000000,1413030.000000,1610978.000000,,26545651.000000,9143083.000000,98032607.000000,,,,,,186860062.000000,2802172.000000,98617.000000,189760851.000000,287793458.000000,,,100644759.000000,76525866.000000,,,9803501.000000,9803501.000000,,,725067.000000,725067.000000,1999747.000000,3625768.000000,,7920464.000000,,18037.000000,7938501.000000,26309.000000,100644759.000000,27704491.000000,,15175938.000000,,,15175938.000000,,,,,,7926607.000000,4601946.000000,27704491.000000,128349250.000000,,72874753.000000,23427408.000000,60544497.000000,,,60544497.000000,6299014.000000,-3701464.000000,159444208.000000,287793458.000000,6443379509.000000
12M 2018,,,12118460.000000,54919081.000000,5066166.000000,49852915.000000,54919081.000000,1576523.000000,133788.000000,1442735.000000,1576523.000000,,30244837.000000,9808951.000000,108667852.000000,,,,,,180836560.000000,2504137.000000,118423.000000,183459120.000000,292126972.000000,,,106171161.000000,83548429.000000,,,10673391.000000,10673391.000000,,,298215.000000,298215.000000,873189.000000,3036272.000000,,7716926.000000,,,7716926.000000,24739.000000,106171161.000000,24273011.000000,,10670701.000000,,,10670701.000000,,,,,,8843215.000000,4759095.000000,24273011.000000,130444172.000000,,72874753.000000,23427408.000000,65425410.000000,,,65425410.000000,6210616.000000,-6255387.000000,161682800.000000,292126972.000000,6443379509.000000
12M 2019,,,11987549.000000,51548682.000000,7875942.000000,43672740.000000,51548682.000000,1449545.000000,84514.000000,1365031.000000,1449545.000000,,29380581.000000,10693733.000000,105060090.000000,,,,,,169970444.000000,2391048.000000,119372.000000,172480864.000000,277540954.000000,,,92748238.000000,73234070.000000,,,10101429.000000,10101429.000000,,,574361.000000,574361.000000,1234008.000000,2701369.000000,,4900870.000000,,,4900870.000000,2131.000000,92748238.000000,21387526.000000,,6507955.000000,,,6507955.000000,,,,,,8730950.000000,6148621.000000,21387526.000000,114135764.000000,,72874753.000000,23427408.000000,67903036.000000,,,67903036.000000,6343209.000000,-7143216.000000,163405190.000000,277540954.000000,6443379509.000000
12M 2020,,,28216321.000000,48129202.000000,7133960.000000,40995242.000000,48129202.000000,1518955.000000,,1518955.000000,1518955.000000,,26361275.000000,8384496.000000,112610249.000000,,,,,,165342143.000000,2483228.000000,79715.000000,167905086.000000,280515335.000000,,,86299066.000000,62494812.000000,,,12826383.000000,12826383.000000,,,609674.000000,609674.000000,2187942.000000,3043155.000000,,5134322.000000,,,5134322.000000,2778.000000,86299066.000000,18323910.000000,,2291388.000000,,,2291388.000000,,,,,,9396793.000000,6635729.000000,18323910.000000,104622976.000000,,72874753.000000,23427408.000000,75430610.000000,,,75430610.000000,7442734.000000,-3283146.000000,175892359.000000,280515335.000000,6443379509.000000
