Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Pihak Ketiga,Penghasilan Bunga,Pembayaran Bunga,Penerimaan Restitusi Pajak Penghasilan,Penerimaan (Pembayaran) Pajak Penghasilan,Pembayaran Beban Usaha,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Pencairan (Penempatan) Deposito Berjangka,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank - Jangka Pendek,Pembayaran Utang Bank - Jangka Pendek,Penerimaan Utang Jangka Panjang:,Bank,Sewa Pembiayaaan,Pembiayaan Konsumen,Total Penerimaan Utang Jangka Panjang:,Pembayaran Utang Jangka Panjang:,Bank,Sewa Pembiayaaan,Pembiayaan Konsumen,Total Pembayaran Utang Jangka Panjang:,Penambahan Uang Muka Setoran Modal,Setoran Modal,Pembayaran Dividen Tunai,Penurunan (Kenaikan) Utang - Pihak Berelasi - Bersih,Kenaikan (Penurunan) Piutang - Pihak Berelasi - Bersih,Penerimaan Kas Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Selisih Kurs Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2009,-109904000000.000000,1178916000000.000000,-1054542000000.000000,1447000000.000000,-57284000000.000000,,-27168000000.000000,-151273000000.000000,-109904000000.000000,-137065000000.000000,1309000000.000000,-138374000000.000000,,-137065000000.000000,296554000000.000000,168047000000.000000,-69166000000.000000,,32533000000.000000,,1207000000.000000,33740000000.000000,,-17036000000.000000,-195000000.000000,-706000000.000000,-17937000000.000000,5087000000.000000,,,142194000000.000000,34589000000.000000,,,296554000000.000000,49585000000.000000,-39598000000.000000,70425000000.000000,80412000000.000000
12M 2010,5450000000.000000,1502433000000.000000,-1270314000000.000000,3474000000.000000,-58944000000.000000,,-21172000000.000000,-150027000000.000000,5450000000.000000,-230615000000.000000,472000000.000000,-231087000000.000000,,-230615000000.000000,422864000000.000000,203302000000.000000,-213252000000.000000,,85221000000.000000,,175000000.000000,85396000000.000000,,-68070000000.000000,-195000000.000000,-1042000000.000000,-69307000000.000000,,613212000000.000000,,-196184000000.000000,-303000000.000000,,,422864000000.000000,197699000000.000000,-1628000000.000000,80412000000.000000,276483000000.000000
12M 2011,61948000000.000000,1729263000000.000000,-1370846000000.000000,747000000.000000,-59616000000.000000,,-62811000000.000000,-174789000000.000000,61948000000.000000,-453541000000.000000,1306000000.000000,-454847000000.000000,,-453541000000.000000,213650000000.000000,378065000000.000000,-193234000000.000000,,219157000000.000000,,4201000000.000000,223358000000.000000,,-163867000000.000000,-137000000.000000,-1675000000.000000,-165679000000.000000,,4000000.000000,-19322000000.000000,,,423000000.000000,-9965000000.000000,213650000000.000000,-177943000000.000000,1535000000.000000,276483000000.000000,100075000000.000000
12M 2012,23975072.000000,226151999.000000,-170244692.000000,33702.000000,-7630880.000000,,-2681396.000000,-21653661.000000,23975072.000000,-5761548.000000,75136.000000,-5836684.000000,,-5761548.000000,-20900046.000000,81355000.000000,-91847411.000000,,,,,,,-9581903.000000,,-173984.000000,-9755887.000000,,,-678918.000000,,,27170.000000,,-20900046.000000,-2686522.000000,76546.000000,8609758.000000,5999782.000000
12M 2013,16715753.000000,233702927.000000,-188483488.000000,24355.000000,-5873505.000000,,408696.000000,-23063232.000000,16715753.000000,-4228783.000000,232772.000000,-4461555.000000,,-4228783.000000,-8778194.000000,113203387.000000,-110628573.000000,,7476534.000000,,,7476534.000000,,-18107377.000000,,-206530.000000,-18313907.000000,,72071.000000,-649377.000000,,,61671.000000,,-8778194.000000,3708776.000000,-13530.000000,5999782.000000,9695028.000000
12M 2014,12726284.000000,229026316.000000,-185565500.000000,24526.000000,-5075612.000000,,-2670972.000000,-23012474.000000,12726284.000000,-11969520.000000,73334.000000,-12042854.000000,,-11969520.000000,-743251.000000,131475949.000000,-123812899.000000,,4875819.000000,,258897.000000,5134716.000000,,-12855390.000000,,-155925.000000,-13011315.000000,,,-532379.000000,,,2677.000000,,-743251.000000,13513.000000,-26501.000000,9695022.000000,9682034.000000
12M 2015,24557802.000000,210053910.000000,-153911873.000000,27515.000000,-5372581.000000,,-2289615.000000,-23949554.000000,24557802.000000,-14938182.000000,27521.000000,-14965703.000000,,-14938182.000000,-5778730.000000,132717095.000000,-138103571.000000,,10974501.000000,,,10974501.000000,,-11201761.000000,,-125379.000000,-11327140.000000,,,,,,-39615.000000,,-5778730.000000,3840890.000000,-406221.000000,9682040.000000,13116709.000000
12M 2016,7962289.000000,188041764.000000,-145563707.000000,58527.000000,-5329001.000000,,-2535018.000000,-26710276.000000,7962289.000000,-13284004.000000,98678.000000,-13382682.000000,,-13284004.000000,6281934.000000,158227375.000000,-151759532.000000,,7647930.000000,,,7647930.000000,,-7738117.000000,,-63670.000000,-7801787.000000,,,,,,-32052.000000,,6281934.000000,960219.000000,-560278.000000,13116709.000000,13516650.000000
12M 2017,8384319.000000,194171007.000000,-152492588.000000,62669.000000,-5508205.000000,,364791.000000,-28213355.000000,8384319.000000,-7009134.000000,446886.000000,-7456020.000000,,-7009134.000000,-4180319.000000,167586772.000000,-164960830.000000,,2294698.000000,,,2294698.000000,,-7225259.000000,,-67201.000000,-7292460.000000,,,-1697541.000000,,,-110958.000000,,-4180319.000000,-2805134.000000,656231.000000,13516650.000000,11367747.000000
12M 2018,4249526.000000,205832581.000000,-164159021.000000,48031.000000,-5710322.000000,,-3971207.000000,-27790536.000000,4249526.000000,-7876098.000000,16361.000000,-7892459.000000,,-7876098.000000,1024172.000000,192067370.000000,-186435180.000000,,3280862.000000,,,3280862.000000,,-7935003.000000,,-18037.000000,-7953040.000000,,,,,,64160.000000,,1024172.000000,-2602400.000000,-324294.000000,11367747.000000,8441053.000000
