Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Operasional,Penerimaan (Pembayaran) Pajak Penghasilan,Penerimaan Bunga,Pembayaran Biaya Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Uang Jaminan,Hasil Penjualan Investasi,Penerimaan Dividen Dari Investasi,Perolehan Investasi,Perolehan Utang Konversi,Penambahan Uang Muka Pembelian Aset Tetap,Perolehan Aset Tetap,Penambahan Uang Muka Pembelian Aset Tak Berwujud,Penambahan Aset Tidak Berwujud,Perolehan Aset Hak-Guna,Perolehan Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Penempatan Deposito Berjangka,Perolehan Investasi Permodalan,Pembayaran Penambahan Investasi Pada Entitas Anak,Perolehan Entitas Anak,Penjualan Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal,Setoran Modal Kepentingan Nonpengendali,Penerimaan Dari Penawaran Umum Perdana Saham Setelah Penawaran Umum,Penerimaan Dari Penerbitan Saham Sehubungan Dengan Program Mesop,Penerimaan Pinjaman Pihak Berelasi,Pembayaran Pinjaman Pihak Berelasi,Setoran Modal Entitas Anak Dampak Dari Transaksi Kombinasi Bisnis Entitas Sepengendali,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Penerimaan Dari Pinjaman Jangka Pendek,Pembayaran Utang Bank,Pembayaran Beban Bunga Pinjaman Pihak Berelasi,Penempatan Deposito Yang Penggunaannya Dibatasi,Pembayaran Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Pendek,Pembayaran Pinjaman Lainnya,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan Konsumen,Uang Jaminan,Pencairan Deposito,Pembayaran Lain-Lain Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-4959765000000.000000,23436113000000.000000,-23104625000000.000000,-635358000000.000000,-4511916000000.000000,-160630000000.000000,22235000000.000000,-5584000000.000000,-4959765000000.000000,-367972000000.000000,67000000.000000,1000000.000000,,,-117452000000.000000,,,-228513000000.000000,,-21275000000.000000,,,,,,-800000000.000000,,-367972000000.000000,5173297000000.000000,1797697000000.000000,1000000.000000,,,1635000000000.000000,-3053000000.000000,1743131000000.000000,,,,-129000000.000000,,,,,,,-169000000.000000,,819000000.000000,,5173297000000.000000,-154440000000.000000,1132350000000.000000,977910000000.000000
12M 2020,-2449759000000.000000,11303536000000.000000,-11098621000000.000000,-861496000000.000000,-1893657000000.000000,122841000000.000000,22855000000.000000,-45217000000.000000,-2449759000000.000000,-240208000000.000000,4563000000.000000,1000000.000000,,,-149297000000.000000,,,-81973000000.000000,,-13502000000.000000,,,,,,,,-240208000000.000000,3026506000000.000000,1350310000000.000000,3600000000.000000,,,1687000000000.000000,,53000000000.000000,,441000000.000000,,,,,,,,-68349000000.000000,,,750000000.000000,-246000000.000000,3026506000000.000000,336539000000.000000,977910000000.000000,1314449000000.000000
12M 2021,-3386422000000.000000,15394269000000.000000,-15052774000000.000000,-1315181000000.000000,-2397354000000.000000,-4413000000.000000,29625000000.000000,-40594000000.000000,-3386422000000.000000,-7497240000000.000000,15130000000.000000,-1875000000.000000,,,-325077000000.000000,-14269000000.000000,,-71289000000.000000,,-4214000000.000000,-15841000000.000000,,-867000000.000000,,-880664000000.000000,-6270790000000.000000,72516000000.000000,-7497240000000.000000,14558320000000.000000,14795078000000.000000,2000000.000000,,,,-4537000000000.000000,,5000000000000.000000,,,-69177000000.000000,-490650000000.000000,-10840000000.000000,,,,-129093000000.000000,,,,,14558320000000.000000,3684708000000.000000,1314449000000.000000,4999157000000.000000
12M 2022,-4974282000000.000000,36092416000000.000000,-35226835000000.000000,-1776655000000.000000,-3870798000000.000000,-13400000000.000000,54513000000.000000,-233523000000.000000,-4974282000000.000000,-275025000000.000000,688000000.000000,2546000000.000000,,,-71471000000.000000,,,-195089000000.000000,,-11839000000.000000,-1004000000.000000,,1144000000.000000,,,,,-275025000000.000000,2544760000000.000000,,247000000.000000,7740485000000.000000,8030000000.000000,,,,6139300000000.000000,,,-11114531000000.000000,,13607000000.000000,,,,-242378000000.000000,,,,,2544760000000.000000,-1927669000000.000000,4999157000000.000000,3071488000000.000000
12M 2023,-3788150000000.000000,40867255000000.000000,-39119014000000.000000,-2031740000000.000000,-3460516000000.000000,-3410000000.000000,45900000000.000000,-86625000000.000000,-3788150000000.000000,-76363000000.000000,94000000000.000000,335000000.000000,,,-2974000000.000000,,-14300000000.000000,-146531000000.000000,,-3885000000.000000,-3008000000.000000,,,,,,,-76363000000.000000,2149547000000.000000,,,,978614000000.000000,,,,8002955000000.000000,,,-6574137000000.000000,,-1986000000.000000,,,,-255899000000.000000,,,,,2149547000000.000000,-1176490000000.000000,3071488000000.000000,1894998000000.000000
12M 2024,-2467965000000.000000,47450375000000.000000,-44372588000000.000000,-2168808000000.000000,-3102206000000.000000,-116146000000.000000,49880000000.000000,-208472000000.000000,-2467965000000.000000,-1277064000000.000000,6526000000.000000,161000000.000000,,59662000000.000000,-308000000.000000,,-24775000000.000000,-131825000000.000000,-1694000000.000000,-1087000000.000000,-24280000000.000000,-1159444000000.000000,,,,,,-1277064000000.000000,4099529000000.000000,,,,4539716000000.000000,,,,11722213000000.000000,52632000000.000000,39435000000.000000,-11744281000000.000000,,-1048000000.000000,-1719000000.000000,-4367000000.000000,-211152000000.000000,-291900000000.000000,,,,,4099529000000.000000,553924000000.000000,1894998000000.000000,2448922000000.000000
