Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,4181448000000.000000,-4366029000000.000000,-184581000000.000000,-4621278000000.000000,-2963519000000.000000,-1674378000000.000000,16619000000.000000,-4621278000000.000000,-4805859000000.000000,-188875000000.000000,24365000000.000000,-213240000000.000000,,,-188875000000.000000,-4994734000000.000000,256652000000.000000,1742025000000.000000,-2996057000000.000000,952000000.000000,-2995105000000.000000,-2996057000000.000000,-2990148000000.000000,-5909000000.000000,-2996057000000.000000,-2995105000000.000000,-2989196000000.000000,-5909000000.000000,-2995105000000.000000
12M 2020,4298850000000.000000,-3985415000000.000000,313435000000.000000,-3639863000000.000000,-1846630000000.000000,-1806532000000.000000,13299000000.000000,-3639863000000.000000,-3326428000000.000000,-192192000000.000000,23172000000.000000,-215364000000.000000,,,-192192000000.000000,-3518620000000.000000,50093000000.000000,1049945000000.000000,-2418582000000.000000,94270000000.000000,-2324312000000.000000,-2418582000000.000000,-2413072000000.000000,-5510000000.000000,-2418582000000.000000,-2324312000000.000000,-2318802000000.000000,-5510000000.000000,-2324312000000.000000
12M 2021,8857845000000.000000,-8277891000000.000000,579954000000.000000,-4364518000000.000000,-1880958000000.000000,-2534363000000.000000,50803000000.000000,-4364518000000.000000,-3784564000000.000000,-102575000000.000000,29625000000.000000,-132297000000.000000,97000000.000000,,-102575000000.000000,-3887139000000.000000,-70369000000.000000,600569000000.000000,-3356939000000.000000,992891000000.000000,-2364048000000.000000,-3356939000000.000000,-3334487000000.000000,-22452000000.000000,-3356939000000.000000,-2364048000000.000000,-2341716000000.000000,-22332000000.000000,-2364048000000.000000
12M 2022,15269078000000.000000,-14046985000000.000000,1222093000000.000000,-6229318000000.000000,-2897305000000.000000,-3373681000000.000000,41668000000.000000,-6229318000000.000000,-5007225000000.000000,-221833000000.000000,54512000000.000000,-277331000000.000000,986000000.000000,,-221833000000.000000,-5229058000000.000000,-307247000000.000000,,-5536305000000.000000,-1812128000000.000000,-7348433000000.000000,-5536305000000.000000,-5503223000000.000000,-33082000000.000000,-5536305000000.000000,-7348433000000.000000,-7316186000000.000000,-32247000000.000000,-7348433000000.000000
12M 2023,14717896000000.000000,-12315698000000.000000,2402198000000.000000,-5987017000000.000000,-2276102000000.000000,-3712757000000.000000,1842000000.000000,-5987017000000.000000,-3584819000000.000000,-84382000000.000000,45900000000.000000,-131784000000.000000,1502000000.000000,,-84382000000.000000,-3669201000000.000000,-12061000000.000000,,-3681262000000.000000,97928000000.000000,-3583334000000.000000,-3681262000000.000000,-3641715000000.000000,-39547000000.000000,-3681262000000.000000,-3583304000000.000000,-3542000000000.000000,-41304000000.000000,-3583304000000.000000
12M 2024,16715576000000.000000,-13416973000000.000000,3298603000000.000000,-5659809000000.000000,-2010443000000.000000,-3715350000000.000000,65984000000.000000,-5659809000000.000000,-2361206000000.000000,-101010000000.000000,49880000000.000000,-261827000000.000000,228000000.000000,110709000000.000000,-101010000000.000000,-2462216000000.000000,-68499000000.000000,,-2530715000000.000000,-34438000000.000000,-2565153000000.000000,-2530715000000.000000,-2531379000000.000000,664000000.000000,-2530715000000.000000,-2565153000000.000000,-2564696000000.000000,-457000000.000000,-2565153000000.000000
