Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2019,0.00,3903.18,0.00,2782.10,,,,(978 B),"1,943 B"
12M 2020,0.00,2489.29,0.00,1511.74,,0 B,,"(1,314 B)","1,372 B"
12M 2021,0.00,96.84,0.00,66.82,"5,060 B",,"5,060 B",61 B,555 B
12M 2022,5.47,85.95,-18.47,60.50,85 B,,85 B,"(2,986 B)","3,833 B"
12M 2023,7.64,63.10,12.58,38.31,"1,514 B",,"1,514 B",(381 B),"1,859 B"
12M 2024,6.14,73.25,11.75,38.31,"1,609 B",34 B,"1,643 B","(2,415 B)","2,483 B"
