Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Jangka Panjang,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Pihak Berelasi,Pihak Ketiga,Total Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Pendek,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pihak Berelasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,977910000000.000000,277000000.000000,565034000000.000000,18839000000.000000,546195000000.000000,565034000000.000000,13764000000.000000,,13764000000.000000,13764000000.000000,386125000000.000000,1748433000000.000000,3691543000000.000000,,1599193000000.000000,1310932000000.000000,34660000000.000000,576175000000.000000,974353000000.000000,54535000000.000000,4549848000000.000000,8241391000000.000000,,,1748044000000.000000,,,2419000000.000000,874088000000.000000,876507000000.000000,,,354726000000.000000,354726000000.000000,24555000000.000000,,223163000000.000000,181833000000.000000,404996000000.000000,,,,,,87260000000.000000,1748044000000.000000,2976000000000.000000,,,,,2850000000000.000000,2021000000.000000,123979000000.000000,2976000000000.000000,4724044000000.000000,,8769511000000.000000,925435000000.000000,-8601130000000.000000,4330000000.000000,2419201000000.000000,3517347000000.000000,8241391000000.000000,900040100.000000
12M 2020,,,1314449000000.000000,277000000.000000,359286000000.000000,8241000000.000000,351045000000.000000,359286000000.000000,24995000000.000000,,24995000000.000000,24995000000.000000,314814000000.000000,958514000000.000000,2972335000000.000000,,3187084000000.000000,1291392000000.000000,37492000000.000000,309010000000.000000,974353000000.000000,199911000000.000000,5999242000000.000000,8971577000000.000000,,,1600057000000.000000,,,1121000000.000000,547788000000.000000,548909000000.000000,,,231504000000.000000,231504000000.000000,22460000000.000000,,417670000000.000000,226876000000.000000,644546000000.000000,,,,62780000000.000000,62780000000.000000,89858000000.000000,1600057000000.000000,4792486000000.000000,,441000000.000000,56381000000.000000,56822000000.000000,4537000000000.000000,1645000000.000000,197019000000.000000,4792486000000.000000,6392543000000.000000,,10119831000000.000000,925435000000.000000,-11015079000000.000000,2420000000.000000,2546427000000.000000,2579034000000.000000,8971577000000.000000,1035081000.000000
12M 2021,,,4999157000000.000000,1144000000.000000,443565000000.000000,17975000000.000000,425590000000.000000,443565000000.000000,25513000000.000000,,25513000000.000000,25513000000.000000,1273165000000.000000,1004006000000.000000,7746550000000.000000,,4817173000000.000000,1804822000000.000000,553554000000.000000,332920000000.000000,2469390000000.000000,665045000000.000000,10642904000000.000000,18389454000000.000000,,,7191297000000.000000,5060008000000.000000,,3419000000.000000,1227477000000.000000,1230896000000.000000,,218000000.000000,257628000000.000000,257846000000.000000,53815000000.000000,,28000000.000000,307742000000.000000,307770000000.000000,,,223000000.000000,126705000000.000000,126928000000.000000,154034000000.000000,7191297000000.000000,1113098000000.000000,,,358070000000.000000,358070000000.000000,,504191000000.000000,250837000000.000000,1113098000000.000000,8304395000000.000000,,25175876000000.000000,-2507689000000.000000,-14349566000000.000000,333087000000.000000,1433351000000.000000,10085059000000.000000,18389454000000.000000,100703499840.000000
12M 2022,,,3071488000000.000000,,991522000000.000000,17187000000.000000,974335000000.000000,991522000000.000000,38579000000.000000,272000000.000000,38307000000.000000,38579000000.000000,1354666000000.000000,1100664000000.000000,6556919000000.000000,,1973367000000.000000,1776399000000.000000,546243000000.000000,130720000000.000000,2469390000000.000000,623756000000.000000,7519875000000.000000,14076794000000.000000,,,2724048000000.000000,85000000000.000000,,3805000000.000000,1518664000000.000000,1522469000000.000000,,6000000.000000,270375000000.000000,270381000000.000000,154216000000.000000,,1288000000.000000,299079000000.000000,300367000000.000000,,,,130899000000.000000,130899000000.000000,260716000000.000000,2724048000000.000000,870930000000.000000,,,318099000000.000000,318099000000.000000,,251900000000.000000,300931000000.000000,870930000000.000000,3594978000000.000000,,29623324000000.000000,793377000000.000000,-19852789000000.000000,297516000000.000000,-379612000000.000000,10481816000000.000000,14076794000000.000000,118493291840.000000
12M 2023,,,1894998000000.000000,,1263462000000.000000,105407000000.000000,1158055000000.000000,1263462000000.000000,39934000000.000000,302000000.000000,39632000000.000000,39934000000.000000,1675622000000.000000,1038743000000.000000,5912759000000.000000,,1487349000000.000000,1607453000000.000000,525047000000.000000,189479000000.000000,2469390000000.000000,649455000000.000000,6928173000000.000000,12840932000000.000000,,,4054201000000.000000,1513818000000.000000,,68596000000.000000,1287681000000.000000,1356277000000.000000,,153000000.000000,264932000000.000000,265085000000.000000,170024000000.000000,,407000000.000000,311825000000.000000,312232000000.000000,,,,147419000000.000000,147419000000.000000,289346000000.000000,4054201000000.000000,944963000000.000000,,,322880000000.000000,322880000000.000000,,193628000000.000000,428455000000.000000,944963000000.000000,4999164000000.000000,,30191546000000.000000,1203769000000.000000,-23494504000000.000000,220873000000.000000,-279916000000.000000,7841768000000.000000,12840932000000.000000,120766180771.000000
12M 2024,,,2448922000000.000000,,1631789000000.000000,175389000000.000000,1456400000000.000000,1631789000000.000000,58372000000.000000,27000000.000000,58345000000.000000,58372000000.000000,1890390000000.000000,1524652000000.000000,7554125000000.000000,,1335298000000.000000,1634992000000.000000,1693089000000.000000,180787000000.000000,2883920000000.000000,881133000000.000000,8609219000000.000000,16163344000000.000000,,,5070815000000.000000,1557195000000.000000,,364135000000.000000,1792037000000.000000,2156172000000.000000,,398000000.000000,200637000000.000000,201035000000.000000,145280000000.000000,,1404000000.000000,407330000000.000000,408734000000.000000,,35068000000.000000,16956000000.000000,207763000000.000000,259787000000.000000,342612000000.000000,5070815000000.000000,1277565000000.000000,,33957000000.000000,369753000000.000000,403710000000.000000,,396412000000.000000,477443000000.000000,1277565000000.000000,6348380000000.000000,,32750100000000.000000,3184931000000.000000,-26025883000000.000000,218736000000.000000,-312920000000.000000,9814964000000.000000,16163344000000.000000,131000399381.000000
