Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Beban Akrual,Utang Lain-Lain,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,27439754167.000000,7359905409.000000,,,,,155745536123.000000,84516470773.000000,275061666472.000000,,3016604614.000000,85844056073.000000,53828752854.000000,5311850105.000000,,148001263646.000000,423062930118.000000,,,276668416266.000000,263267947800.000000,7335064612.000000,4479084620.000000,,1586319234.000000,,,,276668416266.000000,11524234924.000000,230996874.000000,,,,11293238050.000000,11524234924.000000,288192651190.000000,,168367416900.000000,,-57564117053.000000,1288539064.000000,22778440017.000000,134870278928.000000,423062930118.000000,1438370465.000000
12M 2016,,,30338590016.000000,29690073358.000000,2625000000.000000,2625000000.000000,,2625000000.000000,184170407735.000000,79328776199.000000,326152847308.000000,,3877237573.000000,25603816260.000000,77773513758.000000,5311850105.000000,1918700.000000,112568336396.000000,438721183704.000000,,,285084248364.000000,266320887054.000000,14729052188.000000,1692998175.000000,,2341310947.000000,,,,285084248364.000000,13134638814.000000,230996874.000000,,,,12903641940.000000,13134638814.000000,298218887178.000000,,168367416900.000000,,-51720095051.000000,1354831747.000000,22500142929.000000,140502296525.000000,438721183703.000000,1438370465.000000
12M 2017,,,109671182737.000000,28778538248.000000,,,,,152437746927.000000,59429646268.000000,350317114180.000000,,5855522998.000000,97732265554.000000,120751091460.000000,5311850105.000000,,229650730117.000000,579967844297.000000,,,419107925736.000000,367665385281.000000,14302461970.000000,1724018274.000000,39951317.000000,6890316654.000000,,,28485792240.000000,419107925736.000000,18247628370.000000,230996874.000000,,,,18016631496.000000,18247628370.000000,437355554106.000000,,168367416900.000000,,-47973758906.000000,1395525302.000000,20823106894.000000,142612290190.000000,579967844296.000000,1438370465.000000
12M 2018,,,63776024266.000000,221231510642.000000,,,,,46798660135.000000,44821602218.000000,376627797261.000000,,3980361948.000000,31275266736.000000,117481401418.000000,5311850105.000000,,158048880207.000000,534676677468.000000,,,369060636786.000000,306469746720.000000,55569389405.000000,1875465811.000000,,5146034850.000000,,,,369060636786.000000,15921447789.000000,,,,,15921447789.000000,15921447789.000000,384982084575.000000,,168367416900.000000,,-43524486366.000000,1442544341.000000,23409118018.000000,149694592893.000000,534676677468.000000,1438370465.000000
12M 2019,,,26535603210.000000,163398365316.000000,,,,,40832321528.000000,39241126011.000000,270007416065.000000,,4144722757.000000,73165023590.000000,115098864537.000000,5311850105.000000,,197720460989.000000,467727877054.000000,,,303085785310.000000,299393440044.000000,2637550354.000000,264741617.000000,726605300.000000,63447995.000000,,,,303085785310.000000,16578891025.000000,,,,,16578891025.000000,16578891025.000000,319664676335.000000,,168367416900.000000,,-45619948969.000000,1307578989.000000,24008153799.000000,148063200719.000000,467727877054.000000,1438370465.000000
12M 2020,,,19975156905.000000,158050494378.000000,63456650779.000000,,63456650779.000000,63456650779.000000,53212779779.000000,55984734974.000000,350679816815.000000,,5998751395.000000,,124086104462.000000,5311850105.000000,,135396705962.000000,486076522777.000000,,,177077322265.000000,160395296691.000000,1992045030.000000,1111484564.000000,,128495976.000000,,,13450000004.000000,177077322265.000000,167472141173.000000,,,149133333329.000000,149133333329.000000,18338807844.000000,167472141173.000000,344549463438.000000,,168367416900.000000,21887036000.000000,-52358668654.000000,1243845227.000000,2387429866.000000,141527059339.000000,486076522777.000000,1438370465.000000
12M 2021,,,28367193224.000000,175327078733.000000,62241755819.000000,,62241755819.000000,62241755819.000000,68055925419.000000,74526816248.000000,408518769443.000000,,5638947976.000000,,120584677303.000000,5311850105.000000,,131535475384.000000,540054244827.000000,,,251602860008.000000,230343053309.000000,1321412914.000000,826601087.000000,,95126028.000000,,,19016666670.000000,251602860008.000000,143801780853.000000,,,130116666663.000000,130116666663.000000,13685114190.000000,143801780853.000000,395404640861.000000,,168367416900.000000,21887036000.000000,-51625551351.000000,1267641277.000000,4753061140.000000,144649603966.000000,540054244827.000000,1438370465.000000
12M 2022,,,9149000000.000000,165170000000.000000,46250000000.000000,,46250000000.000000,46250000000.000000,57520000000.000000,57366000000.000000,335455000000.000000,,4839000000.000000,,118802000000.000000,5312000000.000000,,128953000000.000000,464408000000.000000,,,300852000000.000000,217690000000.000000,2657000000.000000,1166000000.000000,,359000000.000000,,,86911000000.000000,300852000000.000000,10179000000.000000,,,,,10179000000.000000,10179000000.000000,311031000000.000000,,168367000000.000000,21887000000.000000,-52703000000.000000,1190000000.000000,6705000000.000000,145446000000.000000,456477000000.000000,1438370465.000000
12M 2023,,,8795168040.000000,155618145651.000000,,,,,50525779683.000000,60224079374.000000,275163172748.000000,,4026024029.000000,44968359752.000000,116774860548.000000,5311850105.000000,,171081094434.000000,446244267182.000000,,,273345057588.000000,217698578602.000000,3287679013.000000,2821313461.000000,,184687691.000000,,,65359111952.000000,273345057588.000000,9914436257.000000,,,,,9914436257.000000,9914436257.000000,283259493845.000000,,168367416900.000000,21887036000.000000,-51909732890.000000,1164797283.000000,7468942913.000000,146978460206.000000,430237954051.000000,1438370465.000000
12M 2024,,,6309414990.000000,97154648965.000000,,,,,80782960056.000000,81231943701.000000,265478967712.000000,,4280044375.000000,47563198840.000000,115067957847.000000,5311850105.000000,,172223051167.000000,437702018879.000000,,,262553096743.000000,216635848002.000000,3125346450.000000,6744175774.000000,,428513554.000000,,,52716435185.000000,262553096743.000000,9423665265.000000,,,,,9423665265.000000,9423665265.000000,271976762008.000000,,168367416900.000000,21887036000.000000,-50607460579.000000,1182032149.000000,7799010179.000000,148628034649.000000,420604796657.000000,1438370465.000000
