Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Kas Dari Pendapatan Bunga,"Pembayaran Kepada Pemasok, Karyawan Dan Lainnya",Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Kas Dari Restitusi Pajak,Pembayaran Kas Untuk Beban Opersional,Penerimaan Kas Lainnya,Pembayaran Kas Untuk Pajak,Penerimaan Bunga,Pembayaran Kas Untuk Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Dari Penjualan Aset Tetap,Pembayaran Pemberian Piutang Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penempatan Kas Yang Dibatasi Penggunaannya,Penarikan Kas Yang Dibatasi Penggunaannya,Pinjaman Kepada Pihak Berelasi,Perolehan (Pembayaran) Pihak Ketiga,Perolehan (Pembayaran) Pihak Berelasi,Pembayaran Pihak Berelasi,Pembayaran Utang Bank,Penerimaan (Pembayaran) Utang Bank,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2015,-35401386697.000000,385427240460.000000,44298591.000000,,-361677889139.000000,,,-29055718152.000000,,-1750411212.000000,,-28388907245.000000,-35401386697.000000,-900111447.000000,-900111447.000000,,,-900111447.000000,21488094571.000000,,,,1040824469.000000,,,,20447270102.000000,,21488094571.000000,-14813403573.000000,42253157740.000000,,,27439754167.000000
12M 2016,-58446080418.000000,424500298119.000000,,,-422001903608.000000,2489065240.000000,,-35985249141.000000,,-1224774374.000000,,-26223516654.000000,-58446080418.000000,-1948262801.000000,-1948262801.000000,,,-1948262801.000000,63293179068.000000,,,,,,60240239814.000000,,3052939254.000000,,63293179068.000000,2898835849.000000,27439754167.000000,,,30338590016.000000
12M 2017,54345870981.000000,593241968117.000000,,,-469904806092.000000,-25802597476.000000,5045879072.000000,-22108891754.000000,2466516659.000000,-2602318352.000000,,-25989879193.000000,54345870981.000000,-4229327195.000000,-4229327195.000000,,,-4229327195.000000,29216048933.000000,,,,,,-72128449293.000000,,101344498226.000000,,29216048933.000000,79332592719.000000,30338590016.000000,,,109671182735.000000
12M 2018,20928724987.000000,514154761285.000000,,,-411008372664.000000,-26317561491.000000,,-22456707182.000000,3435284353.000000,-3868958181.000000,,-33009721133.000000,20928724987.000000,-5628244897.000000,-5628244897.000000,,,-5628244897.000000,-61195638561.000000,,,,,,,,-61195638561.000000,,-61195638561.000000,-45895158471.000000,109671182737.000000,,,63776024266.000000
12M 2019,14204803313.000000,589996872610.000000,,,-497931223451.000000,-24472075642.000000,,-13580093096.000000,,-7870282793.000000,,-31938394315.000000,14204803313.000000,-44368917691.000000,-2479160837.000000,,-41889756854.000000,-44368917691.000000,-7076306676.000000,,,,,,,,-7076306676.000000,,-7076306676.000000,-37240421054.000000,63776024266.000000,,,26535603212.000000
12M 2020,-21371604429.000000,293983978265.000000,,-283302249445.000000,,,,,,-1150460000.000000,,-30902873249.000000,-21371604429.000000,-12982777600.000000,-12982777600.000000,,,-12982777600.000000,30281664957.000000,-2285292535.000000,,,,8981767512.000000,,-56248143353.000000,79833333333.000000,,30281664957.000000,-4072717072.000000,24047873977.000000,,,19975156905.000000
12M 2021,-51978048226.000000,346221118523.000000,,-361901755238.000000,,,,,,-211143070.000000,,-36086268441.000000,-51978048226.000000,518472000.000000,,518472000.000000,,518472000.000000,59851612545.000000,,2138960965.000000,,,1214894962.000000,,-13502243382.000000,70000000000.000000,,59851612545.000000,8392036319.000000,19975156905.000000,,,28367193224.000000
12M 2022,53084000000.000000,323306000000.000000,,-241214000000.000000,,,,,,-647000000.000000,,-28361000000.000000,53084000000.000000,-61000000.000000,-61000000.000000,,,-61000000.000000,-72242000000.000000,,2634000000.000000,,,,,-323043000000.000000,248167000000.000000,,-72242000000.000000,-19219000000.000000,28367000000.000000,,1000000.000000,9149000000.000000
12M 2023,21188725620.000000,216044003178.000000,,-167496767310.000000,,,,,,-928551051.000000,,-26429959197.000000,21188725620.000000,,,,,,-21542916212.000000,,,,,,,-121822504010.000000,100279587798.000000,,-21542916212.000000,-354190592.000000,9149358632.000000,,,8795168040.000000
12M 2024,13814493405.000000,242368376686.000000,,-203671819173.000000,,,,,,-105628962.000000,,-24776435146.000000,13814493405.000000,,,,,,-16300246454.000000,,,-2594839088.000000,,,,-17097222222.000000,3391814856.000000,,-16300246454.000000,-2485753049.000000,8795168040.000000,,,6309414991.000000
