Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Pemasaran,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,374407257762.000000,-310654417925.000000,63752839837.000000,-39805320261.000000,-8922154682.000000,-30883165579.000000,-39805320261.000000,23947519576.000000,-18551074867.000000,-28388907245.000000,9837832378.000000,-18551074867.000000,5396444709.000000,-448724168.000000,4947720541.000000,801027130.000000,5748747671.000000,4947720541.000000,4926087872.000000,21632669.000000,,4947720541.000000,5748747671.000000,5727115002.000000,21632669.000000,5748747671.000000
12M 2016,446830466068.000000,-381139559712.000000,65690906356.000000,-37978928993.000000,-10087265318.000000,-27891663675.000000,-37978928993.000000,27711977363.000000,-21106640333.000000,-26223516654.000000,5116876321.000000,-21106640333.000000,6605337030.000000,-692211265.000000,5913125765.000000,-281108171.000000,5632017594.000000,5913125765.000000,5844022000.000000,69103765.000000,,5913125765.000000,5632017594.000000,5565724911.000000,66292683.000000,5632017594.000000
12M 2017,563864071410.000000,-491484878965.000000,72379192445.000000,-43371501218.000000,-12158093444.000000,-31213407774.000000,-43371501218.000000,29007691227.000000,-23661823096.000000,-25989879193.000000,2328056097.000000,-23661823096.000000,5345868131.000000,-1541898673.000000,3803969458.000000,-1693975793.000000,2109993665.000000,3803969459.000000,3746336147.000000,57633312.000000,,3803969459.000000,2109993666.000000,2069300111.000000,40693555.000000,2109993666.000000
12M 2018,735093525919.000000,-663625384823.000000,71468141096.000000,-34725404007.000000,-8631338567.000000,-26094065440.000000,-34725404007.000000,36742737089.000000,-30234135601.000000,-33009721133.000000,2775585532.000000,-30234135601.000000,6508601488.000000,-2038431234.000000,4470170254.000000,2612132448.000000,7082302702.000000,4470170254.000000,4449272539.000000,20897715.000000,,4470170254.000000,7082302702.000000,7035283663.000000,47019039.000000,7082302702.000000
12M 2019,535719525407.000000,-474862106869.000000,60857418538.000000,-25446513148.000000,-7148473591.000000,-18298039557.000000,-25446513148.000000,35410905390.000000,-38983062465.000000,-31938394315.000000,-7044668150.000000,-38983062465.000000,-3572157075.000000,-651617032.000000,-4223774107.000000,614090729.000000,-3609683378.000000,-4223774106.000000,-4200490887.000000,-23283219.000000,,-4223774106.000000,-3609683378.000000,-3592541066.000000,-17142312.000000,-3609683378.000000
12M 2020,288636107329.000000,-243686481043.000000,44949626286.000000,-20777842933.000000,-2831446438.000000,-17946396495.000000,-20777842933.000000,24171783353.000000,-32906827844.000000,-30902873249.000000,-2003954595.000000,-32906827844.000000,-8735044491.000000,1929901023.000000,-6805143468.000000,269002087.000000,-6536141381.000000,-6805143468.000000,-6738719685.000000,-66423783.000000,,-6805143468.000000,-6536141381.000000,-6472407619.000000,-63733762.000000,-6536141381.000000
12M 2021,363604570740.000000,-307296819399.000000,56307751341.000000,-19018355327.000000,-1098043166.000000,-17920312161.000000,-19018355327.000000,37289396014.000000,-36193136303.000000,-36086268441.000000,-106867862.000000,-36193136303.000000,1096259711.000000,-353320095.000000,742939616.000000,2379605010.000000,3122544626.000000,742939616.000000,733117302.000000,9822314.000000,,742939616.000000,3122544626.000000,3098748576.000000,23796050.000000,3122544626.000000
12M 2022,320482000000.000000,-272207000000.000000,48275000000.000000,-19539000000.000000,-769000000.000000,-18770000000.000000,-19539000000.000000,28736000000.000000,-28642000000.000000,-28361000000.000000,-281000000.000000,-28642000000.000000,94000000.000000,-1193000000.000000,-1099000000.000000,1895000000.000000,796000000.000000,-1099000000.000000,-1078000000.000000,-21000000.000000,,-1099000000.000000,796000000.000000,874000000.000000,-78000000.000000,796000000.000000
12M 2023,202242648252.000000,-164793706686.000000,37448941566.000000,-13149258312.000000,-543161551.000000,-12606096761.000000,-13149258312.000000,24299683254.000000,-22160355864.000000,-26429959197.000000,4269603333.000000,-22160355864.000000,2139327390.000000,-1363496820.000000,775830570.000000,756391753.000000,1532222323.000000,775830570.000000,793507781.000000,-17677211.000000,,775830570.000000,1532222323.000000,1557463451.000000,-25241128.000000,1532222323.000000
12M 2024,183904880000.000000,-149918399128.000000,33986480872.000000,-7730394871.000000,-94729005.000000,-7635665866.000000,-7730394871.000000,26256086001.000000,-24994101894.000000,-24776435146.000000,-217666748.000000,-24994101894.000000,1261984107.000000,54189058.000000,1316173165.000000,333401279.000000,1649574444.000000,1316173165.000000,1302272311.000000,13900854.000000,,1316173165.000000,1649574443.000000,1632339577.000000,17234866.000000,1649574443.000000
