Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,0.00,92.87,0.00,89.18,263 B,,263 B,236 B,(2 B)
12M 2016,5.04,96.74,5.24,93.05,266 B,,266 B,236 B,41 B
12M 2017,1.96,98.18,2.03,94.49,368 B,,368 B,258 B,(69 B)
12M 2018,2.68,103.07,2.78,99.38,306 B,,306 B,243 B,8 B
12M 2019,0.49,102.03,0.51,98.34,299 B,,299 B,273 B,(33 B)
12M 2020,0.78,97.53,0.81,93.84,174 B,149 B,323 B,303 B,174 B
12M 2021,2.77,99.68,2.88,95.99,249 B,130 B,379 B,351 B,157 B
12M 2022,0.57,100.29,0.59,96.60,226 B,,226 B,216 B,27 B
12M 2023,0.49,101.37,0.51,97.68,234 B,,234 B,225 B,(14 B)
12M 2024,0.19,102.51,0.19,98.82,234 B,,234 B,227 B,(14 B)
