Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Beban Pabrikasi Dan Usaha,"Pembayaran Gaji, Upah Dan Tunjangan",Penerimaan Bunga,Pembayaran Keberatan Pajak Entitas Anak,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Penerimaan Pajak Penghasilan,Penerimaan Tagihan Pajak Penghasilan,Penerimaan Tagihan Pajak Pertambahan Nilai,Penerimaan (Pengeluaran) Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Akuisisi Kepentingan Non Pengendali,"Akuisisi Entitas Anak, Setelah Dikurangkan Dengan Kas Yang Diperoleh",Penambahan Aset Tidak Berwujud,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Uang Muka Aset Takberwujud,Pembelian Saham,Penambahan Aset Keuangan Tersedia Untuk Dijual,Setoran Modal Oleh Kepentingan Non Pengendali,Setoran Uang Muka Saham Dari Kepentingan Non Pengendali,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penambahan Pinjaman Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penambahan Utang Bank Jangka Panjang,Pembayaran Utang Pemegang Saham,Pembayaran Biaya Komitmen,Pembayaran Liabilitas Sewa,Penambahan Setoran Modal Dari Kepentingan Nonpengendali,Akuisisi Kepentingan Non Pengendali,Pembayaran Dividen,Pembayaran Dividen Kepada Kepentingan Nonpengendali,Pembayaran Dividen Kas Oleh Entitas Anak Kepada Kepentingan Non Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2011,-42414384.000000,882754563.000000,-895845206.000000,-11528967.000000,-2667571.000000,193243.000000,,,-6721755.000000,,,,-8598691.000000,-42414384.000000,-904241.000000,100364.000000,,,,-42645.000000,-961960.000000,,,,,,-904241.000000,47491564.000000,48049574.000000,,,,,,,,,,-558010.000000,,,47491564.000000,4172939.000000,4572286.000000,291476.000000,9036701.000000
12M 2012,-2195214.000000,1340335342.000000,-1258325468.000000,-61450820.000000,-4821949.000000,89878.000000,,,-11712537.000000,,,,-6309660.000000,-2195214.000000,-464414.000000,12508.000000,,,,-4377.000000,-472545.000000,,,,,,-464414.000000,3425648.000000,3932244.000000,,,,,,,,,,-506596.000000,,,3425648.000000,766020.000000,9036701.000000,-470212.000000,9332509.000000
12M 2013,40684864.000000,1312705256.000000,-1207971374.000000,-59313850.000000,-6165669.000000,67914.000000,,,1354336.000000,,,,8251.000000,40684864.000000,-1952349.000000,217844.000000,,,,-1113828.000000,-1056365.000000,,,,,,-1952349.000000,-37928466.000000,,-45408019.000000,8204118.000000,,,,,,,,-724565.000000,,,-37928466.000000,804049.000000,9332509.000000,1403177.000000,11539735.000000
12M 2014,6639372.000000,1205305378.000000,-1147230875.000000,-41119369.000000,-7143723.000000,134145.000000,,-2472193.000000,-11541598.000000,,10707607.000000,,,6639372.000000,-7638928.000000,38540.000000,,62544.000000,-58652.000000,-989084.000000,-6692276.000000,,,,,,-7638928.000000,2150268.000000,135501802.000000,-124334270.000000,,,,-8204118.000000,,,,,-813146.000000,,,2150268.000000,1150712.000000,11539735.000000,-150634.000000,12539813.000000
12M 2015,-1763930.000000,984406837.000000,-920006972.000000,-49963810.000000,-7601247.000000,79452.000000,,-1847984.000000,-6830206.000000,,,,,-1763930.000000,-20115819.000000,21000.000000,,-7189140.000000,,-6051287.000000,-9548866.000000,,,,,2652474.000000,-20115819.000000,27139354.000000,132358893.000000,-128033779.000000,23252000.000000,,,-77617.000000,,,,,-360143.000000,,,27139354.000000,5259605.000000,12539813.000000,-110136.000000,17689282.000000
12M 2016,26437337.000000,900913029.000000,-823241146.000000,-44319450.000000,-10017784.000000,158372.000000,,-2091746.000000,-4737197.000000,,9773259.000000,,,26437337.000000,-24600546.000000,59620.000000,,,,-1432942.000000,-23227224.000000,,,,,,-24600546.000000,16897691.000000,111733797.000000,-111288077.000000,21000000.000000,-3255280.000000,,,,,512034.000000,,-1804783.000000,,,16897691.000000,18734482.000000,17689282.000000,445864.000000,36869628.000000
12M 2017,24419601.000000,914167836.000000,-831908138.000000,-36607760.000000,-13133356.000000,397589.000000,,-3187012.000000,-9171864.000000,,3862306.000000,,,24419601.000000,-11200874.000000,1272377.000000,,,-354935.000000,-2142434.000000,-9975882.000000,,,,,,-11200874.000000,-11207784.000000,208153858.000000,-214930448.000000,,-7673160.000000,,,,,5260389.000000,,-2014841.000000,,-3582.000000,-11207784.000000,2010943.000000,36869628.000000,-92393.000000,38788178.000000
12M 2018,1424017.000000,1042010402.000000,-965018072.000000,-51622350.000000,-13565264.000000,665547.000000,,-3928753.000000,-7372039.000000,,254546.000000,,,1424017.000000,-14895089.000000,89800.000000,,,-39632.000000,-3173128.000000,-11772129.000000,,,,,,-14895089.000000,80071323.000000,222747485.000000,-171862250.000000,,-8723160.000000,40000000.000000,,,,,-596244.000000,-1360159.000000,,-134349.000000,80071323.000000,66600251.000000,38788178.000000,496685.000000,105885114.000000
12M 2019,32774910.000000,1021486582.000000,-919366694.000000,-49134852.000000,-13068473.000000,797419.000000,,-5681865.000000,-5435289.000000,,70467.000000,3107615.000000,,32774910.000000,-32204452.000000,97840.000000,,,-18548.000000,-8782569.000000,-22791049.000000,,,-710126.000000,,,-32204452.000000,-52583724.000000,215560093.000000,-251629234.000000,,-11475400.000000,,,,,7.000000,,-5039190.000000,,,-52583724.000000,-52013266.000000,105885114.000000,282612.000000,54154460.000000
12M 2020,37092757.000000,974090210.000000,-870088698.000000,-46784226.000000,-12299693.000000,375881.000000,,-4469430.000000,-4966854.000000,,1235567.000000,,,37092757.000000,-8620625.000000,490644.000000,,,-177802.000000,,-8933467.000000,,,,,,-8620625.000000,-18166941.000000,223454595.000000,-226296390.000000,,-39475000.000000,28259273.000000,,,-1583809.000000,,,-2487905.000000,,-37705.000000,-18166941.000000,10305191.000000,54154460.000000,-1474775.000000,62984876.000000
