Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Pengendalian Bersama,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Pemegang Saham,Pinjaman Jangka Panjang,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,41109429000.000000,212772300000.000000,,,212772300000.000000,,,,,687233388000.000000,100533931000.000000,1041649048000.000000,,,68298000.000000,,59176157000.000000,,921634000.000000,60166089000.000000,1101815137000.000000,,,895694805000.000000,76423500000.000000,743073771000.000000,,,743073771000.000000,810797000.000000,25074544000.000000,,,,,,,,,,50312193000.000000,895694805000.000000,3035443000.000000,,,,,482144000.000000,,,,2553299000.000000,3035443000.000000,898730248000.000000,,48000000000.000000,996062000.000000,154088827000.000000,800000000.000000,153288827000.000000,154088827000.000000,,,203084889000.000000,1101815137000.000000,480000000.000000
12M 2011,,,81944811000.000000,224136556000.000000,,,224136556000.000000,,,,,1491894957000.000000,159370671000.000000,1957346995000.000000,,,12527000.000000,,61603235000.000000,,1137995000.000000,62753757000.000000,2020100752000.000000,,,1781982650000.000000,512791539000.000000,1092782962000.000000,,,1092782962000.000000,1203138000.000000,18672060000.000000,,,,,,,,,,156532951000.000000,1781982650000.000000,4336834000.000000,,,,,175408000.000000,,,,4161426000.000000,4336834000.000000,1786319484000.000000,,48000000000.000000,996062000.000000,184785206000.000000,900000000.000000,183885206000.000000,184785206000.000000,,,233781268000.000000,2020100752000.000000,480000000.000000
12M 2012,,,9332509.000000,34364759.000000,,,34364759.000000,13346.000000,,,13346.000000,181026585.000000,25011403.000000,249748602.000000,,,,56247.000000,6660204.000000,,161382.000000,6877833.000000,256626435.000000,,,221358352.000000,60481819.000000,101565978.000000,,,101565978.000000,143438.000000,915981.000000,,,,,,,,,,58251136.000000,221358352.000000,812693.000000,,,,,,,,,812693.000000,812693.000000,222171045.000000,,6120561.000000,95775.000000,28239054.000000,507236.000000,27731818.000000,28239054.000000,,,34455390.000000,256626435.000000,480000000.000000
12M 2013,,,11539735.000000,54191767.000000,,,54191767.000000,18576.000000,,,18576.000000,171263752.000000,16862758.000000,253876588.000000,,,,174162.000000,6898495.000000,,1189271.000000,8261928.000000,262138516.000000,,,206919087.000000,13714050.000000,120166122.000000,,,120166122.000000,106458.000000,857249.000000,,,,,,,,,,72075208.000000,206919087.000000,9450870.000000,,,,,,,8204118.000000,,1246752.000000,9450870.000000,216369957.000000,,6120561.000000,95775.000000,39552223.000000,1010406.000000,38541817.000000,39552223.000000,,,45768559.000000,262138516.000000,480000000.000000
12M 2014,,,12539813.000000,44829267.000000,,,44829267.000000,36415.000000,,,36415.000000,110089109.000000,6901159.000000,174395763.000000,,,,228801.000000,15331056.000000,,11280284.000000,26840141.000000,201235904.000000,,,146675924.000000,26122256.000000,95222811.000000,,,95222811.000000,167903.000000,206788.000000,,,,,338916.000000,,,,,24617250.000000,146675924.000000,2451781.000000,,,,,,,,1428045.000000,1023736.000000,2451781.000000,149127705.000000,,6120561.000000,95775.000000,45860865.000000,1433919.000000,44426946.000000,45860865.000000,32120.000000,-1122.000000,52108199.000000,201235904.000000,480000000.000000
12M 2015,,,20254547.000000,57299581.000000,,,57299581.000000,1704020.000000,,,1704020.000000,157540062.000000,16458812.000000,253257022.000000,,,,90018.000000,34830690.000000,91556.000000,19750926.000000,54763190.000000,308020212.000000,,,221060493.000000,33467004.000000,167869329.000000,,,167869329.000000,606761.000000,559188.000000,,,,,270283.000000,,3255280.000000,,3255280.000000,15032648.000000,221060493.000000,23878143.000000,,19850456.000000,,19850456.000000,1027478.000000,,,,3000209.000000,23878143.000000,244938636.000000,,6120561.000000,95775.000000,54575878.000000,1433919.000000,53141959.000000,54575878.000000,2593697.000000,-304335.000000,63081576.000000,308020212.000000,480000000.000000
12M 2016,,,36869628.000000,56227980.000000,55669031.000000,558949.000000,56227980.000000,83596.000000,,,83596.000000,95369667.000000,5070359.000000,193621230.000000,,,,366512.000000,57066988.000000,112347.000000,7814148.000000,65359995.000000,258981225.000000,,,138746700.000000,31347459.000000,,65707632.000000,19725927.000000,85433559.000000,3524223.000000,3097579.000000,479964.000000,,,479964.000000,,,7673160.000000,,7673160.000000,7190756.000000,138746700.000000,37389088.000000,,33046991.000000,,33046991.000000,573758.000000,,,,3768339.000000,37389088.000000,176135788.000000,,6120561.000000,95775.000000,72864281.000000,1433919.000000,71430362.000000,72864281.000000,3752904.000000,11916.000000,82845437.000000,258981225.000000,480000000.000000
12M 2017,,,40165948.000000,73628282.000000,73329562.000000,298720.000000,73628282.000000,1145623.000000,,,1145623.000000,140587686.000000,6004625.000000,261532164.000000,,,,1543553.000000,68932882.000000,365375.000000,6007032.000000,76848842.000000,338381006.000000,,,207391707.000000,26113401.000000,,102791599.000000,50679501.000000,153471100.000000,336865.000000,2059360.000000,6306313.000000,,,6306313.000000,,,8723160.000000,,8723160.000000,10381508.000000,207391707.000000,30003337.000000,,24402954.000000,,24402954.000000,315750.000000,,,,5284633.000000,30003337.000000,237395044.000000,,6120561.000000,95775.000000,86274251.000000,1433919.000000,84840332.000000,86274251.000000,8862421.000000,-367046.000000,100985962.000000,338381006.000000,480000000.000000
12M 2018,,,107054468.000000,65709625.000000,65092971.000000,616654.000000,65709625.000000,3260029.000000,,,3260029.000000,153922503.000000,13105141.000000,343051766.000000,,,,2273293.000000,76808593.000000,265695.000000,9140464.000000,88488045.000000,431539811.000000,,,265278767.000000,76997147.000000,,45339711.000000,102627569.000000,147967280.000000,323316.000000,2168724.000000,2830486.000000,,,2830486.000000,,,11475400.000000,,11475400.000000,23516414.000000,265278767.000000,57462103.000000,,53018411.000000,,53018411.000000,224393.000000,,,,4219299.000000,57462103.000000,322740870.000000,,6120561.000000,95775.000000,97682687.000000,1433919.000000,96248768.000000,97682687.000000,7189091.000000,-2289173.000000,108798941.000000,431539811.000000,480000000.000000
12M 2019,,,54154460.000000,69553352.000000,68823364.000000,729988.000000,69553352.000000,108032.000000,,,108032.000000,145770296.000000,37821257.000000,307407397.000000,,,,2265302.000000,99698942.000000,176694.000000,16720704.000000,118861642.000000,426269039.000000,,,260746372.000000,40960569.000000,,19798215.000000,151184641.000000,170982856.000000,1058453.000000,6535228.000000,3389043.000000,,,3389043.000000,1323305.000000,,9075000.000000,,9075000.000000,27421918.000000,260746372.000000,48574893.000000,,43976777.000000,,43976777.000000,91177.000000,,,,4506939.000000,48574893.000000,309321265.000000,,6120561.000000,95775.000000,103869246.000000,1433919.000000,102435327.000000,103869246.000000,7620228.000000,-758036.000000,116947774.000000,426269039.000000,480000000.000000
