Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,872200848.000000,-844557497.000000,27643351.000000,-19584633.000000,-7722621.000000,-8255763.000000,-3606249.000000,-19584633.000000,8058718.000000,-1812804.000000,193243.000000,-2006047.000000,,,-1812804.000000,6245914.000000,-1609928.000000,-1645232.000000,35304.000000,,-1609928.000000,,4635986.000000,,,,4635986.000000,4635986.000000,4635986.000000,,4635986.000000,4635986.000000,4635986.000000,,4635986.000000
12M 2012,1309590939.000000,-1273284383.000000,36306556.000000,-19143823.000000,-8654291.000000,-12039350.000000,1549818.000000,-19143823.000000,17162733.000000,-2200378.000000,89878.000000,-2290256.000000,,,-2200378.000000,14962355.000000,-3955956.000000,-4030524.000000,74568.000000,,-3955956.000000,,11006399.000000,,,,11006399.000000,11006399.000000,11006399.000000,,11006399.000000,11006399.000000,11006399.000000,,11006399.000000
12M 2013,1318716014.000000,-1283775781.000000,34940233.000000,-14213080.000000,-7726274.000000,-10287244.000000,3800438.000000,-14213080.000000,20727153.000000,-4457314.000000,67914.000000,-4525228.000000,,,-4457314.000000,16269839.000000,-4232105.000000,-4350020.000000,117915.000000,,-4232105.000000,,12037734.000000,,,,12037734.000000,12037734.000000,12037734.000000,,12037734.000000,12037734.000000,12037734.000000,,12037734.000000
12M 2014,1243238928.000000,-1216968762.000000,26270166.000000,-12544748.000000,-4677505.000000,-9459962.000000,1592719.000000,-12544748.000000,13725418.000000,-3209788.000000,162401.000000,-3372189.000000,,,-3209788.000000,10515630.000000,-3395822.000000,,,,-3395822.000000,,7119808.000000,-1726.000000,-1726.000000,-1726.000000,7118082.000000,7119808.000000,7121788.000000,-1980.000000,7119808.000000,7118082.000000,7120666.000000,-2584.000000,7118082.000000
12M 2015,1006626552.000000,-975119273.000000,31507279.000000,-15059743.000000,-7374419.000000,-10419110.000000,2733786.000000,-15059743.000000,16447536.000000,-2494655.000000,81151.000000,-2573137.000000,,-2669.000000,-2494655.000000,13952881.000000,-3900704.000000,,,,-3900704.000000,,10052177.000000,-937914.000000,-937914.000000,-937914.000000,9114263.000000,10052177.000000,9987505.000000,64672.000000,10052177.000000,9114263.000000,9212859.000000,-98596.000000,9114263.000000
12M 2016,906028898.000000,-853710036.000000,52318862.000000,-22129192.000000,-7798216.000000,-15649711.000000,1318735.000000,-22129192.000000,30189670.000000,-2134883.000000,197730.000000,-2304285.000000,,-28328.000000,-2134883.000000,28054787.000000,-7338589.000000,-7212078.000000,,-126511.000000,-7338589.000000,,20716198.000000,340412.000000,340412.000000,340412.000000,21056610.000000,20716198.000000,20149825.000000,566373.000000,20716198.000000,21056610.000000,20409437.000000,647173.000000,21056610.000000
12M 2017,931768491.000000,-891226164.000000,40542327.000000,-17692724.000000,-8443829.000000,-15149173.000000,5900278.000000,-17692724.000000,22849603.000000,-2435588.000000,547267.000000,-2883458.000000,,-99397.000000,-2435588.000000,20414015.000000,-4444529.000000,-4227789.000000,,-216740.000000,-4444529.000000,,15969486.000000,-1070927.000000,-1070927.000000,-1070927.000000,14898559.000000,15969486.000000,15988998.000000,-19512.000000,15969486.000000,14898559.000000,15045849.000000,-147290.000000,14898559.000000
12M 2018,1022214489.000000,-977285885.000000,44928604.000000,-25079164.000000,-8468023.000000,-15474857.000000,-1136284.000000,-25079164.000000,19849440.000000,-3605279.000000,925199.000000,-4364091.000000,,-166387.000000,-3605279.000000,16244161.000000,-4301144.000000,-4172605.000000,,-128539.000000,-4301144.000000,,11943017.000000,-2039286.000000,,-2039286.000000,9903731.000000,11943017.000000,12355698.000000,-412681.000000,11943017.000000,9903731.000000,10826175.000000,-922444.000000,9903731.000000
12M 2019,1022192946.000000,-970159075.000000,52033871.000000,-29821064.000000,-9667807.000000,-17559931.000000,-2593326.000000,-29821064.000000,22212807.000000,-5337790.000000,996774.000000,-6135209.000000,,-199355.000000,-5337790.000000,16875017.000000,-5363459.000000,,,-168004.000000,-5363459.000000,,11343554.000000,1844462.000000,,1844462.000000,13188016.000000,11343554.000000,11203758.000000,139796.000000,11343554.000000,13188016.000000,12756886.000000,431130.000000,13188016.000000
12M 2020,989751556.000000,-931583745.000000,58167811.000000,-28229708.000000,-8739160.000000,-20110364.000000,619816.000000,-28229708.000000,29938103.000000,-4496108.000000,469851.000000,-4871989.000000,,-93970.000000,-4496108.000000,25441995.000000,-5750610.000000,,,-215150.000000,-5750610.000000,,19476235.000000,-975727.000000,,-975727.000000,18500508.000000,19476235.000000,19571108.000000,-94873.000000,19476235.000000,18500508.000000,18700397.000000,-199889.000000,18500508.000000
