Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,2.15,423.09,2.15,423.09,76 B,,76 B,35 B,146 B
12M 2011,4.11,487.04,4.11,487.04,513 B,,513 B,431 B,175 B
12M 2012,3.17,694.13,3.17,694.13,585 B,,585 B,495 B,275 B
12M 2013,1.68,1163.09,1.68,-0.00,167 B,100 B,267 B,127 B,573 B
12M 2014,1.35,1349.75,1.35,1349.75,329 B,18 B,347 B,191 B,345 B
12M 2015,0.92,1738.40,0.92,1735.77,510 B,274 B,784 B,505 B,444 B
12M 2016,1.81,2213.93,1.81,2210.79,524 B,444 B,968 B,473 B,737 B
12M 2017,0.92,2600.19,0.93,2589.87,472 B,331 B,803 B,258 B,733 B
12M 2018,1.32,3065.44,1.33,3057.43,"1,281 B",768 B,"2,049 B",499 B,"1,126 B"
12M 2019,1.20,3166.17,1.20,3161.05,714 B,611 B,"1,325 B",572 B,649 B
12M 2020,0.71,3689.05,0.71,3681.66,651 B,487 B,"1,138 B",249 B,779 B
12M 2021,1.77,4331.89,1.77,4324.51,"1,396 B",811 B,"2,207 B","1,251 B","1,356 B"
12M 2022,1.30,5196.67,1.30,5183.79,"1,324 B",764 B,"2,089 B","1,276 B","1,640 B"
12M 2023,1.01,5483.50,1.01,5474.69,"1,615 B",603 B,"2,219 B","1,240 B","1,435 B"
12M 2024,1.90,5600.89,1.90,5592.15,"1,283 B",744 B,"2,027 B",792 B,"1,407 B"
