Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Kas Lainnya Untuk Beban Operasi,Adjustment,Pembayaran Deviden,Pembayaran Untuk Pajak,Pembayaran Untuk Bunga Dan Biaya Bank,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Pembelian Aset Tetap,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Setoran Modal Penawaran Umum Perdana Saham,Pelaksanaan Waran,Penerimaan Agio Saham Sehubungan Dengan Pelaksanaan Waran,Agio Saham Dari Penawaran Umum Perdana Saham,Pembayaran Biaya Emisi Saham,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan/(Penurunan) Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Kas Dan Setara Kas Akhir Tahun
12M 2018,13854045378.000000,67188063600.000000,-28921937425.000000,-9240531159.000000,-9125549202.000000,,,-2322443451.000000,-3723556985.000000,13854045378.000000,-8799501535.000000,-9089779244.000000,,290277709.000000,-8799501535.000000,-4332923048.000000,609366063.000000,,-4942289111.000000,,,,,,,,,,,-4332923048.000000,721620795.000000,1693180263.000000,2414801058.000000
12M 2019,4035869355.000000,66855649857.000000,-34339516544.000000,-9792849451.000000,-13100294024.000000,,,-2366107492.000000,-3221012991.000000,4035869355.000000,-3036755253.000000,-3324956378.000000,,288201125.000000,-3036755253.000000,-1303401336.000000,2895406155.000000,,-3887551191.000000,,-311256300.000000,,,,,,,,,-1303401336.000000,-304287234.000000,2414801058.000000,2110513824.000000
12M 2020,3786085164.000000,71965612615.000000,-40562145199.000000,-9469228961.000000,-12132329161.000000,,,-2434518948.000000,-3581305182.000000,3786085164.000000,-2656547212.000000,-2988683912.000000,,332136700.000000,-2656547212.000000,-1460730532.000000,2709715124.000000,,-3419220764.000000,,-751224892.000000,,,,,,,,,-1460730532.000000,-331192580.000000,2110513824.000000,1779321244.000000
12M 2021,10224289640.000000,84579259143.000000,-39390900324.000000,-17246698962.000000,-12307272847.000000,,,-2642679460.000000,-2767417910.000000,10224289640.000000,-30741326552.000000,-31232083427.000000,,490756875.000000,-30741326552.000000,41836643517.000000,,,-3843207971.000000,,-61765659.000000,,,27840000000.000000,,,22272000000.000000,-4370382853.000000,,41836643517.000000,21319606605.000000,1779321245.000000,23098927850.000000
12M 2022,7822303211.000000,105005165923.000000,-50535202910.000000,-18602609962.000000,-21522952775.000000,,,-3070984010.000000,-3451113055.000000,7822303211.000000,-34854302159.000000,-35228789302.000000,,374487143.000000,-34854302159.000000,12236831882.000000,39020779536.000000,,-26479414040.000000,,,-655578474.000000,,,152628200.000000,198416660.000000,,,,12236831882.000000,-14795167066.000000,23098927850.000000,8303760784.000000
12M 2023,17242380672.000000,115384704523.000000,-60217312511.000000,-21720829819.000000,-9429152450.000000,-50.000000,,-3154998190.000000,-3620030831.000000,17242380672.000000,-19741248005.000000,-13029503808.000000,-6711744197.000000,,-19741248005.000000,-1052492601.000000,6473578847.000000,6687356643.000000,-9030898425.000000,-2153735108.000000,,-1384905135.000000,-249000000.000000,,,,,,-1394889423.000000,-1052492601.000000,-3551359934.000000,8303760784.000000,4752400850.000000
12M 2024,27397861011.000000,132828306163.000000,-63239947106.000000,-26320692692.000000,-9405753049.000000,,,-3417394804.000000,-3046657501.000000,27397861011.000000,-5908540242.000000,-6020239586.000000,-372828456.000000,484527800.000000,-5908540242.000000,-15818724452.000000,38772334334.000000,2150181616.000000,-47924130302.000000,-4469826190.000000,,-3324365000.000000,,,,,,,-1022918910.000000,-15818724452.000000,5670596317.000000,4752400850.000000,10422997167.000000
