Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pemasok, Karyawan Dan Pihak Ketiga",Pemasok Dan Pihak Ketiga,Karyawan,"Total Pemasok, Karyawan Dan Pihak Ketiga",Pembayaran Pajak,Penerimaan Restitusi Pajak,Penerimaan (Pembayaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Investasi Jangka Pendek Dan Aset Keuangan Lancar Lainnya,Penerimaan Bunga,Hasil Penjualan Aset Tetap,Pencairan Uang Muka Jaminan,Pembayaran Uang Muka Renovasi Gedung,Penyertaan Saham,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penempatan Investasi Jangka Pendek,Pencairan Uang Muka,Pembayaran Uang Muka Aset/Software,Penerimaan Atas Pendapatan Diterima Dimuka,Pencairan Obligasi,Pembelian Obligasi,Hasil Penjualan Properti Investasi,Penambahan Properti Investasi,Penerimaan Dari Penjualan Investasi,Pembayaran Uang Muka,Hasil Penjualan Investasi Efek Tersedia Untuk Dijual,Pembelian Investasi Efek Tersedia Untuk Dijual,Pendirian Entitas Anak Baru Kepentingan Non Pengendali,Pembayaran Atas Investasi Dana Pensiun,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari (Pembayaran Kepada) Utang Bank,Penerimaan Dari Non Pengendali,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Penerimaan Dari (Pembayaran Kepada) Piutang Pihak Berelasi,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Total Penerimaan Dari (Pembayaran Kepada) Piutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,15777836748.000000,1186964859710.000000,,-1168994449950.000000,,-1168994449950.000000,-2192573012.000000,,,15777836748.000000,-24104912831.000000,6179744275.000000,1495627583.000000,1135825001.000000,,,,-5027234804.000000,-8335724886.000000,-19553150000.000000,,,,,,,,,,,,,,-24104912831.000000,-4530166496.000000,,,,,,225889600.000000,-4756056096.000000,-4530166496.000000,-4530166496.000000,-12857242579.000000,64116685084.000000,1450467495.000000,52709910000.000000
12M 2009,7609177058.000000,1150146189585.000000,,-1141140952094.000000,,-1141140952094.000000,-1396060433.000000,,,7609177058.000000,4701637039.000000,11953043998.000000,1109711499.000000,500461475.000000,25102440.000000,,,-2879889393.000000,-5818792980.000000,-188000000.000000,,,,,,,,,,,,,,4701637039.000000,8472811804.000000,5949105918.000000,,,,,2687455546.000000,-163749660.000000,2523705886.000000,8472811804.000000,20783625901.000000,52709909999.000000,-5305694380.000000,68187841520.000000
12M 2010,-1021633081.000000,1190178589255.000000,-1190721454736.000000,,,-1190721454736.000000,-478767600.000000,,,-1021633081.000000,-9142870465.000000,6225656002.000000,862097022.000000,229850000.000000,,,,-10807163489.000000,,-5653310000.000000,,,,,,,,,,,,,,-9142870465.000000,-4512331250.000000,-3231838692.000000,,,,,,-1280492558.000000,-1280492558.000000,-4512331250.000000,-14676834796.000000,68187841522.000000,-887128324.000000,52623878402.000000
12M 2011,59616988343.000000,1439529895385.000000,-1375937133608.000000,,,-1375937133608.000000,-3975773434.000000,,,59616988343.000000,-7111417449.000000,5183800000.000000,2684317120.000000,178650000.000000,,,-204000000.000000,-4124762569.000000,-263582000.000000,-10565840000.000000,,,,,,,,,,,,,,-7111417449.000000,-5994023850.000000,-2717267226.000000,,,,,2156657185.000000,-5433413809.000000,-3276756624.000000,-5994023850.000000,46511547044.000000,52623878403.000000,1336224015.000000,100471649462.000000
12M 2012,28303447550.000000,1503163640545.000000,-1469241059469.000000,,,-1469241059469.000000,-5619133526.000000,,,28303447550.000000,11727882568.000000,12565840000.000000,2833013064.000000,1000000.000000,,,,-3369648076.000000,-126500000.000000,-175822420.000000,,,,,,,,,,,,,,11727882568.000000,-495342636.000000,,,,,,9696464767.000000,-10191807403.000000,-495342636.000000,-495342636.000000,39535987482.000000,100471649462.000000,1375392760.000000,141383029704.000000
12M 2013,66059555969.000000,1612623280501.000000,-1539045670955.000000,,,-1539045670955.000000,-7518053577.000000,,,66059555969.000000,-3406054752.000000,,3340781450.000000,414200000.000000,,,,-3210463622.000000,-10595000.000000,-939977580.000000,,,,,-3000000000.000000,,,,,,,,,-3406054752.000000,-733855680.000000,,,,,,2361066779.000000,-3094922459.000000,-733855680.000000,-733855680.000000,61919645537.000000,141383029704.000000,2540694142.000000,205843369383.000000
12M 2014,8291675776.000000,1762128211645.000000,-1743901051983.000000,,,-1743901051983.000000,-9938718755.000000,3234869.000000,,8291675776.000000,2966635812.000000,971211000.000000,7237438234.000000,1093001907.000000,,,,-27599480785.000000,-5329421187.000000,-960000000.000000,5657886643.000000,,,3000000000.000000,,18896000000.000000,,,,,,,,2966635812.000000,9765157763.000000,,10050000000.000000,,,,1299311053.000000,-1584153290.000000,-284842237.000000,9765157763.000000,21023469351.000000,205843369383.000000,1373072860.000000,228239911594.000000
12M 2015,37299853975.000000,1563747388446.000000,-1518078852013.000000,,,-1518078852013.000000,-8368682458.000000,,,37299853975.000000,-542829757.000000,5000000000.000000,8020931098.000000,819729135.000000,,,,-4990606104.000000,-3793843886.000000,-5599040000.000000,,,,,,,,,,,,,,-542829757.000000,-859881640.000000,,250000000.000000,,,,566032185.000000,-1675913825.000000,-1109881640.000000,-859881640.000000,35897142578.000000,228239911594.000000,3120600577.000000,267257654749.000000
12M 2016,-7085318500.000000,1550420617400.000000,-1547781361443.000000,,,-1547781361443.000000,-9724574457.000000,,,-7085318500.000000,10360977262.000000,4914000000.000000,8526955280.000000,372843091.000000,,,,-1657197509.000000,-2062725600.000000,-3742920000.000000,,,,,,,,4590000000.000000,,239258000.000000,-819236000.000000,,,10360977262.000000,,,,,,,,,,,3275658762.000000,267257654749.000000,722243987.000000,271255557498.000000
12M 2017,31654863615.000000,1857707797925.000000,-1818041062652.000000,,,-1818041062652.000000,-8011871658.000000,,,31654863615.000000,-3038726119.000000,,8664910968.000000,2900000.000000,,,,-9817596737.000000,-1506860350.000000,-382080000.000000,,,,,,,,,,,,,,-3038726119.000000,,,,,,,,,,,28616137496.000000,271255557498.000000,801586216.000000,300673281210.000000
12M 2018,28926514700.000000,2085249392382.000000,-2045199153149.000000,,,-2045199153149.000000,-11123724533.000000,,,28926514700.000000,-196244040.000000,,8913178754.000000,2261423636.000000,,,,-9731235855.000000,-1639610575.000000,,,,,,,,,,,,,,,-196244040.000000,,,,,,,,,,,28730270660.000000,300673281210.000000,2066607626.000000,331470159496.000000
12M 2019,71124158519.000000,2421111699394.000000,-2344788498118.000000,,,-2344788498118.000000,-5199042757.000000,,,71124158519.000000,7471734822.000000,,11004882232.000000,195500000.000000,,,,-3548647410.000000,-180000000.000000,,,,,,,,,,,,,,,7471734822.000000,,,,,,,,,,,78595893341.000000,331470159496.000000,-4387685029.000000,405678367808.000000
12M 2020,97798085539.000000,746602237938.000000,-643342377338.000000,,,-643342377338.000000,-5461775061.000000,,,97798085539.000000,16110519166.000000,,18404127129.000000,736699976.000000,,,,-1724457940.000000,-1305849999.000000,,,,,,,,,,,,,,,16110519166.000000,-18346739398.000000,,,-685700398.000000,-17661039000.000000,,,,,-18346739398.000000,95561865307.000000,405678367807.000000,1268698987.000000,502508932101.000000
12M 2021,-36913624651.000000,449449543516.000000,-487164717103.000000,,,-487164717103.000000,-50404403.000000,851953339.000000,,-36913624651.000000,12764107907.000000,,15017326167.000000,650400000.000000,,,,-155306100.000000,-2748312160.000000,,,,,,,,,,,,,,,12764107907.000000,-9501892560.000000,,,-671373060.000000,-8830519500.000000,,,,,-9501892560.000000,-33651409304.000000,502508932101.000000,230910726.000000,469088433523.000000
12M 2022,-9592315101.000000,1704708581307.000000,-1712576706896.000000,,,-1712576706896.000000,-2019746421.000000,295556909.000000,,-9592315101.000000,2737772387.000000,,11299460583.000000,318000000.000000,,,,-8879688196.000000,,,,,,,,,,,,,,,,2737772387.000000,-9508637147.000000,,,-678117647.000000,-8830519500.000000,,,,,-9508637147.000000,-16363179861.000000,469088433523.000000,4706891975.000000,457432145637.000000
12M 2023,89498971034.000000,2193318599576.000000,-2097437308952.000000,,,-2097437308952.000000,-6382319590.000000,,,89498971034.000000,10407273505.000000,,16323239441.000000,461910000.000000,,,,-5310464940.000000,-1067410996.000000,,,,,,,,,,,,,,,10407273505.000000,-18051439705.000000,,,-390400705.000000,-17661039000.000000,,,,,-18051439705.000000,81854804834.000000,457432145637.000000,-809138082.000000,538477812389.000000
12M 2024,154772350778.000000,2662996484742.000000,-2493146645544.000000,,,-2493146645544.000000,-15077488420.000000,,,154772350778.000000,6518402333.000000,,21394162866.000000,564635000.000000,,,,-5703222378.000000,-9737173155.000000,,,,,,,,,,,,,,,6518402333.000000,-26491558500.000000,,,,-26491558500.000000,,,,,-26491558500.000000,134799194611.000000,538477812389.000000,534394984.000000,673811401984.000000
