Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Pajak,Utang Lain-Lain,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Utang Dari Pihak Ketiga,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,52709909999.000000,19553150000.000000,81011580869.000000,4502063406.000000,18267035026.000000,176043739300.000000,,9808253700.000000,1954335650.000000,,15505504348.000000,9879540889.000000,37147634587.000000,213191373887.000000,,,118888429997.000000,,78309157563.000000,2253338211.000000,,417123214.000000,,,,37908811009.000000,118888429997.000000,3010899832.000000,,,,221976636.000000,,22044055.000000,2766879141.000000,3010899832.000000,121899329829.000000,,176610390000.000000,-85318628188.000000,51583000.000000,-85370211188.000000,-85318628188.000000,282248.000000,,91292044060.000000,213191373889.000000,353220780.000000
12M 2009,,,68187841522.000000,7788106002.000000,64346206563.000000,4243390178.000000,27612043677.000000,172177587942.000000,,7284547814.000000,1525987331.000000,,16117722751.000000,7220085686.000000,32148343582.000000,204325931524.000000,,,110950513205.000000,5949105918.000000,70666171979.000000,1370596378.000000,,263834418.000000,,,,32700804512.000000,110950513205.000000,4033604579.000000,,,,220976636.000000,,12834030.000000,3799793913.000000,4033604579.000000,114984117784.000000,,176610390000.000000,-84906736259.000000,51583000.000000,-84958319259.000000,-84906736259.000000,,-2361840000.000000,89341813741.000000,204325931525.000000,353220780.000000
12M 2010,,,52623878403.000000,7215760000.000000,80024036996.000000,2407860539.000000,20149813033.000000,162421348971.000000,,8565040372.000000,1557102885.000000,20338811412.000000,18145990732.000000,7452550857.000000,56059496258.000000,218480845229.000000,,,117054691473.000000,2717267226.000000,78784901706.000000,3797455255.000000,,270678101.000000,,,,31484389185.000000,117054691473.000000,4031672317.000000,,,,220976636.000000,,9544986.000000,3801150695.000000,4031672317.000000,121086363790.000000,,176610390000.000000,-77444528562.000000,51583000.000000,-77496111562.000000,-77444528562.000000,,-1771380000.000000,97394481438.000000,218480845228.000000,353220780.000000
12M 2011,,,100471649462.000000,12781600000.000000,68806965556.000000,4985099119.000000,9605328462.000000,196650642599.000000,,1230346000.000000,1776578829.000000,20286752884.000000,21679833238.000000,14771428249.000000,59744939200.000000,256395581799.000000,,,133230071482.000000,,95014857622.000000,3845614431.000000,,279105795.000000,,,,34090493634.000000,133230071482.000000,6312847856.000000,,,,221976636.000000,,9544986.000000,6081326234.000000,6312847856.000000,139542919338.000000,,176610390000.000000,-65120587341.000000,51583000.000000,-65172170341.000000,-65120587341.000000,-148100199.000000,5510960000.000000,116852662460.000000,256395581798.000000,353220780.000000
12M 2012,,,141383029704.000000,,95778753097.000000,,22123763030.000000,259285545831.000000,,1503712000.000000,1186251654.000000,19567272980.000000,21135795427.000000,43897339039.000000,87290371100.000000,346575916931.000000,,,175776304263.000000,,129398801016.000000,3658899320.000000,,486178599.000000,,,,42232425328.000000,175776304263.000000,6134991402.000000,,,,,,416996.000000,6134574406.000000,6134991402.000000,181911295665.000000,,176610390000.000000,-48412237852.000000,51583000.000000,-48463820852.000000,-48412237852.000000,1629329117.000000,34837140000.000000,164664621265.000000,346575916930.000000,353220780.000000
12M 2013,,,205843369383.000000,,89752080379.000000,,33568615542.000000,329164065304.000000,,639789000.000000,953037706.000000,19547793072.000000,20548433354.000000,82828245398.000000,124517298530.000000,453681363834.000000,,,227948097124.000000,,166659320453.000000,4852825252.000000,,712732399.000000,,,,55723219020.000000,227948097124.000000,3946163455.000000,,,,,,,3946163455.000000,3946163455.000000,231894260579.000000,,176610390000.000000,-27961225836.000000,51583000.000000,-28012808836.000000,-27961225836.000000,2282739090.000000,70855200000.000000,221787103254.000000,453681363833.000000,353220780.000000
12M 2014,,,228239911594.000000,,109241041395.000000,,38362488617.000000,375843441606.000000,,200000000.000000,1479473142.000000,13789931776.000000,46782177774.000000,113288167471.000000,175539750163.000000,551383191769.000000,,,245843065459.000000,,177164053290.000000,6168587345.000000,,915044790.000000,,,,61595380034.000000,245843065459.000000,10706949555.000000,,,,,6600000000.000000,,4106949555.000000,10706949555.000000,256550015014.000000,,176610390000.000000,9712989643.000000,51583000.000000,9661406643.000000,9712989643.000000,4195197112.000000,104314600000.000000,294833176755.000000,551383191769.000000,353220780.000000
12M 2015,,,267257654749.000000,,96485793230.000000,,42429742898.000000,406173190877.000000,,25000000.000000,4800198281.000000,13396201959.000000,51669575722.000000,168460584765.000000,238351560727.000000,644524751604.000000,,,253657195508.000000,,184194733033.000000,4924684630.000000,,1303950954.000000,,,,63233826891.000000,253657195508.000000,15118844428.000000,,,,,3600000000.000000,,11518844428.000000,15118844428.000000,268776039936.000000,,176610390000.000000,31713216068.000000,51583000.000000,31661633068.000000,31713216068.000000,8000905600.000000,159424200000.000000,375748711668.000000,644524751604.000000,353220780.000000
12M 2016,,,271255557498.000000,,136662883599.000000,,41109211696.000000,449027652793.000000,,,4494141609.000000,13002472143.000000,42492634025.000000,145065146684.000000,205054394461.000000,654082047254.000000,,,264664055839.000000,,188701104138.000000,4081835891.000000,,2131944433.000000,,,,69749171377.000000,264664055839.000000,16181598230.000000,,,,,3600000000.000000,930297.000000,12580667933.000000,16181598230.000000,280845654069.000000,,176610390000.000000,58243253469.000000,51583000.000000,58191670469.000000,58243253469.000000,3364633714.000000,135018116002.000000,373236393185.000000,654082047254.000000,353220780.000000
12M 2017,,,300673281210.000000,,190337460861.000000,,60272134448.000000,551282876519.000000,,,5302598961.000000,6966542327.000000,48400193418.000000,147557800271.000000,208227134977.000000,759510011496.000000,,,321795178623.000000,,208729342076.000000,6427380101.000000,,2132040300.000000,,,,104506416146.000000,321795178623.000000,32243346803.000000,,,,,3600000000.000000,5170363.000000,28638176440.000000,32243346803.000000,354038525426.000000,,176610390000.000000,91232888692.000000,51583000.000000,91181305692.000000,91232888692.000000,4612529376.000000,133015678002.000000,405471486070.000000,759510011496.000000,353220780.000000
