Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.26,258.46,0.26,258.46,,0 B,0 B,(52 B),57 B
12M 2009,0.59,252.93,0.59,252.93,6 B,0 B,6 B,(62 B),61 B
12M 2010,0.98,275.73,0.98,275.73,3 B,0 B,3 B,(50 B),45 B
12M 2011,0.77,331.24,0.77,331.24,,0 B,0 B,(100 B),63 B
12M 2012,0.76,461.57,0.76,461.57,,,,(141 B),84 B
12M 2013,0.64,621.44,0.64,621.44,,,,(206 B),101 B
12M 2014,1.21,822.82,1.21,822.82,,7 B,7 B,(222 B),130 B
12M 2015,1.20,1041.13,1.20,1041.13,,4 B,4 B,(264 B),153 B
12M 2016,0.86,1047.14,0.86,1047.14,,4 B,4 B,(268 B),184 B
12M 2017,1.23,1134.87,1.23,1134.87,,4 B,4 B,(297 B),229 B
12M 2018,1.54,1255.47,1.54,1255.47,,4 B,4 B,(328 B),268 B
12M 2019,0.96,1227.93,0.96,1227.93,,4 B,4 B,(402 B),310 B
12M 2020,1.00,1116.76,1.00,1116.76,,4 B,4 B,(499 B),283 B
12M 2021,0.88,1281.27,0.88,1281.27,,4 B,4 B,(465 B),274 B
12M 2022,0.85,1171.01,0.85,1171.01,,4 B,4 B,(454 B),301 B
12M 2023,1.17,1272.66,1.17,1272.66,,4 B,4 B,(535 B),356 B
12M 2024,0.99,1388.09,0.99,1388.09,,4 B,4 B,(670 B),447 B
