Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1188807045061.000000,-1139215844063.000000,49591200998.000000,-43848021935.000000,-2979622393.000000,-40868399542.000000,-43848021935.000000,5743179063.000000,3163490548.000000,,-108643754.000000,1495627583.000000,704025018.000000,1450467495.000000,-377985794.000000,3163490548.000000,8906669611.000000,-2821661823.000000,-3046518400.000000,224856577.000000,,-2821661823.000000,6085007788.000000,-1283248.000000,6083724540.000000,,,6083724540.000000,6085007788.000000,-1283248.000000,6083724540.000000,,,,
12M 2009,1140656078412.000000,-1091095202672.000000,49560875740.000000,-45183392583.000000,-2735887119.000000,-42447505464.000000,-45183392583.000000,4377483157.000000,-3031257694.000000,,,1112891892.000000,398566572.000000,-5305444171.000000,762728013.000000,-3031257694.000000,1346225463.000000,-934333534.000000,-515195240.000000,-419138294.000000,,-934333534.000000,411891929.000000,,411891929.000000,,,411891929.000000,411891929.000000,,411891929.000000,,,,
12M 2010,1205856419688.000000,-1149808689387.000000,56047730301.000000,-46775679687.000000,-2378450809.000000,-44397228878.000000,-46775679687.000000,9272050614.000000,561231736.000000,,,1155319683.000000,229850000.000000,-887128324.000000,63190377.000000,561231736.000000,9833282350.000000,-2371074653.000000,-2405479250.000000,34404597.000000,,-2371074653.000000,7462207697.000000,,7462207697.000000,,,7462207697.000000,7462207697.000000,,7462207697.000000,,,,
12M 2011,1385287977562.000000,-1323100351994.000000,62187625568.000000,-51174306324.000000,-4250948526.000000,-46923357798.000000,-51174306324.000000,11013319244.000000,4844405477.000000,,222353345.000000,2618177988.000000,178650000.000000,1330619526.000000,494604618.000000,4844405477.000000,15857724721.000000,-3681883698.000000,-3885500000.000000,203616302.000000,,-3681883698.000000,12175841023.000000,,12175841023.000000,7282340000.000000,19458181023.000000,12175841022.000000,12323941221.000000,-148100199.000000,12175841022.000000,19458181022.000000,19606281221.000000,-148100199.000000,19458181022.000000
12M 2012,1528573317036.000000,-1452590988683.000000,75982328353.000000,-59376437919.000000,,,-59376437919.000000,16605890434.000000,5526220556.000000,-88205512.000000,,,,,5614426068.000000,5526220556.000000,22132110990.000000,-5606332184.000000,,,,-5606332184.000000,16525778806.000000,,16525778806.000000,29326180000.000000,45851958806.000000,16525778806.000000,16708349490.000000,-182570684.000000,16525778806.000000,45851958806.000000,46034529490.000000,-182570684.000000,45851958806.000000
12M 2013,1606656067722.000000,-1518803565363.000000,87852502359.000000,-68440857777.000000,,,-68440857777.000000,19411644582.000000,7887521109.000000,-102964285.000000,,,,,7990485394.000000,7887521109.000000,27299165691.000000,-6194743702.000000,,,,-6194743702.000000,,,21104421989.000000,36018060000.000000,57122481989.000000,21104421989.000000,20451012016.000000,653409973.000000,21104421989.000000,57122481989.000000,56469072016.000000,653409973.000000,57122481989.000000
12M 2014,1640106711327.000000,-1537030367336.000000,103076343991.000000,-80446174419.000000,,,-80446174419.000000,22630169572.000000,23308726412.000000,-128105359.000000,,,,,23436831771.000000,23308726412.000000,45938895984.000000,-7352222483.000000,,,,-7352222483.000000,,,38586673501.000000,33459400000.000000,72046073501.000000,38586673501.000000,37674215479.000000,912458022.000000,38586673501.000000,72046073501.000000,71133615479.000000,912458022.000000,72046073501.000000
12M 2015,1572653456481.000000,-1462697546190.000000,109955910291.000000,-87647139683.000000,,,-87647139683.000000,22308770608.000000,10399790574.000000,-160503775.000000,,,,,10560294349.000000,10399790574.000000,32708561182.000000,-6570934251.000000,-6507823083.000000,,-63111168.000000,-6570934251.000000,,,26137626931.000000,54321476107.000000,80459103038.000000,26137626931.000000,28106892523.000000,-1969265592.000000,26137626931.000000,80459103038.000000,82368954262.000000,-1909851224.000000,80459103038.000000
12M 2016,1607301089020.000000,-1501081364595.000000,106219724425.000000,-82955520782.000000,,,-82955520782.000000,23264203643.000000,10696901849.000000,-170380127.000000,,,,,10867281976.000000,10696901849.000000,33961105492.000000,-6751500976.000000,-6740203930.000000,,-11297046.000000,-6751500976.000000,,,27209604516.000000,-24764440757.000000,2445163759.000000,27209604516.000000,27260024644.000000,-50420128.000000,27209604516.000000,2445163759.000000,2506447401.000000,-61283642.000000,2445163759.000000
12M 2017,1859219558063.000000,-1724612952702.000000,134606605361.000000,-94582340791.000000,,,-94582340791.000000,40024264570.000000,2489624122.000000,-1208659753.000000,,,,,3698283875.000000,2489624122.000000,42513888692.000000,-9568286281.000000,-9551170596.000000,,-17115685.000000,-9568286281.000000,,,32945602411.000000,-2180509526.000000,30765092885.000000,32945602411.000000,33169457283.000000,-223854872.000000,32945602411.000000,30765092885.000000,30987197223.000000,-222104338.000000,30765092885.000000
