Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Utang Pajak,Simpanan Nasabah,Simpanan Dari Bank Lain,Liabilitas Akseptasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,161184374403.000000,510715872397.000000,191917679984.000000,6172769932198.000000,412887062278.000000,3294805299.000000,,3135181100382.000000,10587950826941.000000,,,13241272524.000000,12022243434.000000,7769786766816.000000,9974255106.000000,,,101152479826.000000,7906177017706.000000,,818018000000.000000,1610215214964.000000,163603600000.000000,1446611614964.000000,1610215214964.000000,253540594271.000000,2681773809235.000000,10587950826941.000000,4090090000.000000
12M 2017,,128024618049.000000,547725187355.000000,339058015834.000000,6648063484086.000000,463125169774.000000,4716253693.000000,,3687131727565.000000,11817844456356.000000,,,13665680983.000000,22723753313.000000,8373301489120.000000,6921771604.000000,175402797233.000000,,143678337333.000000,8735693829586.000000,,818018000000.000000,1759630857488.000000,163603600000.000000,1596027257488.000000,1759630857488.000000,504501769282.000000,3082150626770.000000,11817844456356.000000,4090090000.000000
12M 2018,,194344022757.000000,554742409639.000000,496654521926.000000,7118535582023.000000,470415776572.000000,5400572519.000000,46262114115.000000,3206724369383.000000,12093079368934.000000,,,15651310249.000000,23968708646.000000,8368784486382.000000,9123126845.000000,134543234500.000000,,452995416851.000000,9005066283473.000000,,818018000000.000000,2033569760577.000000,163603600000.000000,1869966160577.000000,2033569760577.000000,236425324884.000000,3088013085461.000000,12093079368934.000000,4090090000.000000
12M 2019,,283657764841.000000,526187039258.000000,185027464370.000000,115957135170.000000,492662820097.000000,9774888856.000000,8260173898.000000,11278691488773.000000,12900218775263.000000,,,13941950877.000000,19516780145.000000,8871009275656.000000,52030326876.000000,115957135170.000000,,347294185083.000000,9419749653807.000000,,818018000000.000000,2281082323906.000000,163603600000.000000,2117478723906.000000,2281082323906.000000,381368797550.000000,3480469121456.000000,12900218775263.000000,4090090000.000000
12M 2020,,222586426589.000000,306565985917.000000,99971760758.000000,7041997767384.000000,479822488029.000000,7292696769.000000,,6001518107087.000000,14159755232533.000000,,,15593198085.000000,26075601309.000000,9895218981306.000000,5273418109.000000,1444356440.000000,71880265863.000000,135006785882.000000,10150492606994.000000,,818018000000.000000,2580255113852.000000,163603600000.000000,2416651513852.000000,2580255113852.000000,610989511687.000000,4009262625539.000000,14159755232533.000000,4090090000.000000
12M 2021,,180210560444.000000,684803123979.000000,50992209821.000000,7794367992285.000000,489617918458.000000,5616864535.000000,,6777543631718.000000,15983152301240.000000,,,11003391042.000000,22667653217.000000,11171473843411.000000,176054060437.000000,14053812018.000000,41960669110.000000,256118747325.000000,11693332176560.000000,,818018000000.000000,2979872118053.000000,163603600000.000000,2816268518053.000000,2979872118053.000000,491930006627.000000,4289820124680.000000,15983152301240.000000,4090090000.000000
12M 2022,,217029241010.000000,1026268013626.000000,55492679015.000000,8679741866184.000000,522763224627.000000,10484447334.000000,1222264018.000000,6070989191717.000000,16583990927531.000000,,,11179954136.000000,19702988298.000000,10931452030760.000000,109116374612.000000,46240394084.000000,,914001232232.000000,12031692974122.000000,,818018000000.000000,3365008623190.000000,163603600000.000000,3201405023190.000000,3365008623190.000000,369271330219.000000,4552297953409.000000,16583990927531.000000,4090090000.000000
12M 2023,,165845246577.000000,154655829870.000000,799908158481.000000,9240952868207.000000,561736419128.000000,16478799349.000000,,5115246284151.000000,16054823605763.000000,,,12282400345.000000,22000000987.000000,10849797009453.000000,13414759887.000000,82442582189.000000,19005014030.000000,152227594179.000000,11151169361070.000000,,818018000000.000000,3644137244409.000000,163603600000.000000,3480533644409.000000,3644137244409.000000,441499000284.000000,4903654244693.000000,16054823605763.000000,4090090000.000000
12M 2024,,225009999223.000000,448471460904.000000,363477183672.000000,10684715612537.000000,566903112567.000000,12727360285.000000,6045065507.000000,4270611035091.000000,16577960829786.000000,,,12127905554.000000,17973729460.000000,10290772193426.000000,53619637718.000000,,,1115120170293.000000,11489613636451.000000,,818018000000.000000,3909518780671.000000,163603600000.000000,3745915180671.000000,3909518780671.000000,360810412664.000000,5088347193335.000000,16577960829786.000000,4090090000.000000
