Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Direksi Dan Karyawan,Pembayaran Beban Lain - Lain,Pendapatan Bunga,Pembayaran Bunga Pinjaman,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Aset Kerja Sama Operasi,Penambahan Tanah Untuk Dikembangkan,Investasi Pada Anak Perusahaan,Penjualan Saham Entitas Anak,Aset Keuangan Lainnya,Perolehan Aset Tetap,Penambahan Properti Investasi,Pengeluaran Investasi Lainnya,Investasi Ventura Bersama,Pengurangan Investasi Ventura Bersama,Penambahan Penyertaan Saham,Pelepasan Penyertaan Saham,Pendapatan Bunga,Penambahan Aset Lancar Lainnya,Penambahan Aset Takberwujud,Pembayaran Uang Muka Aset Kerjasama Operasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Bank Jangka Panjang,Kenaikan (Penurunan) Pinjaman Induk,Pembayaran Dividen,Penerimaan (Pembayaran) Pinjaman Entitas Asosiasi,Setoran Modal,Penerimaan Dari Emisi Saham,Pembayaran Biayan Emisi Saham,Pembayaran Bunga Pinjaman,Penambahan Setoran Modal Pada Anak Perusahaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,-228315163086.000000,1544414465656.000000,-1694794117966.000000,-28143413608.000000,-455745000.000000,3971917462.000000,-10277436306.000000,-43030833324.000000,-228315163086.000000,-221644655717.000000,-7589445438.000000,-101233961711.000000,,,,-17648512000.000000,,,-95172736568.000000,,,,,,,,-221644655717.000000,485557891181.000000,318000000000.000000,-64817562599.000000,,14793451537.000000,-32417997757.000000,,250000000000.000000,,,,,485557891181.000000,35598072378.000000,103764605766.000000,,139362678144.000000
12M 2017,636505099056.000000,3551143587964.000000,-2763465164776.000000,-63736014626.000000,-195300000.000000,9506886378.000000,-15367939944.000000,-81380955940.000000,636505099056.000000,-59446589479.000000,-34916334220.000000,-335471340.000000,,,,-32333083260.000000,,,8138299341.000000,,,,,,,,-59446589479.000000,982314268118.000000,629881296251.000000,-438964893723.000000,,,-42967946050.000000,,,832880000000.000000,-23014188360.000000,,24500000000.000000,982314268118.000000,1559372777695.000000,139362678142.000000,,1698735455837.000000
12M 2018,878803163131.000000,4777031956539.000000,-3572563767191.000000,-96264791123.000000,-1906247631.000000,41898393790.000000,-422206679.000000,-268970174574.000000,878803163131.000000,-134174999192.000000,-72974001111.000000,-281200000.000000,,,-687000000.000000,-41410417000.000000,,,-17588521322.000000,,,,,,,-1233859759.000000,-134174999192.000000,-678548917198.000000,,-613423524679.000000,,-8751830038.000000,-56570520000.000000,,,196957519.000000,,,,-678548917198.000000,66079246741.000000,1698735455837.000000,1094077353.000000,1765908779931.000000
12M 2019,139274396623.000000,4350432163571.000000,-4117123777927.000000,-70475502308.000000,-3574843415.000000,27146552691.000000,-18608228901.000000,-28521967088.000000,139274396623.000000,-493459531403.000000,-14182087035.000000,,,,-125000000000.000000,-83889447204.000000,,-204366195817.000000,-211780815219.000000,145759013872.000000,,,,,,,-493459531403.000000,45170046027.000000,379300000000.000000,-202454684623.000000,,1605258650.000000,-133280528000.000000,,,,,,,45170046027.000000,-309015088753.000000,1765908779931.000000,-680182962.000000,1456213508216.000000
12M 2020,101478790125.000000,3287367130737.000000,-2825669660577.000000,-58678803488.000000,-2016545577.000000,22987240209.000000,-26119379748.000000,-296391191431.000000,101478790125.000000,-275470144102.000000,-158042238936.000000,,,,-757575758.000000,-5515506101.000000,-5644579334.000000,10000000000.000000,-135553497133.000000,20043253160.000000,,,,,,,-275470144102.000000,225420131509.000000,865215046886.000000,-526845315377.000000,,,-112949600000.000000,,,,,,,225420131509.000000,51428777532.000000,1456213508216.000000,357175070.000000,1507999460818.000000
12M 2021,103325707566.000000,3190933800003.000000,-2930421021618.000000,-52585886754.000000,-5169015493.000000,,,-99432168572.000000,103325707566.000000,-97362332345.000000,-155775011892.000000,,,,-150000000.000000,-7013881982.000000,-267208912.000000,,-43196277121.000000,79533020906.000000,,,29507026656.000000,,,,-97362332345.000000,-46336037193.000000,1079186113280.000000,-1056263981386.000000,-2812200000.000000,21086436565.000000,-30726120000.000000,,,,,-56806285652.000000,,-46336037193.000000,-40372661972.000000,1507999460818.000000,247332196.000000,1467874131042.000000
12M 2022,-597870549197.000000,2931947867564.000000,-3432974558792.000000,-66430261557.000000,-2769223296.000000,,,-27644373116.000000,-597870549197.000000,81287794672.000000,,,,2700000000.000000,,-9221123428.000000,,-662325751.000000,-15019665917.000000,83621421146.000000,,,19869488622.000000,,,,81287794672.000000,-36403250856.000000,1291400808000.000000,-1220537986780.000000,-5155700000.000000,-2864756765.000000,-42786840000.000000,,,,,-56458775311.000000,,-36403250856.000000,-552986005381.000000,1467874131042.000000,1455660801.000000,916343786462.000000
12M 2023,567737501739.000000,3806752913466.000000,-3074324066846.000000,-71130491661.000000,-1699654400.000000,,,-91861198820.000000,567737501739.000000,18083093325.000000,,,,,,-15680029859.000000,,611878055.000000,-32042728639.000000,51304037443.000000,,,13889936325.000000,,,,18083093325.000000,-464953285099.000000,362500000000.000000,-733000000000.000000,-7030500000.000000,2144497475.000000,-23164240000.000000,,,,,-66403042574.000000,,-464953285099.000000,120867309965.000000,916343786462.000000,-782061194.000000,1036429035233.000000
12M 2024,-256579676507.000000,3438249913161.000000,-3357436333564.000000,-114423879780.000000,,,,-222969376324.000000,-256579676507.000000,71036938771.000000,,,,,,-2587808524.000000,,662959464.000000,-13525941367.000000,78441800867.000000,,,11066906027.000000,,-3020977696.000000,,71036938771.000000,179755009015.000000,463186818225.000000,-220686818225.000000,-8938000000.000000,1828139889.000000,-9380560000.000000,-18000000000.000000,,,,-28254570874.000000,,179755009015.000000,-5787728721.000000,1036429035233.000000,90855447.000000,1030732161959.000000
