Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,2701284737.000000,-1923168840.000000,778115897.000000,-617090189.000000,,-617090189.000000,-617090189.000000,161025708.000000,-26730493.000000,,,-26730493.000000,-26730493.000000,134295215.000000,-16403057.000000,-21516440.000000,5113383.000000,-16403057.000000,117892158.000000,-17732823.000000,,-17732823.000000,100159335.000000,117892158.000000,117892158.000000,,117892158.000000,100159335.000000,100159335.000000,,100159335.000000
12M 2021,3948020351.000000,-2698489016.000000,1249531335.000000,-932746138.000000,,-932746138.000000,-932746138.000000,316785197.000000,2327411.000000,,,2327411.000000,2327411.000000,319112608.000000,-45537756.000000,-37352810.000000,-8184946.000000,-45537756.000000,273574852.000000,8895819.000000,,8895819.000000,282470671.000000,273574854.000000,273574854.000000,,273574854.000000,282470673.000000,282470673.000000,,282470673.000000
12M 2022,7514581488.000000,-4473455433.000000,3041126055.000000,-3457814033.000000,-573774419.000000,-2884039614.000000,-3457814033.000000,-416687978.000000,-729453349.000000,19732103.000000,-757509618.000000,8324166.000000,-729453349.000000,-1146141327.000000,72277584.000000,-48953991.000000,121231575.000000,72277584.000000,-1073863743.000000,-5737327.000000,-5737327.000000,-5737327.000000,-1079601070.000000,-1073863743.000000,-1073863743.000000,,-1073863743.000000,-1079601070.000000,-1079601070.000000,,-1079601070.000000
12M 2023,16960809889.000000,-9618176139.000000,7342633750.000000,-5373385134.000000,-1226512039.000000,-4146873095.000000,-5373385134.000000,1969248616.000000,-977339550.000000,103552.000000,-838431917.000000,-139011185.000000,-977339550.000000,991909066.000000,-520714336.000000,-264963775.000000,-255750561.000000,-520714336.000000,471194730.000000,-4073893.000000,-4073893.000000,-4073893.000000,467120837.000000,471194730.000000,471194730.000000,,471194730.000000,467120837.000000,467120837.000000,,467120837.000000
12M 2024,19113702394.000000,-13118955997.000000,5994746397.000000,-5698266913.000000,-1699511472.000000,-3998755441.000000,-5698266913.000000,296479484.000000,-945053606.000000,12909.000000,-802653068.000000,-142413447.000000,-945053606.000000,-648574122.000000,116721593.000000,,116721593.000000,116721593.000000,-531852529.000000,52175030.000000,52175030.000000,52175030.000000,-479677499.000000,-531852529.000000,-531852529.000000,,-531852529.000000,-479677499.000000,-479677499.000000,,-479677499.000000
