Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Beban Usaha Dan Lainnya,Pembayaran Kas Untuk Karyawan,Penerimaan Pendapatan Keuangan,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Uang Muka Konstruksi,Penempatan Uang Muka Mesin,Pengembalian Uang Muka Pembelian Mesin,Perolehan Aset Tetap,Penempatan Uang Muka Aset Tetap,Penempatan Uang Muka Pendaftaran Merk,Penerimaan Dari Penjualan Aset Tetap,Pembayaran Jaminan Yang Dapat Dikembalikan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham Dan Tambahan Modal Disetor Melalui Penawaran Umum Perdana,Penerimaan Dari Penjualan Aset Tetap Melalui Jual Dan Sewa Balik,Pembayaran Dari Utang Lembaga Keuangan Lainnya,Penerimaan Dari Utang Lembaga Keuangan Lainnya,Kenaikan Tambahan Modal Disetor Melalui Pelaksanaan Waran,Kenaikan Modal Disetor Melalui Pelaksanaan Waran,Penambahan Modal Saham,Pembayaran Liabilitas Sewa,Pembayaran Pinjaman Bank,Biaya Emisi Saham,Pembayaran Utang Pembiayaan Konsumen,Penambahan Utang Pembiayaan Konsumen,Pembayaran Biaya Emisi Saham,Penambahan Utang Pemegang Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,60946532.000000,2833619748.000000,-2107382965.000000,-179967485.000000,-466886142.000000,,,-18436624.000000,,60946532.000000,104154522.000000,,,,,,,104154522.000000,,104154522.000000,-12803509.000000,,,,,,,,,,,-93101109.000000,80297600.000000,,,-12803509.000000,152297545.000000,87280796.000000,239578341.000000
12M 2021,-2775964361.000000,3373099130.000000,-4376565054.000000,-839346381.000000,-912262392.000000,,,-20889664.000000,,-2775964361.000000,-6351458656.000000,-2778599359.000000,-2741523392.000000,,-790310264.000000,,-41025641.000000,,,-6351458656.000000,8991113069.000000,,,,,,,10000000000.000000,-1000000000.000000,,,-34382910.000000,25495979.000000,,,8991113069.000000,-136309948.000000,239578341.000000,103268393.000000
12M 2022,-8866868058.000000,6389551700.000000,-11091494854.000000,-1833904350.000000,-2279215183.000000,19732103.000000,-18364712.000000,-53172762.000000,,-8866868058.000000,-14611624414.000000,,,,-14611624414.000000,,,,,-14611624414.000000,23508441951.000000,23000000000.000000,,,,,,3750000000.000000,,,,-53758049.000000,,-3187800000.000000,,23508441951.000000,29949479.000000,103268393.000000,133217872.000000
12M 2023,-274806619.000000,16059441566.000000,-9519908142.000000,-2147699805.000000,-3796079301.000000,103552.000000,-838431917.000000,-32232572.000000,,-274806619.000000,1783564097.000000,,,2279428417.000000,-263364320.000000,-232500000.000000,,,,1783564097.000000,-1578323709.000000,,,,400000000.000000,2729700.000000,303300.000000,,-1771786496.000000,,,-209570213.000000,,,,-1578323709.000000,-69566231.000000,133217872.000000,63651641.000000
12M 2024,2565288992.000000,21068606990.000000,-13062325948.000000,-2072217277.000000,-3269446938.000000,12909.000000,-68115151.000000,-31225593.000000,,2565288992.000000,-2000000000.000000,,,,,-2000000000.000000,,,,-2000000000.000000,-584747014.000000,,92450640.000000,-421000000.000000,,,,,-26455518.000000,,,-229742136.000000,,,,-584747014.000000,-19458022.000000,63651641.000000,44193619.000000
