Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Aset Dalam Pelaksanaan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Pemegang Saham,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Saham Beredar
12M 2020,,,239578341.000000,258333446.000000,258333446.000000,258333446.000000,,451816041.000000,122125925.000000,1071853753.000000,,119117582.000000,10114949.000000,,,129232531.000000,1201086284.000000,,,508552115.000000,329955296.000000,,3235886.000000,84305487.000000,,42770000.000000,,,42770000.000000,48285446.000000,508552115.000000,92037038.000000,,,46060000.000000,,46060000.000000,45977038.000000,92037038.000000,600589153.000000,,400000000.000000,,218229954.000000,-17732823.000000,600497131.000000,1201086284.000000,,,400.000000
12M 2021,,,103268393.000000,1207139110.000000,1207139110.000000,1207139110.000000,,2889926469.000000,3770214390.000000,7970548362.000000,,867045087.000000,,,15372133046.000000,16239178133.000000,24209726495.000000,,,4541457281.000000,754725684.000000,,127445603.000000,3043211132.000000,,26051469.000000,,160855094.000000,186906563.000000,429168299.000000,4541457281.000000,8785301410.000000,579074.000000,,53891600.000000,8691179705.000000,8745071305.000000,39651031.000000,8785301410.000000,13326758691.000000,,10400000000.000000,,491804808.000000,-8837004.000000,10882967804.000000,24209726495.000000,,,1040000000.000000
12M 2022,,,133217872.000000,1903000599.000000,1903000599.000000,1903000599.000000,,4421113011.000000,6899054236.000000,13356385718.000000,,16798612912.000000,122270721.000000,,14337520005.000000,31258403638.000000,44614789356.000000,,,2465657330.000000,404947079.000000,,339355729.000000,1280953921.000000,,55259013.000000,,385141588.000000,440400601.000000,,2465657330.000000,8783565292.000000,,,128213967.000000,8466893211.000000,8595107178.000000,188458114.000000,8783565292.000000,11249222622.000000,,13075000000.000000,20887200000.000000,,-14574331.000000,33947625669.000000,45196848291.000000,100000000.000000,-682058935.000000,1307500000.000000
12M 2023,,,63651641.000000,2735801224.000000,2735801224.000000,2735801224.000000,45200633.000000,4097319223.000000,10130121708.000000,17072094429.000000,,15896377431.000000,,,11787733438.000000,27684110869.000000,44756205298.000000,,,2489932888.000000,591537450.000000,202602118.000000,279491870.000000,755824882.000000,,239476568.000000,,,239476568.000000,421000000.000000,2489932888.000000,8430551839.000000,132330793.000000,,237032279.000000,7819393209.000000,8056425488.000000,241795558.000000,8430551839.000000,10920484727.000000,,13075303300.000000,20889929700.000000,,-18648224.000000,33946584776.000000,44867069503.000000,100000000.000000,-210864205.000000,1307530330.000000
12M 2024,,,44193619.000000,877121070.000000,877121070.000000,877121070.000000,,6094794827.000000,9911379712.000000,16927489228.000000,,14422696512.000000,,,13286495509.000000,27709192021.000000,44636681249.000000,,,2988266729.000000,342465650.000000,323100707.000000,338239708.000000,1105184144.000000,,223859637.000000,,595837234.000000,819696871.000000,59579649.000000,2988266729.000000,8292371448.000000,30325234.000000,,22907074.000000,7996536677.000000,8019443751.000000,242602463.000000,8292371448.000000,11280638177.000000,,13075303300.000000,20889929700.000000,,33526806.000000,33998759806.000000,45279397983.000000,100000000.000000,-742716734.000000,1307530330.000000
