Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok,Karyawan Dan Aktivitas Operasi Lainnya",Beban Usaha (Di Luar Beban Penyusutan An Amortisasi),Pendapatan / Beban Luar Usaha,Penerimaan Penghasilan Bunga,Pembayaran Beban Bunga,Pajak Penghasilan Dan Pajak Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Piutang Kepada Pihak Berelasi,Aset Tidak Lancar Lainnya,Piutang Pihak Yang Mempunyai Hubungan Istimewa,Uang Muka Pembelian,Pendapatan Bunga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Jangka Pendek,Penerimaan Pinjaman Bank,Pembayaran Dividen,Transaksi Pihak-Pihak Berelasi,Uang Jaminan Penyewa,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,20133009.000000,23579214406.000000,-22312068219.000000,,,297292546.000000,-22649689.000000,-1521656035.000000,,20133009.000000,2960929368.000000,72810395.000000,-306152881.000000,,3194271854.000000,,,,2960929368.000000,-11053883552.000000,,,,-10351755405.000000,-702128147.000000,-11053883552.000000,,-8072821175.000000,6001159.000000,12700827409.000000,4634007393.000000
12M 2009,1499318785.000000,24564622933.000000,-20552805251.000000,,,98162058.000000,,-2610660955.000000,,1499318785.000000,-1945214167.000000,,-507586362.000000,,-1437627805.000000,,,,-1945214167.000000,-285480794.000000,,,,262071690.000000,-547552484.000000,-285480794.000000,,-731376176.000000,5094127.000000,4634007394.000000,3907725345.000000
12M 2010,8238382795.000000,23189792655.000000,-19780087042.000000,,,1585397550.000000,,-166425981.000000,3409705613.000000,8238382795.000000,11699052206.000000,,-360838875.000000,,12059891081.000000,,,,11699052206.000000,16232415757.000000,,,,16481755234.000000,-249339477.000000,16232415757.000000,,36169850758.000000,-5112146.000000,3907725345.000000,40072463957.000000
12M 2011,6865204297.000000,24839487661.000000,-20201428578.000000,,,2383630404.000000,,-156485190.000000,,6865204297.000000,-4218132087.000000,,-509683419.000000,,-3708448668.000000,,,,-4218132087.000000,-3374624000.000000,,,,-3500000000.000000,125376000.000000,-3374624000.000000,,-727551790.000000,157078742.000000,40072463957.000000,39501990909.000000
12M 2012,7117439766.000000,25225090551.000000,-19060098895.000000,,,1949988225.000000,,-997540115.000000,,7117439766.000000,-1141342001.000000,,-78000000.000000,,-1063342001.000000,,,,-1141342001.000000,-141959897.000000,,,,,-141959897.000000,-141959897.000000,,5834137868.000000,,39501990909.000000,45336128777.000000
12M 2013,6860003510.000000,37224829638.000000,-31519048525.000000,,3848167083.000000,,,-2693944686.000000,,6860003510.000000,-2820673465.000000,,-4744324265.000000,,2123650800.000000,-200000000.000000,,,-2820673465.000000,-1788496911.000000,,,-635882774.000000,,-1152614137.000000,-1788496911.000000,,2250833134.000000,,45336128777.000000,47586961911.000000
12M 2014,-5099018778.000000,20221043469.000000,-26807919595.000000,,2447089981.000000,,,-959232633.000000,,-5099018778.000000,-4453161732.000000,,-4941161732.000000,,288000000.000000,200000000.000000,,,-4453161732.000000,-868709369.000000,,,,,-868709369.000000,-868709369.000000,,-10420889879.000000,,47586961911.000000,37166072032.000000
12M 2015,-3235217131.000000,24144502396.000000,-27514685306.000000,,1765529058.000000,,,-1630563279.000000,,-3235217131.000000,-2515754967.000000,,-2179754969.000000,,-335999998.000000,,,,-2515754967.000000,-964779753.000000,,,,,-964779753.000000,-964779753.000000,,-6715751851.000000,,37166072032.000000,30450320181.000000
12M 2016,-2987006975.000000,24203890091.000000,-29019231693.000000,,3290532485.000000,,,-1462197858.000000,,-2987006975.000000,-220396768.000000,,-197697675.000000,,-22699093.000000,,,,-220396768.000000,-1325933073.000000,,,,,-1325933073.000000,-1325933073.000000,,-4533336816.000000,,30450320181.000000,25916983365.000000
12M 2017,-4305453643.000000,25521805517.000000,-28471926193.000000,,942651808.000000,,,-2297984775.000000,,-4305453643.000000,-10537067679.000000,,-10208872409.000000,,-328195270.000000,,,,-10537067679.000000,-275631972.000000,,,,,-275631972.000000,-275631972.000000,,-15118153294.000000,,25916983365.000000,10798830071.000000
