Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.38,1298.73,0.38,1298.73,,,,(5 B),0 B
12M 2009,0.61,1315.37,0.61,1315.37,,,,(4 B),1 B
12M 2010,0.67,1349.31,0.67,1349.31,,,,(40 B),32 B
12M 2011,1.80,356.20,1.80,356.20,,,,(40 B),31 B
12M 2012,1.85,379.34,1.85,379.34,,,,(45 B),36 B
12M 2013,1.95,354.53,1.95,354.53,,,,(48 B),74 B
12M 2014,1.97,349.83,1.97,349.83,,,,(37 B),69 B
12M 2015,0.69,331.00,0.69,331.00,,,,(30 B),62 B
12M 2016,1.14,321.00,1.14,321.00,,,,(26 B),59 B
12M 2017,0.88,298.42,0.88,298.42,,,,(11 B),43 B
12M 2018,0.85,269.36,0.85,269.36,,,,(4 B),36 B
12M 2019,0.98,229.66,0.98,229.66,,,,(4 B),32 B
12M 2020,1.12,193.79,1.12,193.79,,,,(8 B),8 B
12M 2021,1.69,183.47,1.69,183.47,,,,(22 B),20 B
12M 2022,1.01,155.96,1.01,155.96,,,,(16 B),24 B
12M 2023,2.04,125.44,2.04,125.44,,,,(11 B),18 B
12M 2024,3.69,120.91,3.69,120.91,,,,(7 B),16 B
