Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Pendapatan Bunga,Others,Total Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Adjustment,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,23344789550.000000,-18646806409.000000,4697983141.000000,-4359714019.000000,-311146441.000000,-4048567578.000000,-4359714019.000000,338269122.000000,1650034305.000000,72810395.000000,,,163461550.000000,163461550.000000,101066205.000000,6001159.000000,1306694996.000000,1650034305.000000,1988303427.000000,-3095506819.000000,,-1107203392.000000,,-1107203392.000000,,-1107203392.000000,-1107203392.000000,,-1107203392.000000,,,,
12M 2009,23141990106.000000,-19654512177.000000,3487477929.000000,-2597790001.000000,-54968400.000000,-2542821601.000000,-2597790001.000000,889687928.000000,2108299379.000000,,,2320789690.000000,98162058.000000,2418951748.000000,-2989500.000000,5094126.000000,-312756995.000000,2108299379.000000,2997987307.000000,-2029497967.000000,,968489340.000000,,968489340.000000,,968489340.000000,968489340.000000,,968489340.000000,,,,
12M 2010,23840347437.000000,-18115979035.000000,5724368402.000000,-3114398639.000000,-231582174.000000,-2882816465.000000,-3114398639.000000,2609969763.000000,919911077.000000,,,,1585397550.000000,1585397550.000000,-14522463.000000,-5112146.000000,-645851864.000000,919911077.000000,3529880840.000000,-1554576594.000000,,1975304246.000000,444203.000000,1975748449.000000,,1975748449.000000,1975304246.000000,444203.000000,1975748449.000000,,,,
12M 2011,24859280733.000000,-17590502969.000000,7268777764.000000,-3450538574.000000,-122617654.000000,-3327920920.000000,-3450538574.000000,3818239190.000000,2113353172.000000,,,2383630404.000000,,2383630404.000000,-3710177.000000,157078742.000000,-423645797.000000,2113353172.000000,5931592362.000000,-1537027715.000000,,4394564647.000000,,4394564647.000000,,4394564649.000000,4390863167.000000,3701482.000000,4394564649.000000,4394564649.000000,4390863167.000000,3701482.000000,4394564649.000000
12M 2012,23082164615.000000,-15706051801.000000,7376112814.000000,-3454741348.000000,-62554068.000000,-3392187280.000000,-3454741348.000000,3921371466.000000,1783452068.000000,,,1599029323.000000,,1599029323.000000,-9467326.000000,,193890071.000000,1783452068.000000,5704823534.000000,-1542116579.000000,,4162706955.000000,,4162706955.000000,,4162706957.000000,4162378571.000000,328386.000000,4162706957.000000,4162706957.000000,4162378571.000000,328386.000000,4162706957.000000
12M 2013,39096387619.000000,-26589772344.000000,12506615275.000000,-5975885195.000000,-52711653.000000,-5923173542.000000,-5975885195.000000,6530730080.000000,-5954195178.000000,,,,,,,,-5954195178.000000,-5954195178.000000,576534902.000000,-2653459455.000000,,-2076924553.000000,,-2076924553.000000,,-2076924553.000000,-2074203052.000000,-2721501.000000,-2076924553.000000,-2076924553.000000,-2074203052.000000,-2721501.000000,-2076924553.000000
12M 2014,20978438075.000000,-18823746133.000000,2154691942.000000,-6242412610.000000,-111317996.000000,-6131094614.000000,-6242412610.000000,-4087720668.000000,4113207289.000000,,,,,,,,4113207289.000000,4113207289.000000,25486621.000000,-1120994170.000000,,-1095507549.000000,,-1095507549.000000,,-1095507550.000000,-1095020189.000000,-487361.000000,-1095507550.000000,-1095507550.000000,-1095020189.000000,-487361.000000,-1095507550.000000
12M 2015,23587785199.000000,-20394033700.000000,3193751499.000000,-7729093345.000000,-90717349.000000,-7638375996.000000,-7729093345.000000,-4535341846.000000,2223965100.000000,,,,,,,,2223965100.000000,2223965100.000000,-2311376746.000000,-2366846098.000000,,-4678222844.000000,,-4678222844.000000,55052318.000000,-4678222844.000000,-4673544621.000000,-4678223.000000,-4678222844.000000,-4623170527.000000,-4618547356.000000,-4623171.000000,-4623170527.000000
12M 2016,24809405083.000000,-22808122548.000000,2001282535.000000,-5897532648.000000,-125469107.000000,-5772063541.000000,-5897532648.000000,-3896250113.000000,3290532485.000000,,,,,,,,3290532485.000000,3290532485.000000,-605717628.000000,-1759271498.000000,,-2364989126.000000,,-2364989126.000000,35404438.000000,-2364989126.000000,-2362624137.000000,-2364989.000000,-2364989126.000000,-2329584688.000000,-2327255103.000000,-2329585.000000,-2329584688.000000
12M 2017,24569351300.000000,-22033098829.000000,2536252471.000000,-6178799725.000000,-123916419.000000,-6054883306.000000,-6178799725.000000,-3642547254.000000,1003986263.000000,,,,,,,,1003986263.000000,1003986263.000000,-2638560991.000000,-2164371789.000000,,-4802932780.000000,,-4802932780.000000,-461659085.000000,-4802932780.000000,-4798129847.000000,-4802933.000000,-4802932780.000000,-5264591865.000000,-5259327273.000000,-5264592.000000,-5264591865.000000
